,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,0113.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,null,null,vlucci.com AC-V1.4.0.0,0114.0012-vlucci.com A1.4.0.1,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0
,78:A5:04:41:E7:88,78:A5:04:41:EB:98,78:A5:04:41:EE:1D,78:A5:04:41:E5:62,78:A5:04:41:E7:EF,7C:66:9D:7B:47:3D,78:A5:04:41:EE:15,78:A5:04:41:E9:8A,78:A5:04:41:EB:CE,78:A5:04:41:E5:34,78:A5:04:41:E5:70,7C:66:9D:7B:2B:BA,78:A5:04:41:E7:D5,7C:66:9D:7B:46:8C,BC:6A:29:BE:2F:12,78:A5:04:41:E7:98,7C:66:9D:7B:2B:CB,BC:6A:29:BE:31:61,78:A5:04:41:E7:A2,78:A5:04:41:E9:EB,78:A5:04:41:E9:D7,7C:66:9D:7B:2E:21,78:A5:04:41:E9:92
1526446326111,-75,-69,-85,-200,-74,-85,-74,-200,-200,-200,-69,-200,-74,-93,-95,-82,-79,-92,-89,-200,-200,-200,-200
1526446330811,-200,-200,-86,-83,-74,-86,-200,-200,-200,-88,-69,-200,-81,-93,-200,-82,-200,-92,-200,-200,-85,-200,-200
1526446330898,-66,-200,-85,-82,-200,-87,-73,-200,-200,-200,-69,-200,-81,-94,-200,-81,-79,-91,-200,-200,-200,-200,-200
1526446331008,-67,-200,-85,-200,-74,-86,-73,-200,-78,-200,-200,-200,-80,-93,-200,-200,-200,-92,-200,-200,-85,-200,-200
1526446335722,-69,-67,-200,-200,-200,-86,-200,-200,-200,-200,-200,-200,-200,-94,-200,-200,-78,-200,-200,-200,-200,-200,-85
1526446335858,-69,-200,-200,-200,-82,-200,-200,-88,-200,-200,-83,-200,-79,-95,-200,-200,-200,-200,-200,-200,-81,-200,-84
1526446336045,-70,-67,-200,-200,-92,-200,-200,-200,-200,-200,-83,-200,-74,-97,-200,-200,-77,-98,-200,-200,-82,-200,-84
1526446340751,-81,-72,-200,-200,-200,-200,-200,-200,-200,-200,-76,-200,-72,-200,-200,-79,-87,-94,-200,-200,-200,-200,-200
1526446340878,-81,-73,-200,-200,-200,-96,-200,-200,-200,-200,-78,-200,-200,-95,-98,-200,-200,-95,-200,-200,-200,-200,-200
1526446341000,-200,-200,-200,-200,-200,-90,-200,-84,-200,-200,-78,-200,-81,-200,-200,-88,-200,-200,-200,-200,-200,-200,-200
1526446341116,-76,-200,-200,-200,-89,-90,-200,-84,-200,-200,-200,-200,-69,-200,-200,-82,-200,-200,-89,-200,-200,-200,-200
1526446345718,-68,-70,-200,-200,-77,-85,-74,-200,-200,-86,-74,-200,-69,-200,-200,-80,-200,-94,-200,-200,-200,-200,-200
1526446345835,-200,-200,-83,-200,-77,-84,-74,-200,-200,-200,-73,-200,-69,-93,-200,-79,-80,-94,-90,-200,-85,-200,-200
1526446345955,-68,-200,-200,-80,-77,-200,-74,-200,-73,-200,-73,-200,-69,-200,-200,-200,-80,-200,-200,-200,-85,-200,-200
1526446346051,-68,-70,-83,-200,-200,-200,-74,-200,-200,-200,-200,-200,-74,-200,-200,-200,-80,-94,-88,-200,-84,-200,-200
1526446350763,-77,-200,-200,-200,-200,-200,-200,-200,-200,-200,-80,-200,-84,-200,-200,-83,-77,-96,-200,-200,-200,-200,-86
1526446350880,-76,-67,-85,-200,-84,-200,-73,-200,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-89,-200,-200,-200,-200
1526446350984,-76,-200,-200,-200,-200,-200,-200,-200,-82,-200,-200,-200,-200,-95,-94,-82,-200,-200,-200,-200,-200,-200,-86
1526446351093,-75,-200,-200,-200,-200,-200,-72,-200,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-81,-200,-200
