,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,null,vlucci.com AC-V1.4.0.0,0120.0012-vlucci.com A1.4.0.1,null,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0
,78:A5:04:41:E5:70,78:A5:04:41:E7:98,78:A5:04:41:E9:92,78:A5:04:41:E7:D5,78:A5:04:41:EE:1D,78:A5:04:41:EB:98,78:A5:04:41:EB:CE,78:A5:04:41:E9:EB,78:A5:04:41:E7:88,78:A5:04:41:E5:62,78:A5:04:41:E9:8A,78:A5:04:41:E7:EF,78:A5:04:41:E9:D7,7C:66:9D:7B:47:3D,BC:6A:29:BE:31:17,78:A5:04:41:EE:15,F4:B8:5E:AA:7A:38,BC:6A:29:BE:31:61,78:A5:04:41:EB:FB,BC:6A:29:BE:31:7F,78:A5:04:41:E5:34
1526446748959,-90,-61,-83,-57,-82,-68,-83,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526446749065,-200,-62,-200,-57,-84,-200,-200,-200,-68,-77,-75,-78,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526446749168,-200,-67,-200,-56,-200,-200,-200,-200,-68,-75,-75,-75,-88,-200,-200,-200,-200,-200,-200,-200,-200
1526446749272,-85,-200,-200,-200,-200,-200,-200,-200,-73,-68,-200,-69,-200,-92,-97,-200,-200,-200,-200,-200,-200
1526446753902,-85,-60,-200,-200,-200,-200,-84,-200,-63,-68,-80,-200,-200,-91,-98,-200,-200,-200,-200,-200,-200
1526446753992,-84,-60,-200,-56,-200,-200,-83,-200,-63,-200,-200,-72,-200,-90,-200,-200,-200,-200,-200,-200,-200
1526446754095,-200,-60,-200,-55,-200,-200,-82,-200,-200,-200,-200,-68,-76,-200,-200,-86,-200,-200,-200,-200,-200
1526446754195,-200,-60,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-85,-200,-200,-200,-200,-200
1526446758837,-200,-200,-200,-68,-84,-80,-200,-200,-65,-78,-200,-80,-200,-92,-200,-80,-200,-200,-200,-200,-200
1526446758924,-89,-200,-80,-200,-84,-82,-200,-200,-65,-78,-200,-200,-81,-92,-200,-80,-200,-200,-200,-200,-200
1526446759040,-88,-68,-200,-68,-84,-83,-200,-200,-200,-77,-200,-81,-200,-200,-200,-81,-200,-200,-200,-200,-200
1526446759145,-200,-68,-80,-68,-200,-200,-200,-200,-64,-200,-86,-200,-82,-93,-200,-81,-200,-200,-200,-200,-200
1526446759257,-200,-200,-82,-57,-200,-200,-85,-85,-66,-200,-81,-200,-78,-92,-200,-82,-200,-200,-200,-200,-200
1526446763933,-200,-200,-85,-69,-89,-200,-200,-200,-200,-200,-200,-75,-200,-92,-200,-200,-200,-200,-200,-200,-200
1526446764042,-200,-66,-83,-60,-200,-200,-200,-200,-72,-200,-84,-200,-87,-200,-200,-200,-200,-200,-200,-200,-200
1526446764140,-82,-65,-91,-200,-200,-86,-200,-200,-78,-200,-91,-77,-74,-92,-200,-200,-200,-200,-200,-200,-200
1526446768928,-200,-59,-200,-58,-200,-200,-200,-200,-62,-68,-200,-68,-76,-200,-200,-83,-200,-200,-200,-200,-200
1526446769029,-200,-59,-200,-57,-200,-78,-79,-200,-62,-200,-200,-68,-74,-200,-200,-200,-200,-200,-200,-200,-200
1526446769151,-200,-60,-200,-58,-200,-200,-200,-200,-62,-68,-200,-68,-74,-200,-200,-200,-200,-200,-200,-200,-200
1526446769263,-200,-200,-200,-63,-200,-200,-200,-200,-62,-200,-200,-200,-200,-93,-200,-200,-200,-200,-200,-200,-200
1526446773892,-200,-67,-200,-63,-200,-77,-200,-200,-65,-74,-82,-200,-81,-94,-200,-200,-200,-200,-200,-200,-200
1526446774006,-86,-200,-79,-63,-83,-200,-200,-200,-65,-200,-82,-200,-80,-200,-200,-80,-91,-200,-200,-200,-200
1526446774098,-200,-66,-80,-200,-200,-200,-200,-200,-65,-75,-200,-200,-80,-95,-200,-200,-200,-200,-200,-200,-200
1526446774222,-85,-200,-82,-57,-200,-84,-83,-200,-200,-200,-80,-83,-80,-93,-200,-80,-200,-200,-200,-200,-200
1526446778885,-83,-60,-200,-57,-200,-84,-84,-200,-78,-76,-200,-76,-76,-88,-200,-78,-200,-94,-200,-200,-200
1526446779019,-83,-200,-200,-58,-200,-84,-84,-200,-77,-77,-200,-75,-76,-88,-200,-200,-200,-200,-87,-200,-200
1526446779125,-200,-200,-82,-58,-87,-200,-200,-200,-79,-200,-200,-200,-200,-200,-200,-200,-200,-94,-200,-200,-200
1526446779232,-200,-200,-200,-200,-200,-200,-200,-200,-82,-200,-200,-200,-74,-200,-200,-200,-200,-200,-200,-200,-200
1526446783843,-80,-58,-200,-58,-200,-80,-83,-200,-62,-200,-200,-200,-74,-200,-200,-200,-200,-200,-200,-200,-200
