,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,NETWORK,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018
,0c:73:eb:d0:7c:30,74:da:da:c1:3c:f9,74:da:da:c1:4b:01,74:da:da:98:74:94,0c:73:eb:d0:7c:48,0c:73:eb:d0:11:f0,74:da:da:c1:3c:f5,74:da:da:c1:4a:f5,74:da:da:98:8d:78,74:da:da:c1:4a:ed,74:da:da:c1:3c:dd,74:da:da:c1:3c:99,0c:73:eb:d0:13:c0,0c:73:eb:d0:11:e8,0c:73:eb:d0:7c:18,74:da:da:c1:4b:05,bc:d1:77:5f:6a:b4,0c:73:eb:d0:7c:00,74:da:da:c0:e0:81,0c:73:eb:d0:7c:10,74:da:da:c1:3a:81,74:da:da:c1:4b:59,0c:73:eb:d0:11:b0,74:da:da:98:7a:60,74:da:da:98:7a:50,0c:73:eb:d0:13:d0,74:da:da:98:7a:68,0c:73:eb:d0:7f:18,74:da:da:c0:e0:71,74:da:da:c1:3b:4d,74:da:da:c1:3c:e1,74:da:da:98:ea:4c,0c:73:eb:d0:11:b8,74:da:da:98:7a:6c,74:da:da:c0:e2:d9,0c:73:eb:d0:7e:f0,0c:73:eb:d0:11:f8
1526455727592,-29,-40,-46,-48,-49,-56,-59,-61,-61,-61,-61,-65,-67,-68,-70,-71,-73,-74,-75,-75,-76,-77,-81,-82,-83,-83,-86,-87,-87,-88,-93,-200,-200,-200,-200,-200,-200
1526455730623,-40,-47,-55,-49,-53,-56,-68,-65,-59,-61,-61,-67,-72,-69,-71,-70,-76,-74,-75,-75,-76,-77,-79,-78,-200,-83,-86,-200,-200,-88,-200,-77,-200,-200,-200,-200,-200
1526455733650,-40,-47,-55,-49,-53,-56,-68,-65,-59,-61,-61,-67,-72,-69,-71,-70,-76,-74,-75,-75,-76,-77,-79,-78,-200,-83,-86,-200,-200,-88,-200,-77,-200,-200,-200,-200,-200
1526455736683,-40,-47,-55,-49,-53,-56,-68,-65,-59,-61,-61,-67,-72,-69,-71,-70,-76,-74,-75,-75,-76,-77,-79,-78,-200,-83,-86,-200,-200,-88,-200,-77,-200,-200,-200,-200,-200
1526455739725,-31,-42,-60,-45,-54,-200,-61,-62,-68,-59,-200,-61,-75,-71,-75,-65,-76,-72,-76,-75,-73,-71,-79,-78,-91,-85,-74,-76,-77,-200,-200,-75,-86,-88,-200,-200,-200
1526455742763,-29,-46,-60,-50,-53,-59,-61,-68,-63,-62,-200,-58,-69,-69,-75,-67,-74,-72,-76,-75,-73,-71,-81,-78,-91,-85,-77,-88,-77,-200,-200,-84,-86,-88,-82,-200,-200
1526455745812,-29,-46,-60,-50,-53,-59,-61,-68,-63,-62,-200,-58,-69,-69,-75,-67,-74,-72,-76,-75,-73,-71,-81,-78,-91,-85,-77,-88,-77,-200,-200,-84,-86,-88,-82,-200,-200
1526455748861,-29,-46,-60,-50,-53,-59,-61,-68,-63,-62,-200,-58,-69,-69,-75,-67,-74,-72,-76,-75,-73,-71,-81,-78,-91,-85,-77,-88,-77,-200,-200,-84,-86,-88,-82,-200,-200
1526455751896,-36,-45,-58,-41,-55,-62,-66,-72,-65,-63,-65,-55,-79,-64,-65,-69,-77,-70,-69,-74,-77,-72,-81,-73,-200,-200,-80,-88,-200,-200,-200,-84,-200,-200,-89,-200,-200
1526455754931,-38,-45,-59,-40,-59,-59,-66,-72,-65,-63,-64,-55,-73,-64,-66,-69,-77,-77,-69,-74,-76,-73,-90,-69,-200,-200,-79,-88,-82,-85,-200,-84,-80,-200,-89,-200,-200
1526455757964,-38,-45,-59,-40,-59,-59,-66,-72,-65,-63,-64,-55,-73,-64,-66,-69,-77,-77,-69,-74,-76,-73,-90,-69,-200,-200,-79,-88,-82,-85,-200,-84,-80,-200,-89,-200,-200
1526455760996,-38,-45,-59,-40,-59,-59,-66,-72,-65,-63,-64,-55,-73,-64,-66,-69,-77,-77,-69,-74,-76,-73,-90,-69,-200,-200,-79,-88,-82,-85,-200,-84,-80,-200,-89,-200,-200
1526455764030,-41,-48,-61,-45,-54,-62,-67,-200,-69,-71,-65,-58,-70,-68,-68,-69,-82,-73,-71,-74,-76,-73,-90,-69,-200,-200,-78,-200,-81,-85,-200,-80,-79,-200,-86,-200,-200
1526455767069,-37,-44,-60,-43,-54,-66,-66,-76,-69,-71,-65,-58,-70,-66,-68,-65,-80,-73,-73,-74,-76,-74,-90,-73,-200,-200,-80,-200,-80,-85,-200,-80,-79,-200,-86,-200,-200
1526455770106,-37,-44,-60,-43,-54,-66,-66,-76,-69,-71,-65,-58,-70,-66,-68,-65,-80,-73,-73,-74,-76,-74,-90,-73,-200,-200,-80,-200,-80,-85,-200,-80,-79,-200,-86,-200,-200
1526455773144,-37,-44,-60,-43,-54,-66,-66,-76,-69,-71,-65,-58,-70,-66,-68,-65,-80,-73,-73,-74,-76,-74,-90,-73,-200,-200,-80,-200,-80,-85,-200,-80,-79,-200,-86,-200,-200
1526455776180,-37,-44,-60,-43,-54,-63,-64,-78,-64,-79,-63,-56,-200,-65,-66,-65,-80,-74,-73,-75,-80,-75,-200,-72,-200,-85,-80,-82,-80,-200,-200,-200,-79,-200,-86,-81,-200
1526455779215,-36,-43,-60,-43,-53,-66,-65,-78,-64,-79,-63,-57,-80,-65,-69,-65,-77,-74,-73,-75,-80,-75,-200,-72,-200,-85,-80,-82,-80,-200,-200,-200,-79,-200,-86,-81,-200
1526455782246,-36,-43,-60,-43,-53,-66,-65,-78,-64,-79,-63,-57,-80,-65,-69,-65,-77,-74,-73,-75,-80,-75,-200,-72,-200,-85,-80,-82,-80,-200,-200,-200,-79,-200,-86,-81,-200
1526455785288,-36,-43,-60,-43,-53,-66,-65,-78,-64,-79,-63,-57,-80,-65,-69,-65,-77,-74,-73,-75,-80,-75,-200,-72,-200,-85,-80,-82,-80,-200,-200,-200,-79,-200,-86,-81,-200
1526455788320,-38,-43,-57,-43,-55,-61,-65,-77,-65,-76,-64,-59,-72,-67,-72,-64,-77,-73,-200,-75,-78,-75,-200,-71,-200,-200,-86,-200,-82,-200,-200,-200,-80,-200,-87,-200,-84
