,null,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null
,BC:6A:29:BE:2F:54,78:A5:04:41:E9:CC,BC:6A:29:BE:31:17,78:A5:04:41:EE:17,78:A5:04:41:E9:A0,78:A5:04:41:EB:A5,78:A5:04:41:E9:98,78:A5:04:41:EE:06,78:A5:04:41:E5:68,78:A5:04:41:EB:F1,78:A5:04:41:E9:B3,78:A5:04:41:E9:AB,78:A5:04:41:E7:9D,7C:66:9D:7B:47:FC
1526449833480,-96,-90,-84,-85,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526449833576,-96,-200,-200,-200,-84,-79,-86,-86,-82,-200,-200,-200,-200,-200
1526449833679,-94,-200,-85,-200,-84,-79,-85,-200,-82,-74,-200,-200,-200,-200
1526449833793,-94,-200,-200,-88,-83,-80,-81,-200,-82,-76,-200,-200,-200,-200
1526449833890,-91,-200,-85,-84,-82,-200,-200,-200,-200,-200,-88,-200,-200,-200
1526449838492,-95,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-91,-200,-200
1526449838606,-99,-200,-81,-85,-81,-82,-200,-89,-200,-64,-84,-90,-200,-200
1526449838790,-200,-200,-200,-86,-80,-200,-65,-88,-83,-63,-200,-200,-200,-200
1526449838885,-200,-200,-81,-77,-200,-200,-67,-88,-82,-62,-86,-90,-200,-200
1526449843490,-88,-88,-81,-77,-81,-66,-77,-88,-84,-62,-200,-200,-200,-200
1526449843586,-87,-88,-200,-200,-200,-200,-78,-88,-200,-200,-200,-200,-200,-200
1526449843743,-88,-200,-200,-78,-79,-66,-76,-200,-84,-200,-200,-92,-200,-200
1526449843875,-200,-200,-81,-78,-200,-200,-200,-200,-84,-200,-200,-200,-200,-200
1526449843991,-200,-200,-89,-81,-79,-86,-200,-200,-84,-66,-200,-200,-200,-200
1526449848525,-90,-200,-84,-200,-78,-83,-79,-200,-82,-66,-87,-200,-200,-200
1526449848638,-91,-200,-84,-79,-78,-80,-80,-200,-83,-65,-90,-200,-200,-200
1526449848737,-90,-200,-84,-200,-200,-200,-88,-91,-200,-64,-200,-200,-200,-200
1526449848848,-92,-200,-83,-200,-79,-78,-82,-89,-82,-64,-200,-200,-200,-200
1526449853464,-96,-200,-200,-80,-200,-200,-66,-85,-200,-64,-200,-200,-87,-200
1526449853556,-97,-200,-200,-80,-81,-200,-66,-200,-85,-66,-200,-89,-200,-200
1526449853667,-200,-200,-85,-200,-80,-88,-64,-200,-200,-76,-200,-200,-200,-200
1526449853771,-94,-92,-84,-200,-82,-200,-63,-200,-200,-83,-84,-200,-90,-200
1526449853898,-200,-200,-79,-200,-80,-65,-200,-200,-82,-63,-200,-200,-90,-200
1526449858596,-88,-200,-78,-200,-200,-65,-200,-200,-82,-62,-90,-200,-200,-200
1526449858703,-200,-200,-77,-200,-200,-65,-76,-200,-83,-63,-200,-88,-200,-200
1526449858833,-200,-200,-78,-200,-200,-200,-75,-92,-200,-63,-200,-200,-200,-200
1526449863468,-89,-200,-87,-83,-77,-200,-76,-88,-200,-200,-200,-200,-200,-200
1526449863604,-87,-200,-87,-83,-77,-200,-77,-88,-200,-66,-200,-200,-200,-200
1526449863699,-88,-200,-86,-84,-79,-200,-76,-200,-83,-66,-200,-200,-200,-200
1526449863828,-200,-200,-200,-84,-77,-200,-76,-88,-200,-66,-200,-200,-200,-200
1526449868544,-200,-89,-82,-200,-88,-200,-200,-200,-83,-200,-83,-200,-200,-101
1526449868832,-200,-200,-81,-200,-86,-83,-69,-90,-82,-66,-83,-200,-200,-200
1526449868939,-200,-200,-82,-200,-85,-83,-69,-88,-82,-66,-82,-200,-200,-200
1526449869053,-200,-200,-81,-200,-86,-200,-200,-90,-83,-200,-200,-200,-200,-200
1526449873470,-200,-200,-78,-83,-77,-66,-200,-200,-82,-62,-88,-87,-200,-200
1526449873562,-88,-200,-78,-200,-76,-65,-78,-200,-82,-62,-200,-200,-200,-200
1526449873676,-87,-200,-78,-200,-200,-65,-78,-200,-82,-62,-89,-200,-200,-200
1526449873771,-88,-200,-77,-84,-200,-65,-78,-200,-82,-62,-200,-87,-200,-200
1526449873873,-89,-200,-78,-200,-200,-200,-200,-200,-200,-70,-200,-200,-200,-200
1526449878607,-200,-200,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526449878712,-89,-200,-94,-81,-200,-200,-200,-200,-83,-66,-200,-200,-200,-200
1526449878802,-89,-200,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526449878906,-89,-200,-95,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526449879028,-90,-200,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526449879131,-200,-200,-97,-200,-81,-200,-200,-200,-83,-65,-84,-200,-200,-200
1526449883477,-200,-89,-200,-200,-86,-87,-69,-89,-200,-64,-200,-200,-200,-100
1526449883581,-101,-200,-80,-200,-87,-86,-68,-200,-200,-64,-83,-200,-200,-99
1526449883692,-200,-200,-80,-83,-86,-87,-68,-200,-200,-65,-83,-200,-200,-200
1526449883855,-200,-200,-81,-200,-78,-86,-200,-200,-200,-65,-83,-200,-200,-200
1526449888530,-88,-200,-78,-84,-77,-66,-78,-200,-200,-200,-88,-88,-200,-200
1526449888621,-200,-200,-77,-200,-77,-66,-78,-200,-200,-61,-200,-87,-200,-200
1526449888723,-88,-200,-78,-200,-200,-66,-78,-200,-200,-62,-200,-200,-200,-200
1526449888822,-88,-200,-78,-200,-200,-66,-200,-200,-200,-200,-200,-200,-200,-200
1526449888923,-89,-200,-86,-82,-77,-66,-77,-88,-83,-66,-200,-200,-200,-200
1526449893551,-88,-200,-200,-200,-200,-88,-76,-200,-200,-65,-200,-200,-200,-200
1526449893654,-89,-200,-85,-82,-77,-88,-77,-88,-83,-65,-200,-200,-200,-200
1526449893780,-89,-200,-84,-82,-76,-200,-200,-88,-84,-66,-200,-200,-200,-200
1526449893876,-89,-200,-83,-81,-77,-200,-200,-200,-83,-200,-200,-200,-200,-200
