,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
,78:A5:04:41:EB:A5,BC:6A:29:BE:31:7F,78:A5:04:41:E9:98,78:A5:04:41:E9:B3,78:A5:04:41:E5:68,78:A5:04:41:EB:F1,BC:6A:29:BE:31:17,78:A5:04:41:EE:17,BC:6A:29:BE:2F:54,78:A5:04:41:E9:AB,78:A5:04:41:E9:A0,78:A5:04:41:E9:CC,78:A5:04:41:EE:06,78:A5:04:41:E9:CB
1526449583882,-65,-101,-63,-86,-85,-64,-200,-200,-200,-200,-200,-200,-200,-200
1526449584000,-65,-200,-63,-200,-85,-63,-78,-200,-200,-200,-200,-200,-200,-200
1526449584129,-64,-200,-64,-86,-200,-200,-200,-80,-86,-89,-200,-200,-200,-200
1526449588503,-200,-200,-66,-200,-200,-83,-79,-79,-95,-200,-74,-200,-200,-200
1526449588609,-200,-101,-62,-200,-88,-82,-77,-80,-200,-200,-68,-200,-200,-200
1526449588810,-77,-102,-200,-86,-200,-83,-76,-200,-200,-200,-66,-200,-200,-200
1526449593486,-63,-200,-63,-200,-200,-69,-200,-200,-84,-200,-75,-200,-200,-200
1526449593591,-66,-200,-63,-88,-200,-72,-83,-88,-200,-200,-72,-200,-200,-200
1526449593700,-200,-200,-66,-200,-200,-69,-83,-84,-80,-200,-69,-88,-200,-200
1526449593830,-69,-200,-70,-200,-200,-200,-200,-200,-81,-200,-200,-86,-84,-200
1526449598485,-65,-200,-62,-87,-200,-200,-200,-80,-84,-200,-66,-200,-92,-200
1526449598586,-65,-200,-62,-200,-200,-200,-78,-79,-84,-200,-200,-200,-200,-200
1526449598689,-65,-200,-200,-87,-200,-64,-200,-200,-83,-200,-200,-200,-200,-200
1526449598792,-200,-200,-200,-200,-200,-200,-89,-200,-83,-200,-200,-200,-200,-200
1526449598914,-200,-200,-200,-200,-200,-200,-200,-200,-84,-200,-200,-200,-200,-200
1526449599018,-63,-200,-63,-200,-200,-82,-84,-200,-84,-200,-200,-200,-200,-200
1526449603573,-63,-200,-63,-200,-200,-200,-200,-200,-84,-200,-67,-88,-200,-200
1526449603678,-63,-200,-63,-80,-200,-200,-200,-200,-200,-200,-67,-200,-200,-200
1526449603779,-63,-200,-63,-200,-200,-83,-200,-200,-200,-200,-66,-88,-200,-200
1526449603882,-73,-200,-63,-200,-88,-72,-200,-76,-85,-200,-81,-87,-83,-200
1526449608612,-200,-200,-200,-84,-90,-81,-77,-76,-200,-200,-71,-87,-82,-200
1526449608723,-73,-200,-67,-200,-200,-200,-78,-75,-84,-200,-70,-87,-200,-200
