,null,null,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
,7C:66:9D:7B:47:FC,BC:6A:29:BE:2F:54,BC:6A:29:BE:31:7F,78:A5:04:41:EB:F1,78:A5:04:41:EB:AD,78:A5:04:41:E9:A0,78:A5:04:41:EB:A5,78:A5:04:41:E9:98,78:A5:04:41:E9:BB,78:A5:04:41:E9:CC,78:A5:04:41:E9:B3,78:A5:04:41:EE:06,78:A5:04:41:EE:17,78:A5:04:41:E7:9D,BC:6A:29:BE:31:17,78:A5:04:41:E5:68,78:A5:04:41:E9:AB
1526450003584,-95,-87,-95,-79,-88,-77,-59,-77,-85,-200,-200,-200,-200,-200,-200,-200,-200
1526450003717,-95,-87,-200,-200,-86,-74,-58,-200,-200,-85,-88,-200,-200,-200,-200,-200,-200
1526450003818,-94,-86,-97,-77,-200,-69,-58,-80,-200,-85,-87,-200,-200,-200,-200,-200,-200
1526450003924,-200,-87,-200,-200,-200,-80,-59,-79,-200,-200,-82,-89,-84,-200,-200,-200,-200
1526450008592,-200,-94,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-85,-85,-200,-200,-200
1526450008707,-200,-200,-200,-68,-200,-200,-68,-74,-200,-200,-86,-200,-87,-200,-81,-92,-200
1526450008900,-200,-200,-200,-200,-200,-200,-200,-66,-200,-87,-87,-200,-83,-90,-93,-86,-87
1526450013526,-200,-83,-200,-200,-200,-200,-200,-75,-200,-86,-200,-200,-200,-200,-90,-86,-200
1526450013619,-200,-200,-200,-63,-200,-200,-200,-75,-200,-200,-89,-200,-200,-200,-90,-87,-200
1526450013734,-200,-200,-200,-63,-200,-83,-73,-74,-200,-85,-88,-200,-200,-200,-91,-86,-200
1526450013839,-200,-83,-200,-64,-200,-200,-75,-73,-200,-200,-200,-200,-200,-200,-92,-200,-200
1526450018466,-200,-200,-200,-64,-200,-200,-65,-200,-200,-200,-200,-87,-90,-91,-200,-200,-81
1526450018563,-200,-88,-200,-63,-200,-200,-65,-200,-200,-200,-200,-200,-90,-200,-200,-200,-81
1526450018668,-200,-200,-103,-64,-200,-79,-65,-200,-200,-200,-200,-200,-90,-200,-200,-200,-200
1526450018789,-103,-87,-101,-63,-200,-78,-66,-200,-200,-200,-200,-88,-200,-90,-88,-200,-200
1526450018881,-200,-200,-200,-200,-200,-200,-66,-200,-200,-200,-200,-200,-200,-88,-200,-200,-200
1526450023491,-200,-200,-200,-200,-200,-76,-74,-200,-200,-200,-89,-90,-200,-88,-89,-200,-83
1526450023581,-200,-85,-200,-64,-200,-76,-74,-87,-200,-200,-200,-200,-90,-88,-90,-200,-83
1526450023691,-200,-200,-200,-65,-200,-76,-73,-87,-200,-200,-200,-200,-89,-88,-200,-200,-83
1526450023796,-200,-85,-200,-64,-200,-76,-74,-86,-200,-83,-200,-200,-200,-88,-92,-200,-84
1526450028470,-200,-90,-200,-67,-200,-82,-64,-83,-200,-83,-84,-91,-200,-200,-200,-200,-200
1526450028633,-200,-90,-200,-200,-200,-82,-64,-84,-200,-83,-200,-200,-200,-200,-200,-94,-200
1526450028737,-200,-200,-200,-67,-200,-82,-64,-84,-200,-200,-84,-200,-200,-200,-97,-200,-200
