,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,NETWORK,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D07F10,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D013A8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro
,74:da:da:c1:3c:f5,74:da:da:c1:3c:dd,74:da:da:c1:3c:f9,74:da:da:c1:3c:99,0c:73:eb:d0:11:f0,0c:73:eb:d0:7c:30,74:da:da:c1:3a:81,74:da:da:c1:4b:01,0c:73:eb:d0:7c:00,0c:73:eb:d0:11:e8,0c:73:eb:d0:7f:18,0c:73:eb:d0:11:f8,0c:73:eb:d0:7c:18,74:da:da:c1:4b:05,0c:73:eb:d0:7c:10,0c:73:eb:d0:7c:48,74:da:da:c1:4b:59,0c:73:eb:d0:7c:40,74:da:da:c0:e0:71,74:da:da:98:8d:78,74:da:da:c1:4a:f5,bc:d1:77:5f:6a:b4,74:da:da:c0:f3:01,74:da:da:c0:e0:81,0c:73:eb:d0:7e:f0,0c:73:eb:d0:11:e0,0c:73:eb:d0:7c:08,74:da:da:c0:d7:19,74:da:da:c0:e2:d9,74:da:da:98:7a:60,74:da:da:c1:3b:49,74:da:da:98:7a:68,0c:73:eb:d0:7f:10,74:da:da:98:85:60,0c:73:eb:d0:13:d0,0c:73:eb:d0:11:d8,74:da:da:c1:48:bd,74:da:da:98:74:94,74:da:da:c0:d7:b9,74:da:da:c1:3c:e1,0c:73:eb:d0:13:d8,0c:73:eb:d0:7e:f8,0c:73:eb:d0:7a:68,0c:73:eb:d0:7c:38,74:da:da:98:91:d4,74:da:da:c1:02:8d,74:da:da:c1:4a:ed,0c:73:eb:d0:13:a8,74:da:da:c0:e0:69,74:da:da:c1:3c:51,0c:73:eb:d0:7c:28,0c:73:eb:d0:13:c0,74:da:da:c1:3a:8d,74:da:da:c1:03:2d,74:da:da:c1:56:a1,74:da:da:c1:3a:dd,74:da:da:c0:d7:0d
1526451255822,-50,-50,-52,-53,-57,-58,-59,-60,-61,-61,-64,-66,-67,-69,-71,-71,-74,-75,-77,-78,-79,-80,-80,-80,-80,-81,-81,-82,-83,-83,-83,-84,-87,-97,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451258859,-50,-49,-50,-45,-34,-53,-52,-56,-53,-57,-56,-59,-59,-69,-64,-71,-74,-75,-77,-78,-76,-70,-200,-68,-80,-81,-74,-65,-70,-85,-83,-85,-83,-200,-74,-74,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451261896,-50,-49,-50,-45,-34,-53,-52,-56,-53,-57,-56,-59,-59,-69,-64,-71,-74,-75,-77,-78,-76,-70,-200,-68,-80,-81,-74,-65,-70,-85,-83,-85,-83,-200,-74,-74,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451264946,-50,-49,-50,-45,-34,-53,-52,-56,-53,-57,-56,-59,-59,-69,-64,-71,-74,-75,-77,-78,-76,-70,-200,-68,-80,-81,-74,-65,-70,-85,-83,-85,-83,-200,-74,-74,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451267994,-45,-53,-48,-44,-29,-50,-51,-56,-53,-54,-55,-56,-61,-72,-61,-70,-64,-81,-69,-200,-69,-74,-200,-72,-66,-200,-74,-67,-77,-85,-200,-85,-83,-200,-67,-74,-73,-68,-70,-74,-81,-82,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451271006,-41,-54,-49,-39,-29,-58,-51,-67,-52,-53,-56,-52,-60,-76,-67,-70,-68,-81,-69,-200,-79,-75,-200,-70,-62,-200,-72,-64,-77,-85,-200,-85,-83,-200,-73,-74,-73,-68,-74,-74,-81,-82,-85,-75,-77,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451274049,-41,-54,-49,-39,-29,-58,-51,-67,-52,-53,-56,-52,-60,-76,-67,-70,-68,-81,-69,-200,-79,-75,-200,-70,-62,-200,-72,-64,-77,-85,-200,-85,-83,-200,-73,-74,-73,-68,-74,-74,-81,-82,-85,-75,-77,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451277090,-41,-54,-49,-39,-29,-58,-51,-67,-52,-53,-56,-52,-60,-76,-67,-70,-68,-81,-69,-200,-79,-75,-200,-70,-62,-200,-72,-64,-77,-85,-200,-85,-83,-200,-73,-74,-73,-68,-74,-74,-81,-82,-85,-75,-77,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451280122,-39,-53,-48,-39,-22,-58,-52,-62,-55,-51,-51,-52,-54,-76,-63,-200,-67,-200,-69,-200,-80,-74,-59,-67,-62,-200,-75,-66,-75,-200,-200,-200,-200,-200,-71,-200,-200,-200,-76,-76,-82,-80,-82,-75,-76,-81,-81,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451283163,-39,-53,-48,-39,-22,-58,-52,-62,-51,-51,-55,-56,-54,-72,-66,-200,-60,-200,-70,-200,-81,-74,-59,-68,-64,-200,-81,-66,-75,-200,-200,-85,-200,-200,-74,-200,-200,-66,-74,-76,-82,-80,-82,-75,-75,-77,-81,-82,-83,-84,-200,-200,-200,-200,-200,-200,-200
1526451286194,-39,-53,-48,-39,-22,-58,-52,-62,-51,-51,-55,-56,-54,-72,-66,-200,-60,-200,-70,-200,-81,-74,-59,-68,-64,-200,-81,-66,-75,-200,-200,-85,-200,-200,-74,-200,-200,-66,-74,-76,-82,-80,-82,-75,-75,-77,-81,-82,-83,-84,-200,-200,-200,-200,-200,-200,-200
1526451289238,-39,-53,-48,-39,-22,-58,-52,-62,-51,-51,-55,-56,-54,-72,-66,-200,-60,-200,-70,-200,-81,-74,-59,-68,-64,-200,-81,-66,-75,-200,-200,-85,-200,-200,-74,-200,-200,-66,-74,-76,-82,-80,-82,-75,-75,-77,-81,-82,-83,-84,-200,-200,-200,-200,-200,-200,-200
1526451292281,-39,-53,-49,-40,-27,-59,-52,-60,-53,-51,-56,-52,-53,-67,-67,-200,-66,-200,-69,-200,-78,-74,-58,-64,-65,-200,-74,-200,-72,-88,-200,-82,-86,-200,-74,-200,-73,-66,-80,-200,-200,-200,-82,-200,-74,-75,-200,-200,-83,-84,-79,-80,-83,-87,-89,-200,-200
1526451295312,-40,-50,-48,-38,-31,-51,-51,-60,-51,-51,-53,-56,-55,-67,-61,-78,-68,-200,-70,-200,-78,-74,-60,-67,-65,-86,-75,-67,-72,-88,-200,-82,-86,-200,-70,-82,-74,-66,-80,-200,-200,-200,-83,-200,-74,-73,-200,-200,-83,-84,-79,-80,-83,-87,-87,-200,-200
1526451298368,-40,-50,-48,-38,-31,-51,-51,-60,-51,-51,-53,-56,-55,-67,-61,-78,-68,-200,-70,-200,-78,-74,-60,-67,-65,-86,-75,-67,-72,-88,-200,-82,-86,-200,-70,-82,-74,-66,-80,-200,-200,-200,-83,-200,-74,-73,-200,-200,-83,-84,-79,-80,-83,-87,-87,-200,-200
1526451301408,-40,-50,-48,-38,-31,-51,-51,-60,-51,-51,-53,-56,-55,-67,-61,-78,-68,-200,-70,-200,-78,-74,-60,-67,-65,-86,-75,-67,-72,-88,-200,-82,-86,-200,-70,-82,-74,-66,-80,-200,-200,-200,-83,-200,-74,-73,-200,-200,-83,-84,-79,-80,-83,-87,-87,-200,-200
1526451304452,-40,-49,-47,-40,-33,-56,-54,-56,-53,-50,-56,-58,-57,-75,-61,-83,-68,-200,-70,-200,-76,-73,-60,-67,-65,-86,-76,-66,-71,-200,-200,-85,-200,-200,-79,-77,-74,-69,-200,-200,-200,-80,-83,-200,-77,-71,-200,-200,-200,-200,-87,-200,-200,-200,-87,-78,-200
1526451307493,-40,-49,-48,-39,-34,-55,-54,-56,-53,-50,-56,-53,-57,-75,-69,-83,-68,-74,-70,-76,-76,-73,-59,-67,-65,-86,-76,-66,-71,-200,-200,-85,-200,-200,-73,-77,-74,-68,-79,-200,-200,-80,-86,-200,-77,-71,-200,-200,-200,-200,-88,-200,-200,-200,-87,-78,-80
1526451310533,-40,-49,-48,-39,-34,-55,-54,-56,-53,-50,-56,-53,-57,-75,-69,-83,-68,-74,-70,-76,-76,-73,-59,-67,-65,-86,-76,-66,-71,-200,-200,-85,-200,-200,-73,-77,-74,-68,-79,-200,-200,-80,-86,-200,-77,-71,-200,-200,-200,-200,-88,-200,-200,-200,-87,-78,-80
1526451313586,-40,-49,-48,-39,-34,-55,-54,-56,-53,-50,-56,-53,-57,-75,-69,-83,-68,-74,-70,-76,-76,-73,-59,-67,-65,-86,-76,-66,-71,-200,-200,-85,-200,-200,-73,-77,-74,-68,-79,-200,-200,-80,-86,-200,-77,-71,-200,-200,-200,-200,-88,-200,-200,-200,-87,-78,-80
1526451316613,-40,-49,-48,-39,-33,-61,-54,-56,-53,-50,-56,-53,-57,-200,-71,-200,-68,-74,-70,-76,-76,-200,-59,-67,-200,-200,-200,-200,-71,-200,-200,-200,-200,-200,-73,-200,-200,-68,-79,-200,-200,-200,-86,-200,-200,-200,-200,-200,-200,-200,-88,-200,-200,-200,-200,-200,-80
