,null,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,null,0113.0012-vlucci.com A1.4.0.1
,BC:6A:29:BE:31:61,7C:66:9D:7B:47:3D,78:A5:04:41:E7:A2,78:A5:04:41:E7:93,7C:66:9D:7B:46:8C,78:A5:04:41:EB:DD,BC:6A:29:BE:2F:12,7C:66:9D:7B:2B:BA
1526447648577,-82,-95,-68,-69,-200,-200,-200,-200
1526447648686,-80,-200,-67,-69,-200,-200,-200,-200
1526447648808,-78,-95,-200,-200,-103,-200,-200,-200
1526447648904,-200,-95,-200,-200,-100,-200,-200,-200
1526447653538,-200,-93,-200,-79,-200,-78,-200,-200
1526447653682,-200,-200,-200,-79,-200,-78,-200,-200
1526447653785,-200,-95,-71,-78,-200,-78,-200,-200
1526447653880,-200,-200,-70,-78,-200,-79,-200,-200
1526447658490,-91,-200,-81,-76,-200,-78,-200,-200
1526447658618,-90,-200,-80,-77,-200,-79,-200,-200
1526447658825,-89,-200,-81,-200,-200,-200,-200,-200
1526447658944,-90,-200,-200,-200,-200,-200,-200,-200
1526447659048,-90,-200,-200,-200,-200,-200,-200,-200
1526447663452,-88,-200,-78,-68,-200,-200,-200,-200
1526447663538,-88,-200,-78,-200,-200,-85,-97,-200
1526447663732,-88,-200,-77,-69,-200,-84,-99,-200
1526447663950,-200,-200,-200,-200,-200,-85,-200,-200
1526447668464,-200,-95,-70,-80,-200,-79,-200,-200
1526447668564,-200,-200,-200,-80,-200,-79,-200,-200
1526447668663,-200,-95,-200,-81,-200,-79,-200,-200
1526447668772,-200,-95,-72,-79,-200,-79,-200,-200
1526447668854,-200,-94,-72,-200,-200,-80,-200,-200
1526447673534,-200,-200,-79,-70,-200,-200,-200,-200
1526447673629,-85,-200,-76,-69,-200,-200,-200,-200
1526447673741,-200,-200,-76,-70,-200,-200,-200,-200
1526447673861,-200,-200,-76,-81,-200,-86,-200,-200
1526447673957,-96,-200,-76,-200,-200,-200,-200,-200
1526447678460,-95,-200,-72,-80,-200,-77,-200,-200
1526447678650,-200,-96,-73,-81,-200,-77,-200,-200
1526447678754,-93,-99,-73,-79,-200,-77,-200,-200
1526447678882,-200,-97,-73,-200,-200,-200,-200,-200
1526447683522,-90,-101,-74,-200,-200,-83,-200,-200
1526447684014,-91,-200,-200,-200,-200,-200,-200,-200
1526447684126,-94,-102,-76,-200,-200,-200,-200,-200
1526447684213,-87,-200,-75,-77,-200,-81,-200,-200
1526447688496,-92,-101,-75,-77,-200,-77,-200,-200
1526447688612,-92,-98,-75,-78,-200,-200,-200,-200
1526447688778,-93,-200,-75,-77,-200,-77,-200,-200
1526447688877,-200,-200,-200,-78,-200,-200,-200,-200
1526447693461,-200,-200,-84,-68,-200,-80,-200,-200
1526447693562,-96,-200,-200,-68,-200,-80,-200,-200
1526447693663,-97,-200,-85,-68,-200,-80,-200,-200
1526447693773,-98,-200,-84,-69,-200,-81,-200,-200
1526447693881,-200,-200,-70,-68,-200,-86,-200,-200
1526447698501,-100,-200,-70,-76,-200,-85,-200,-200
1526447698593,-200,-101,-81,-75,-200,-84,-200,-200
1526447698715,-94,-200,-73,-75,-200,-78,-200,-200
1526447698901,-93,-96,-73,-200,-200,-200,-200,-200
1526447703496,-94,-98,-200,-81,-200,-200,-200,-200
1526447703595,-93,-95,-76,-80,-200,-82,-200,-200
1526447703702,-200,-96,-76,-78,-200,-200,-200,-200
1526447703809,-94,-99,-76,-77,-200,-81,-200,-200
1526447703912,-92,-200,-200,-76,-200,-200,-200,-200
1526447708443,-200,-200,-81,-69,-104,-200,-200,-96
1526447708547,-200,-200,-82,-69,-200,-200,-200,-200
1526447708758,-200,-200,-200,-70,-200,-200,-200,-200
1526447708861,-200,-200,-82,-70,-200,-200,-200,-200
