,vlucci.com AC-V1.4.0.0,0113.0012-vlucci.com A1.4.0.1,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
,78:A5:04:41:E7:93,7C:66:9D:7B:2B:BA,BC:6A:29:BE:2F:12,78:A5:04:41:E7:A2,78:A5:04:41:EB:DD,BC:6A:29:BE:31:61,78:A5:04:41:EB:CE,78:A5:04:41:EE:07
1526447343552,-66,-89,-90,-66,-67,-200,-200,-200
1526447343663,-65,-89,-89,-67,-66,-200,-200,-200
1526447343765,-65,-89,-91,-67,-66,-200,-200,-200
1526447343896,-200,-200,-91,-66,-66,-200,-200,-200
1526447348467,-63,-200,-94,-74,-64,-200,-200,-200
1526447348604,-63,-200,-200,-200,-64,-94,-200,-200
1526447348705,-63,-84,-96,-74,-63,-93,-200,-200
1526447348809,-64,-200,-94,-200,-72,-94,-200,-200
1526447353491,-66,-200,-200,-78,-73,-88,-200,-200
1526447353589,-200,-200,-99,-78,-73,-88,-89,-200
1526447353697,-66,-200,-200,-200,-73,-88,-89,-200
1526447353791,-66,-90,-200,-200,-73,-88,-200,-200
1526447358467,-65,-200,-89,-66,-66,-200,-200,-200
1526447358561,-65,-200,-92,-200,-65,-200,-200,-200
1526447358667,-66,-87,-90,-200,-66,-200,-200,-95
1526447358776,-66,-200,-90,-200,-200,-200,-200,-200
1526447358877,-65,-200,-200,-200,-64,-200,-200,-200
1526447363470,-63,-85,-200,-200,-64,-200,-88,-200
1526447363571,-63,-84,-95,-200,-64,-200,-88,-200
1526447363675,-63,-83,-95,-200,-64,-200,-200,-200
1526447363776,-63,-200,-200,-70,-63,-200,-200,-200
1526447363893,-63,-85,-200,-82,-200,-87,-200,-200
1526447368570,-200,-200,-200,-200,-200,-88,-200,-200
1526447368676,-200,-200,-200,-77,-200,-88,-200,-200
1526447368785,-66,-200,-200,-78,-72,-88,-200,-200
1526447368888,-65,-200,-200,-67,-72,-88,-90,-200
1526447373520,-65,-88,-91,-67,-65,-200,-200,-200
1526447373627,-65,-200,-91,-67,-65,-200,-200,-200
1526447373741,-65,-87,-90,-66,-65,-200,-200,-200
1526447373841,-65,-87,-90,-200,-66,-89,-200,-200
1526447378635,-200,-200,-97,-200,-72,-92,-200,-200
1526447378743,-65,-200,-200,-80,-69,-89,-200,-200
1526447378908,-65,-200,-97,-77,-70,-88,-88,-200
1526447379013,-65,-200,-200,-77,-200,-88,-91,-200
1526447383460,-65,-200,-90,-200,-65,-100,-200,-200
1526447383599,-65,-88,-92,-67,-66,-200,-91,-200
1526447383697,-65,-88,-91,-67,-66,-200,-200,-200
1526447383817,-66,-88,-200,-67,-65,-200,-90,-200
1526447383941,-70,-200,-97,-68,-72,-90,-200,-200
1526447388816,-200,-200,-200,-77,-74,-87,-200,-200
1526447388918,-76,-200,-200,-200,-80,-88,-200,-200
1526447389029,-200,-200,-97,-200,-200,-88,-200,-200
1526447389244,-200,-200,-98,-200,-200,-88,-200,-200
1526447389354,-65,-200,-97,-200,-200,-88,-87,-200
1526447389461,-200,-200,-96,-77,-200,-88,-88,-200
1526447393466,-66,-88,-200,-68,-200,-100,-90,-200
1526447393587,-65,-200,-92,-68,-67,-200,-200,-200
1526447393730,-65,-88,-92,-68,-67,-200,-200,-200
1526447393837,-200,-88,-92,-68,-67,-200,-200,-200
1526447393942,-64,-84,-93,-67,-65,-94,-88,-200
1526447398549,-64,-84,-200,-74,-64,-95,-88,-200
1526447398650,-64,-84,-200,-200,-64,-96,-88,-200
1526447398782,-63,-85,-200,-200,-64,-95,-88,-200
1526447403462,-65,-200,-97,-76,-69,-88,-87,-200
1526447403541,-65,-200,-96,-76,-69,-88,-87,-200
1526447403662,-65,-200,-97,-76,-70,-88,-87,-200
1526447403839,-200,-200,-98,-200,-70,-200,-87,-200
