,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0
,78:A5:04:41:EE:1D,78:A5:04:41:E5:62,78:A5:04:41:E7:88,78:A5:04:41:E7:EF,78:A5:04:41:EB:CE,78:A5:04:41:EB:98,78:A5:04:41:E9:EB,7C:66:9D:7B:47:3D,78:A5:04:41:E5:70,78:A5:04:41:EE:15,BC:6A:29:BE:2F:12,78:A5:04:41:E9:92,78:A5:04:41:E7:D5,78:A5:04:41:E7:98,78:A5:04:41:E9:D7,78:A5:04:41:E9:8A,BC:6A:29:BE:31:61,78:A5:04:41:EE:08,7C:66:9D:7B:46:8C,78:A5:04:41:E9:D2
1526446726679,-200,-200,-54,-200,-79,-200,-200,-200,-200,-82,-94,-77,-57,-73,-200,-200,-200,-200,-100,-200
1526446731362,-200,-72,-64,-200,-200,-200,-200,-94,-200,-200,-94,-200,-200,-78,-77,-200,-100,-90,-200,-200
1526446731552,-95,-72,-64,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-87,-86,-200,-200,-200,-200,-200
1526446731663,-87,-70,-61,-200,-200,-68,-76,-200,-200,-80,-200,-77,-60,-79,-76,-200,-200,-88,-200,-200
1526446736360,-200,-200,-200,-200,-200,-65,-69,-200,-84,-200,-200,-200,-200,-69,-200,-200,-200,-200,-200,-200
1526446736466,-83,-200,-200,-79,-200,-66,-200,-90,-84,-200,-200,-200,-200,-69,-200,-200,-200,-200,-200,-200
1526446736568,-200,-200,-66,-79,-200,-65,-69,-90,-200,-200,-200,-74,-57,-69,-86,-200,-200,-200,-200,-200
1526446736734,-84,-200,-66,-76,-200,-65,-200,-200,-200,-84,-200,-200,-200,-69,-200,-200,-200,-200,-200,-200
1526446741384,-200,-79,-54,-200,-200,-62,-76,-89,-88,-200,-200,-200,-56,-76,-86,-200,-200,-200,-200,-200
1526446741510,-200,-200,-54,-200,-80,-200,-76,-200,-200,-200,-95,-200,-56,-76,-200,-200,-200,-200,-200,-200
1526446741620,-200,-80,-200,-200,-200,-200,-75,-91,-200,-200,-200,-77,-56,-200,-200,-200,-200,-200,-200,-200
1526446741723,-200,-79,-54,-200,-200,-62,-76,-200,-200,-200,-200,-200,-56,-200,-200,-200,-200,-200,-200,-200
