,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
,78:A5:04:41:EB:98,78:A5:04:41:E9:EB,78:A5:04:41:E7:98,78:A5:04:41:E5:62,78:A5:04:41:E9:8A,78:A5:04:41:E7:88,78:A5:04:41:E9:92,78:A5:04:41:E7:EF,78:A5:04:41:E7:D5,7C:66:9D:7B:47:3D,78:A5:04:41:EB:CE,78:A5:04:41:E9:D7,78:A5:04:41:EE:15
1526446510756,-60,-79,-66,-77,-75,-69,-80,-79,-200,-200,-200,-200,-200
1526446510845,-60,-79,-65,-77,-75,-200,-80,-79,-66,-200,-200,-200,-200
1526446510937,-61,-200,-200,-200,-76,-69,-81,-79,-200,-95,-200,-200,-200
1526446515617,-200,-200,-200,-83,-72,-68,-80,-81,-200,-200,-200,-200,-200
1526446515710,-57,-200,-200,-200,-200,-69,-79,-82,-66,-200,-200,-200,-200
1526446515854,-58,-200,-76,-83,-73,-200,-200,-81,-66,-200,-200,-200,-200
1526446515972,-58,-200,-200,-83,-200,-68,-200,-200,-65,-94,-200,-200,-200
1526446520642,-200,-200,-200,-200,-77,-68,-81,-80,-200,-95,-84,-86,-200
1526446520748,-200,-200,-78,-200,-200,-68,-80,-81,-64,-95,-200,-86,-200
1526446520853,-200,-200,-200,-200,-77,-68,-200,-80,-64,-95,-200,-200,-200
1526446520964,-58,-200,-79,-200,-200,-200,-200,-81,-64,-95,-85,-200,-200
1526446525621,-200,-80,-200,-200,-200,-200,-82,-200,-68,-200,-200,-200,-200
1526446525832,-200,-77,-72,-200,-200,-74,-200,-200,-72,-200,-200,-200,-200
1526446530629,-200,-77,-200,-200,-70,-63,-80,-200,-65,-95,-200,-200,-200
1526446530764,-200,-200,-200,-200,-200,-63,-80,-200,-65,-200,-200,-200,-200
1526446530864,-57,-77,-200,-84,-200,-200,-80,-200,-65,-200,-200,-84,-200
1526446530969,-57,-77,-200,-200,-70,-200,-80,-200,-65,-200,-200,-85,-200
1526446535615,-58,-77,-65,-79,-75,-72,-200,-78,-65,-96,-200,-200,-200
1526446535710,-200,-200,-65,-79,-75,-200,-82,-200,-200,-200,-200,-200,-200
1526446535816,-58,-200,-64,-79,-75,-200,-82,-79,-200,-97,-200,-200,-200
1526446535931,-200,-78,-65,-200,-75,-73,-82,-78,-65,-98,-200,-200,-200
1526446540622,-64,-200,-200,-84,-200,-69,-84,-200,-73,-200,-200,-85,-200
1526446540705,-65,-200,-200,-83,-78,-69,-84,-78,-200,-200,-200,-200,-200
1526446540820,-65,-200,-200,-200,-78,-69,-85,-78,-200,-200,-200,-86,-200
1526446540924,-68,-200,-80,-200,-80,-72,-200,-200,-200,-200,-200,-88,-200
1526446545612,-57,-79,-65,-74,-200,-65,-200,-200,-65,-98,-200,-83,-200
1526446545735,-57,-200,-65,-74,-200,-65,-200,-200,-65,-200,-200,-200,-200
1526446545842,-57,-78,-64,-74,-200,-65,-200,-75,-65,-200,-200,-83,-200
1526446545951,-200,-79,-64,-74,-67,-65,-200,-200,-65,-98,-200,-200,-200
1526446546051,-58,-200,-200,-75,-200,-200,-200,-83,-65,-97,-88,-200,-200
1526446550667,-200,-200,-63,-200,-75,-81,-200,-200,-65,-200,-200,-200,-200
1526446550797,-58,-200,-62,-200,-75,-82,-200,-200,-65,-200,-200,-200,-200
1526446550899,-200,-78,-62,-200,-200,-81,-200,-200,-200,-200,-200,-200,-200
1526446551011,-200,-77,-200,-200,-78,-81,-84,-85,-68,-200,-89,-200,-200
1526446555654,-66,-200,-67,-75,-78,-74,-200,-75,-200,-200,-200,-200,-200
1526446555762,-66,-79,-68,-200,-77,-74,-84,-75,-68,-200,-200,-200,-200
1526446555879,-66,-200,-67,-200,-200,-74,-200,-75,-200,-200,-200,-87,-88
1526446555974,-67,-80,-68,-75,-200,-200,-200,-76,-68,-200,-200,-88,-200
1526446560630,-200,-200,-200,-74,-67,-64,-79,-75,-64,-200,-200,-200,-200
1526446560773,-200,-200,-200,-200,-68,-64,-79,-75,-64,-97,-200,-200,-200
1526446560883,-200,-200,-200,-200,-68,-64,-78,-200,-64,-97,-200,-200,-200
1526446560997,-59,-200,-200,-200,-68,-64,-81,-200,-200,-200,-200,-200,-200
1526446565650,-63,-200,-200,-76,-200,-200,-200,-200,-200,-100,-200,-200,-200
1526446565758,-60,-200,-73,-76,-200,-200,-200,-84,-66,-200,-200,-200,-200
1526446565903,-57,-200,-62,-75,-75,-76,-200,-82,-64,-200,-200,-200,-200
1526446565991,-200,-78,-200,-74,-75,-77,-200,-200,-64,-200,-200,-200,-200
1526446570623,-69,-80,-72,-76,-200,-73,-200,-76,-68,-200,-200,-86,-200
1526446570741,-69,-79,-70,-76,-78,-73,-200,-200,-68,-200,-200,-200,-88
1526446570915,-69,-80,-200,-200,-78,-200,-200,-76,-200,-200,-200,-86,-200
1526446571014,-69,-81,-200,-77,-200,-200,-200,-77,-200,-200,-200,-200,-200
1526446575609,-58,-80,-64,-200,-68,-66,-79,-75,-64,-200,-200,-83,-200
1526446575708,-59,-200,-64,-200,-68,-65,-79,-75,-64,-98,-200,-82,-200
1526446575815,-59,-79,-64,-200,-68,-200,-79,-75,-64,-200,-200,-84,-200
1526446575957,-59,-200,-65,-200,-68,-64,-200,-200,-64,-200,-200,-200,-200
