,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
,78:A5:04:41:E7:A7,78:A5:04:41:EE:0A,78:A5:04:41:EB:E4,78:A5:04:41:EB:D4
1526453425914,-88,-200,-200,-200
1526453426046,-88,-89,-200,-200
1526453440830,-87,-95,-93,-200
1526453441098,-87,-200,-200,-200
1526453441242,-87,-200,-200,-86
1526453446161,-88,-200,-92,-88
1526453455951,-87,-200,-200,-93
1526453456192,-87,-88,-200,-200
1526453470857,-85,-95,-200,-200
1526453470967,-85,-200,-200,-200
1526453471037,-87,-200,-91,-200
1526453471140,-88,-200,-90,-200
1526453471246,-88,-200,-200,-200
