,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
,78:A5:04:41:EB:E4,78:A5:04:41:EB:D4,78:A5:04:41:E7:A7,78:A5:04:41:EE:0A,78:A5:04:41:EB:B2,78:A5:04:41:EB:AB,78:A5:04:41:E9:C8
1526452655729,-90,-80,-200,-200,-200,-200,-200
1526452656046,-88,-200,-200,-200,-200,-200,-200
1526452656149,-90,-79,-200,-200,-200,-200,-200
1526452660794,-91,-83,-93,-200,-200,-200,-200
1526452660892,-91,-83,-94,-200,-200,-200,-200
1526452661106,-90,-84,-93,-200,-200,-200,-200
1526452661224,-200,-84,-200,-200,-200,-200,-200
1526452665732,-92,-82,-200,-200,-200,-200,-200
1526452665867,-92,-81,-200,-95,-93,-200,-200
1526452671216,-90,-80,-200,-200,-200,-200,-200
1526452675817,-90,-83,-200,-200,-200,-200,-200
1526452675925,-89,-84,-93,-200,-200,-94,-200
1526452676160,-200,-84,-200,-200,-200,-200,-200
1526452676267,-91,-84,-200,-200,-200,-200,-200
1526452680751,-91,-81,-88,-200,-200,-200,-200
1526452680879,-90,-82,-89,-94,-200,-200,-200
1526452681105,-200,-80,-89,-96,-200,-200,-200
1526452681260,-200,-81,-90,-200,-200,-200,-200
1526452685786,-89,-80,-200,-200,-200,-200,-200
1526452685991,-84,-81,-200,-200,-200,-200,-200
1526452690800,-90,-84,-200,-200,-200,-200,-200
1526452690902,-91,-84,-200,-200,-200,-200,-200
1526452691137,-91,-84,-200,-200,-200,-200,-200
1526452691208,-91,-84,-200,-200,-200,-95,-200
1526452695759,-91,-81,-200,-200,-200,-200,-200
1526452695861,-200,-82,-200,-200,-200,-200,-200
1526452696003,-200,-82,-89,-200,-200,-200,-200
1526452696085,-200,-82,-90,-200,-200,-200,-200
1526452696195,-91,-81,-88,-200,-200,-200,-200
1526452700762,-200,-82,-91,-200,-200,-200,-200
1526452700930,-200,-81,-200,-200,-200,-200,-200
1526452701152,-87,-81,-200,-200,-200,-200,-200
1526452701246,-200,-82,-200,-200,-200,-200,-200
1526452705728,-200,-84,-200,-200,-200,-200,-200
1526452705842,-200,-83,-91,-200,-200,-200,-200
1526452705961,-200,-84,-92,-200,-200,-200,-200
1526452706050,-90,-84,-200,-200,-200,-200,-200
1526452706150,-91,-85,-92,-200,-200,-200,-200
1526452710795,-89,-81,-200,-200,-200,-200,-200
1526452711020,-91,-81,-200,-200,-200,-200,-200
1526452711135,-200,-81,-200,-200,-200,-200,-97
1526452711283,-89,-82,-91,-200,-200,-200,-200
1526452715974,-89,-200,-200,-200,-200,-200,-200
1526452716104,-89,-83,-93,-200,-200,-200,-200
1526452720982,-200,-83,-200,-200,-200,-200,-200
1526452721097,-90,-84,-200,-200,-200,-94,-200
1526452721213,-200,-83,-91,-200,-200,-200,-200
