,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
,78:A5:04:41:EB:B2,78:A5:04:41:EB:AB,78:A5:04:41:EB:E4,78:A5:04:41:EB:F6
1526453050784,-92,-94,-200,-200
1526453055763,-90,-93,-200,-200
1526453055864,-200,-93,-200,-200
1526453056095,-95,-92,-96,-200
1526453070893,-200,-90,-200,-200
1526453070981,-200,-89,-93,-200
1526453071085,-200,-89,-93,-200
1526453071204,-200,-90,-94,-200
1526453085801,-200,-94,-200,-200
1526453086131,-200,-93,-200,-200
1526453086238,-89,-94,-200,-200
1526453100852,-90,-83,-200,-97
1526453100923,-200,-84,-200,-200
