,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
,78:A5:04:41:EB:B2,78:A5:04:41:EB:E4,78:A5:04:41:EB:F6,78:A5:04:41:EB:AB
1526452960482,-85,-89,-200,-200
1526452961118,-90,-200,-200,-200
1526452965766,-90,-200,-200,-200
1526452965832,-90,-200,-200,-200
1526452965933,-90,-200,-200,-200
1526452966035,-91,-200,-200,-200
1526452966133,-90,-88,-90,-200
1526452970859,-89,-85,-91,-200
1526452975766,-83,-200,-82,-200
1526452980773,-95,-93,-200,-200
1526452980877,-200,-93,-200,-200
1526452981075,-89,-93,-200,-87
1526452985872,-89,-200,-200,-200
1526452985992,-89,-200,-200,-200
1526452986151,-91,-88,-200,-200
1526452991152,-83,-94,-96,-200
1526452995925,-82,-93,-200,-200
1526453000994,-83,-200,-200,-200
1526453001104,-83,-200,-200,-95
1526453011110,-200,-200,-200,-95
1526453015908,-200,-84,-90,-84
1526453021095,-93,-200,-86,-87
1526453025831,-92,-200,-92,-87
1526453025967,-200,-200,-94,-87
1526453026073,-95,-200,-93,-87
