,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
,78:A5:04:41:EB:AB,78:A5:04:41:EB:E4,78:A5:04:41:EB:D4,78:A5:04:41:EB:B2
1526452863894,-93,-89,-200,-200
1526452870904,-200,-93,-200,-200
1526452871009,-200,-93,-200,-200
1526452871241,-92,-94,-200,-200
1526452875858,-93,-91,-200,-200
1526452875967,-200,-90,-95,-200
1526452885820,-200,-91,-200,-200
1526452886103,-200,-91,-200,-200
1526452886226,-200,-91,-200,-200
1526452890810,-200,-87,-200,-200
1526452890913,-200,-89,-91,-200
1526452891021,-200,-89,-200,-200
1526452895745,-200,-92,-200,-200
1526452900857,-95,-89,-200,-97
1526452905906,-92,-88,-200,-200
1526452906136,-93,-89,-200,-200
1526452915770,-200,-93,-200,-200
1526452915948,-200,-90,-200,-200
