,NETWORK,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A28,D-Link_DIR-823Pro,D-Link_DIR-823Pro
,bc:d1:77:5f:6a:b4,74:da:da:98:8d:78,74:da:da:c1:4b:05,74:da:da:c1:4b:01,74:da:da:c1:3c:dd,0c:73:eb:d0:7c:48,74:da:da:c1:4a:f5,74:da:da:98:74:94,0c:73:eb:d0:7c:30,74:da:da:c1:3c:f9,74:da:da:c1:4a:ed,74:da:da:c1:3c:99,0c:73:eb:d0:7c:10,74:da:da:c1:4b:59,0c:73:eb:d0:11:f0,0c:73:eb:d0:7e:d8,0c:73:eb:d0:11:d0,74:da:da:c1:3c:d1,0c:73:eb:d0:7c:18,74:da:da:c1:3c:91,74:da:da:c1:3c:f5,74:da:da:c0:f2:fd,0c:73:eb:d0:76:20,74:da:da:c1:3b:49,0c:73:eb:d0:11:b0,74:da:da:c1:4a:a5,74:da:da:c1:3c:6d,74:da:da:98:db:44,0c:73:eb:d0:7e:e0,0c:73:eb:d0:7c:00,74:da:da:98:7a:68,0c:73:eb:d0:11:e8,74:da:da:c1:3a:81,74:da:da:c1:3c:e1,74:da:da:c1:3b:85,0c:73:eb:d0:13:d0,74:da:da:c0:e0:71,74:da:da:c1:3c:51,74:da:da:98:92:14,74:da:da:c1:3c:ad,0c:73:eb:d0:2a:28,74:da:da:c0:e2:d9,74:da:da:c0:d7:09
1526454240521,-23,-32,-37,-44,-51,-52,-53,-56,-57,-58,-59,-61,-62,-62,-66,-70,-71,-75,-76,-77,-77,-79,-81,-82,-84,-84,-85,-86,-86,-86,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454243548,-45,-43,-33,-43,-51,-50,-53,-68,-57,-63,-59,-53,-54,-53,-64,-70,-71,-75,-69,-77,-70,-79,-200,-69,-200,-84,-200,-86,-200,-86,-200,-70,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454246588,-45,-43,-33,-43,-51,-50,-53,-68,-57,-63,-59,-53,-54,-53,-64,-70,-71,-75,-69,-77,-70,-79,-200,-69,-200,-84,-200,-86,-200,-86,-200,-70,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454249621,-45,-43,-33,-43,-51,-50,-53,-68,-57,-63,-59,-53,-54,-53,-64,-70,-71,-75,-69,-77,-70,-79,-200,-69,-200,-84,-200,-86,-200,-86,-200,-70,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454252655,-46,-36,-31,-45,-43,-54,-56,-63,-57,-59,-75,-50,-53,-53,-59,-68,-74,-85,-66,-81,-67,-82,-87,-69,-200,-90,-200,-85,-200,-200,-200,-69,-84,-86,-88,-200,-200,-200,-200,-200,-200,-200,-200
1526454255690,-47,-37,-30,-45,-47,-54,-57,-65,-57,-59,-74,-52,-52,-50,-61,-65,-73,-85,-64,-82,-67,-80,-87,-69,-88,-90,-200,-85,-200,-200,-200,-71,-84,-86,-88,-200,-200,-200,-200,-200,-200,-200,-200
1526454258716,-47,-37,-30,-45,-47,-54,-57,-65,-57,-59,-74,-52,-52,-50,-61,-65,-73,-85,-64,-82,-67,-80,-87,-69,-88,-90,-200,-85,-200,-200,-200,-71,-84,-86,-88,-200,-200,-200,-200,-200,-200,-200,-200
1526454261750,-47,-37,-30,-45,-47,-54,-57,-65,-57,-59,-74,-52,-52,-50,-61,-65,-73,-85,-64,-82,-67,-80,-87,-69,-88,-90,-200,-85,-200,-200,-200,-71,-84,-86,-88,-200,-200,-200,-200,-200,-200,-200,-200
1526454264788,-45,-37,-30,-45,-47,-50,-55,-68,-57,-61,-73,-52,-52,-51,-61,-71,-73,-200,-68,-81,-70,-80,-200,-200,-88,-200,-200,-200,-200,-200,-200,-70,-200,-200,-200,-84,-91,-92,-98,-200,-200,-200,-200
