,D-Link_DIR-823Pro,NETWORK,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A38,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018
,74:da:da:c1:4b:05,bc:d1:77:5f:6a:b4,74:da:da:98:8d:78,74:da:da:c1:4b:01,74:da:da:c1:4a:f5,0c:73:eb:d0:7c:48,74:da:da:c1:3c:99,74:da:da:98:74:94,74:da:da:c1:3c:dd,74:da:da:c1:4b:59,0c:73:eb:d0:11:f0,0c:73:eb:d0:7c:30,0c:73:eb:d0:7c:10,0c:73:eb:d0:7c:18,74:da:da:c1:3c:f9,74:da:da:c1:3c:f5,74:da:da:c1:3c:d1,0c:73:eb:d0:7e:d8,74:da:da:c1:4a:ed,0c:73:eb:d0:11:d0,74:da:da:c1:3b:49,0c:73:eb:d0:2a:38,74:da:da:98:db:44,74:da:da:c1:3c:ad,0c:73:eb:d0:11:e8,74:da:da:c1:3c:e1,74:da:da:c1:14:99,74:da:da:c0:f2:fd,0c:73:eb:d0:7c:00,74:da:da:c1:3c:91,74:da:da:c1:3b:e9,74:da:da:c1:3c:6d,74:da:da:c0:e0:81,0c:73:eb:d0:76:20,0c:73:eb:d0:11:b0,0c:73:eb:d0:19:b0
1526453537026,-36,-44,-47,-48,-48,-54,-56,-57,-59,-61,-62,-63,-63,-64,-67,-69,-73,-74,-75,-78,-78,-79,-79,-81,-82,-82,-83,-84,-84,-85,-85,-86,-87,-88,-200,-200
1526453539652,-40,-44,-46,-44,-49,-57,-57,-65,-59,-57,-66,-63,-63,-62,-67,-66,-71,-78,-200,-200,-78,-79,-79,-200,-83,-82,-83,-200,-84,-85,-85,-200,-200,-88,-83,-86
1526453540057,-40,-44,-46,-44,-49,-57,-57,-65,-59,-57,-66,-63,-63,-62,-67,-66,-71,-78,-200,-200,-78,-79,-79,-200,-83,-82,-83,-200,-84,-85,-85,-200,-200,-88,-83,-86
1526453542686,-40,-44,-46,-44,-49,-57,-57,-65,-59,-57,-66,-63,-63,-62,-67,-66,-71,-78,-200,-200,-78,-79,-79,-200,-83,-82,-83,-200,-84,-85,-85,-200,-200,-88,-83,-86
1526453543071,-40,-44,-46,-44,-49,-57,-57,-65,-59,-57,-66,-63,-63,-62,-67,-66,-71,-78,-200,-200,-78,-79,-79,-200,-83,-82,-83,-200,-84,-85,-85,-200,-200,-88,-83,-86
1526453545719,-40,-44,-46,-44,-49,-57,-57,-65,-59,-57,-66,-63,-63,-62,-67,-66,-71,-78,-200,-200,-78,-79,-79,-200,-83,-82,-83,-200,-84,-85,-85,-200,-200,-88,-83,-86
1526453546108,-40,-44,-46,-44,-49,-57,-57,-65,-59,-57,-66,-63,-63,-62,-67,-66,-71,-78,-200,-200,-78,-79,-79,-200,-83,-82,-83,-200,-84,-85,-85,-200,-200,-88,-83,-86
1526453548763,-40,-44,-39,-44,-49,-57,-61,-65,-58,-57,-67,-69,-62,-62,-67,-66,-71,-78,-200,-82,-200,-200,-200,-200,-83,-200,-200,-200,-200,-85,-200,-200,-200,-200,-83,-86
1526453549138,-40,-44,-39,-44,-49,-57,-61,-65,-58,-57,-67,-69,-62,-62,-67,-66,-71,-78,-200,-82,-200,-200,-200,-200,-83,-200,-200,-200,-200,-85,-200,-200,-200,-200,-83,-86
