,D-Link_DIR-823Pro,D-Link_DIR-823Pro,NETWORK,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A38,D-Link_DIR-823Pro,DLINK_D02A18,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro
,74:da:da:c1:4b:05,74:da:da:98:8d:78,bc:d1:77:5f:6a:b4,74:da:da:c1:4b:01,74:da:da:c1:3c:dd,0c:73:eb:d0:7c:10,0c:73:eb:d0:7c:18,0c:73:eb:d0:11:f0,74:da:da:c1:4b:59,0c:73:eb:d0:7c:48,74:da:da:c1:4a:f5,0c:73:eb:d0:7c:30,74:da:da:c1:3c:f9,74:da:da:c1:4a:ed,74:da:da:98:74:94,74:da:da:c1:3c:99,0c:73:eb:d0:7e:d8,0c:73:eb:d0:11:e8,74:da:da:c1:3c:f5,74:da:da:c1:3c:91,74:da:da:c1:3c:d1,0c:73:eb:d0:7c:00,74:da:da:c1:3b:49,0c:73:eb:d0:76:20,74:da:da:c0:f2:fd,74:da:da:c1:3c:e1,0c:73:eb:d0:11:d0,74:da:da:c0:f3:59,74:da:da:98:92:14,0c:73:eb:d0:2a:38,74:da:da:c1:3c:6d,0c:73:eb:d0:2a:18,74:da:da:c1:3a:81,74:da:da:c1:3b:e9,74:da:da:c0:e0:81,0c:73:eb:d0:13:d0,0c:73:eb:d0:7e:e0,74:da:da:c1:3b:45,74:da:da:98:8f:64,74:da:da:c0:e2:d9,74:da:da:c1:3c:ad
1526453465309,-31,-45,-47,-49,-51,-57,-57,-58,-58,-59,-59,-67,-68,-71,-73,-74,-76,-77,-80,-81,-83,-84,-87,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526453468335,-43,-53,-52,-52,-59,-66,-67,-70,-64,-71,-59,-67,-68,-81,-73,-74,-76,-77,-70,-87,-82,-200,-200,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526453471353,-43,-53,-52,-52,-59,-66,-67,-70,-64,-71,-59,-67,-68,-81,-73,-74,-76,-77,-70,-87,-82,-200,-200,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526453474379,-43,-53,-52,-52,-59,-66,-67,-70,-64,-71,-59,-67,-68,-81,-73,-74,-76,-77,-70,-87,-82,-200,-200,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526453477414,-42,-45,-49,-47,-53,-65,-66,-59,-57,-58,-54,-64,-58,-70,-63,-64,-78,-78,-70,-86,-76,-200,-200,-86,-78,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526453480450,-41,-45,-49,-47,-53,-65,-70,-59,-61,-57,-55,-63,-59,-70,-61,-64,-78,-79,-70,-86,-78,-200,-82,-86,-78,-80,-77,-93,-93,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526453483483,-41,-45,-49,-47,-53,-65,-70,-59,-61,-57,-55,-63,-59,-70,-61,-64,-78,-79,-70,-86,-78,-200,-82,-86,-78,-80,-77,-93,-93,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526453486516,-41,-44,-49,-48,-59,-65,-73,-55,-61,-57,-58,-62,-61,-70,-61,-64,-75,-80,-70,-86,-78,-200,-82,-86,-81,-78,-77,-91,-93,-77,-86,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526453489565,-42,-47,-52,-55,-58,-61,-63,-57,-62,-59,-63,-62,-62,-70,-58,-200,-78,-75,-200,-86,-78,-84,-82,-200,-81,-78,-77,-91,-93,-77,-86,-90,-88,-200,-200,-200,-200,-200,-200,-200,-200
