,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,NETWORK,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,DLINK_D02A18,DLINK_D02A28,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro
,74:da:da:98:8d:78,0c:73:eb:d0:7c:48,74:da:da:c1:4b:05,74:da:da:98:74:94,bc:d1:77:5f:6a:b4,74:da:da:c1:4b:01,74:da:da:c1:4a:f5,74:da:da:c1:4b:59,74:da:da:c1:3c:91,0c:73:eb:d0:7c:10,0c:73:eb:d0:76:20,0c:73:eb:d0:7c:30,0c:73:eb:d0:7c:18,74:da:da:c1:3b:65,74:da:da:c1:3b:49,0c:73:eb:d0:11:d0,74:da:da:c1:4a:ed,0c:73:eb:d0:11:f0,0c:73:eb:d0:7e:e0,0c:73:eb:d0:19:b0,0c:73:eb:d0:2a:18,0c:73:eb:d0:2a:28,0c:73:eb:d0:11:b0,74:da:da:c1:3b:e9,0c:73:eb:d0:7e:d8,74:da:da:c1:3c:f9,74:da:da:c0:d7:09,74:da:da:c1:3c:d1,74:da:da:c1:3c:6d,74:da:da:c1:3c:99,74:da:da:c1:3c:ad,74:da:da:c0:f2:fd,74:da:da:c1:4a:a5
1526454723245,-35,-52,-52,-57,-59,-63,-65,-71,-78,-79,-79,-79,-81,-83,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454726275,-37,-57,-59,-58,-62,-60,-68,-72,-80,-74,-90,-74,-81,-200,-200,-72,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454729304,-37,-57,-59,-58,-62,-60,-68,-72,-80,-74,-90,-74,-81,-200,-200,-72,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454732320,-37,-57,-59,-58,-62,-60,-68,-72,-80,-74,-90,-74,-81,-200,-200,-72,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454735348,-37,-63,-56,-58,-62,-62,-68,-68,-76,-74,-200,-74,-81,-200,-200,-72,-72,-83,-89,-90,-91,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454738381,-37,-61,-56,-58,-61,-61,-68,-73,-76,-77,-200,-74,-81,-200,-200,-74,-74,-83,-89,-90,-91,-91,-79,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454741409,-37,-61,-56,-58,-61,-61,-68,-73,-76,-77,-200,-74,-81,-200,-200,-74,-74,-83,-89,-90,-91,-91,-79,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454744439,-37,-61,-56,-58,-61,-61,-68,-73,-76,-77,-200,-74,-81,-200,-200,-74,-74,-83,-89,-90,-91,-91,-79,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454747476,-36,-59,-55,-58,-60,-62,-70,-72,-76,-80,-200,-76,-200,-200,-200,-75,-74,-200,-90,-87,-91,-200,-79,-88,-85,-87,-88,-90,-90,-200,-200,-200,-200
1526454750508,-36,-59,-56,-58,-60,-61,-70,-72,-74,-74,-200,-76,-200,-200,-200,-75,-74,-200,-90,-87,-91,-200,-79,-88,-85,-87,-88,-90,-90,-200,-200,-200,-200
1526454753540,-36,-59,-56,-58,-60,-61,-70,-72,-74,-74,-200,-76,-200,-200,-200,-75,-74,-200,-90,-87,-91,-200,-79,-88,-85,-87,-88,-90,-90,-200,-200,-200,-200
1526454756571,-36,-59,-56,-58,-60,-61,-70,-72,-74,-74,-200,-76,-200,-200,-200,-75,-74,-200,-90,-87,-91,-200,-79,-88,-85,-87,-88,-90,-90,-200,-200,-200,-200
1526454759612,-36,-60,-56,-60,-61,-60,-69,-74,-75,-73,-200,-76,-200,-200,-89,-79,-72,-200,-200,-200,-200,-200,-87,-86,-200,-200,-200,-90,-200,-83,-84,-87,-88
1526454762640,-35,-62,-56,-55,-61,-60,-68,-76,-75,-76,-200,-76,-200,-200,-89,-79,-72,-200,-200,-200,-200,-200,-87,-86,-200,-200,-200,-90,-200,-83,-84,-87,-88
1526454765675,-35,-62,-56,-55,-61,-60,-68,-76,-75,-76,-200,-76,-200,-200,-89,-79,-72,-200,-200,-200,-200,-200,-87,-86,-200,-200,-200,-90,-200,-83,-84,-87,-88
1526454768704,-35,-62,-56,-55,-61,-60,-68,-76,-75,-76,-200,-76,-200,-200,-89,-79,-72,-200,-200,-200,-200,-200,-87,-86,-200,-200,-200,-90,-200,-83,-84,-87,-88
1526454771725,-36,-61,-56,-58,-67,-60,-68,-76,-75,-71,-200,-83,-200,-200,-200,-76,-200,-200,-200,-200,-200,-200,-200,-200,-81,-200,-200,-200,-200,-200,-200,-200,-200
1526454774749,-34,-61,-56,-58,-67,-58,-73,-71,-81,-69,-200,-73,-200,-200,-200,-72,-200,-200,-200,-88,-200,-200,-200,-200,-81,-87,-200,-89,-200,-200,-200,-200,-200
1526454777775,-34,-61,-56,-58,-67,-58,-73,-71,-81,-69,-200,-73,-200,-200,-200,-72,-200,-200,-200,-88,-200,-200,-200,-200,-81,-87,-200,-89,-200,-200,-200,-200,-200
1526454780804,-34,-61,-56,-58,-67,-58,-73,-71,-81,-69,-200,-73,-200,-200,-200,-72,-200,-200,-200,-88,-200,-200,-200,-200,-81,-87,-200,-89,-200,-200,-200,-200,-200
1526454783840,-35,-60,-59,-54,-68,-60,-69,-71,-79,-69,-200,-75,-83,-200,-85,-73,-74,-83,-200,-88,-200,-200,-200,-85,-200,-87,-200,-89,-200,-200,-86,-200,-200
