,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,NETWORK,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A28,WHU-2018
,0c:73:eb:d0:7c:48,74:da:da:98:74:94,74:da:da:98:8d:78,74:da:da:c1:4b:05,74:da:da:c1:4b:01,bc:d1:77:5f:6a:b4,74:da:da:c1:4a:f5,74:da:da:c1:3c:dd,0c:73:eb:d0:7c:10,74:da:da:c1:3c:f9,0c:73:eb:d0:7c:30,74:da:da:c1:4b:59,0c:73:eb:d0:11:d0,74:da:da:c1:4a:ed,74:da:da:98:7a:50,74:da:da:c1:3c:91,0c:73:eb:d0:11:f0,0c:73:eb:d0:7c:18,74:da:da:c1:3b:49,74:da:da:c1:3b:e9,74:da:da:c1:3c:ad,0c:73:eb:d0:19:b0,74:da:da:c1:3c:d1,74:da:da:c1:3c:6d,0c:73:eb:d0:76:20,74:da:da:c1:3c:99,0c:73:eb:d0:7e:d8,74:da:da:c1:4a:a5,74:da:da:c0:d7:09,0c:73:eb:d0:7c:00,74:da:da:c1:3c:f5,74:da:da:98:db:44,74:da:da:c0:f2:fd,74:da:da:c0:e0:81,74:da:da:c1:3b:45,74:da:da:c1:3b:85,0c:73:eb:d0:11:b8,74:da:da:98:7a:6c,74:da:da:98:91:d4,0c:73:eb:d0:11:e8,74:da:da:c1:14:99,0c:73:eb:d0:2a:28,0c:73:eb:d0:11:b0
1526454803908,-43,-43,-45,-48,-49,-52,-59,-59,-60,-61,-63,-68,-73,-74,-78,-82,-83,-83,-85,-85,-86,-88,-89,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454806929,-39,-41,-45,-57,-47,-53,-51,-59,-66,-61,-67,-68,-73,-60,-78,-70,-70,-71,-200,-200,-200,-200,-76,-89,-77,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454809945,-39,-41,-45,-57,-47,-53,-51,-59,-66,-61,-67,-68,-73,-60,-78,-70,-70,-71,-200,-200,-200,-200,-76,-89,-77,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454812974,-39,-41,-45,-57,-47,-53,-51,-59,-66,-61,-67,-68,-73,-60,-78,-70,-70,-71,-200,-200,-200,-200,-76,-89,-77,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454816009,-51,-43,-43,-65,-46,-53,-49,-65,-72,-81,-67,-66,-80,-58,-200,-68,-73,-67,-200,-200,-200,-82,-76,-200,-85,-71,-81,-85,-85,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454819044,-52,-43,-43,-63,-46,-53,-53,-61,-72,-81,-67,-66,-80,-58,-200,-65,-73,-73,-200,-200,-86,-84,-72,-200,-85,-71,-81,-85,-85,-90,-74,-85,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454822079,-52,-43,-43,-63,-46,-53,-53,-61,-72,-81,-67,-66,-80,-58,-200,-65,-73,-73,-200,-200,-86,-84,-72,-200,-85,-71,-81,-85,-85,-90,-74,-85,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454825107,-52,-43,-43,-63,-46,-53,-53,-61,-72,-81,-67,-66,-80,-58,-200,-65,-73,-73,-200,-200,-86,-84,-72,-200,-85,-71,-81,-85,-85,-90,-74,-85,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454828153,-52,-41,-42,-64,-48,-53,-49,-63,-67,-76,-69,-62,-72,-55,-200,-66,-71,-73,-200,-80,-86,-84,-73,-80,-81,-73,-200,-84,-200,-200,-74,-85,-89,-83,-83,-86,-87,-90,-91,-200,-200,-200,-200
