,0117.0012-vlucci.com A1.4.0.1,0115.0012-vlucci.com A1.4.0.1,011b.0012-vlucci.com A1.4.0.1
,7C:66:9D:7B:2B:D3,7C:66:9D:7B:2B:E4,F4:B8:5E:AA:79:4E
1526460069657,-92,-200,-200
1526460074794,-95,-200,-200
1526460076774,-92,-94,-96
1526460083790,-92,-200,-95
1526460084521,-91,-200,-200
1526460085155,-91,-94,-200
1526460086522,-91,-200,-200
1526460087907,-91,-200,-200
1526460088527,-91,-200,-200
1526460089145,-94,-200,-200
1526460089781,-91,-200,-200
1526460091136,-95,-200,-200
1526460093782,-95,-94,-200
1526460096637,-90,-200,-200
1526460097272,-90,-200,-95
1526460100636,-93,-97,-96
1526460104508,-95,-200,-200
1526460105138,-95,-200,-200
1526460107130,-88,-200,-200
1526460112873,-90,-200,-200
1526460114242,-90,-95,-200
1526460121001,-94,-200,-200
1526460122973,-94,-200,-200
1526460124230,-89,-200,-200
1526460127341,-95,-200,-200
1526460128714,-90,-200,-200
1526460129967,-90,-200,-200
