,011b.0012-vlucci.com A1.4.0.1,0115.0012-vlucci.com A1.4.0.1,0117.0012-vlucci.com A1.4.0.1,0116.0012-vlucci.com A1.4.0.1
,F4:B8:5E:AA:79:4E,7C:66:9D:7B:2B:E4,7C:66:9D:7B:2B:D3,7C:66:9D:7B:2B:DE
1526459910648,-81,-79,-200,-200
1526459912534,-200,-86,-95,-200
1526459913155,-200,-86,-200,-200
1526459913560,-83,-86,-200,-200
1526459915665,-84,-80,-200,-200
1526459916910,-81,-79,-200,-200
1526459919265,-85,-200,-200,-200
1526459920013,-81,-200,-200,-200
1526459920753,-81,-79,-200,-200
1526459921391,-81,-80,-200,-200
1526459922896,-85,-80,-200,-200
1526459923522,-200,-80,-200,-200
1526459924908,-200,-79,-200,-200
1526459925528,-82,-79,-200,-200
1526459926133,-200,-79,-200,-200
1526459926774,-200,-78,-91,-200
1526459929272,-200,-86,-200,-200
1526459929893,-82,-77,-94,-200
1526459931260,-200,-84,-200,-200
1526459931888,-84,-78,-200,-200
1526459933138,-86,-85,-200,-200
1526459936513,-84,-79,-200,-200
1526459937134,-84,-200,-200,-200
1526459938514,-85,-80,-200,-200
1526459941259,-82,-84,-200,-200
1526459943130,-82,-84,-200,-200
1526459943892,-200,-83,-200,-200
1526459945150,-200,-79,-200,-200
1526459946008,-84,-83,-200,-200
1526459949879,-84,-79,-200,-200
1526459951131,-200,-79,-200,-200
1526459951763,-83,-79,-200,-200
1526459952371,-200,-85,-200,-200
1526459953012,-84,-80,-200,-99
1526459954260,-84,-79,-200,-200
1526459955381,-80,-79,-200,-200
1526459956864,-84,-83,-200,-200
1526459958740,-83,-200,-200,-200
1526459960104,-83,-200,-200,-200
1526459960624,-84,-79,-200,-200
1526459963362,-84,-200,-200,-200
1526459963996,-84,-200,-200,-200
1526459964612,-82,-80,-200,-200
1526459965495,-84,-80,-200,-200
1526459966237,-84,-79,-200,-200
1526459966867,-84,-79,-200,-200
1526459967733,-84,-200,-200,-200
1526459968473,-84,-79,-200,-200
1526459969617,-81,-200,-200,-200
1526459970869,-82,-79,-200,-200
1526459972126,-200,-80,-200,-200
