,011b.0012-vlucci.com A1.4.0.1,0115.0012-vlucci.com A1.4.0.1,0117.0012-vlucci.com A1.4.0.1,011c.0012-vlucci.com A1.4.0.1
,F4:B8:5E:AA:79:4E,7C:66:9D:7B:2B:E4,7C:66:9D:7B:2B:D3,F4:B8:5E:AA:77:73
1526459758771,-93,-94,-200,-200
1526459761530,-95,-200,-88,-200
1526459762903,-200,-92,-88,-200
1526459764911,-200,-91,-86,-200
1526459769524,-94,-200,-85,-200
1526459772033,-93,-96,-83,-200
1526459774266,-93,-94,-84,-200
1526459776894,-93,-200,-200,-200
1526459777625,-92,-95,-85,-200
1526459780885,-93,-95,-200,-200
1526459783650,-94,-90,-84,-200
1526459786116,-94,-88,-83,-200
1526459789261,-200,-92,-83,-200
1526459791256,-200,-200,-81,-200
1526459792506,-200,-92,-81,-200
1526459795137,-200,-92,-82,-200
1526459797864,-200,-200,-80,-200
1526459799236,-200,-200,-80,-200
1526459800623,-200,-200,-83,-200
1526459801356,-200,-200,-81,-200
1526459801881,-200,-200,-81,-200
1526459802618,-200,-200,-80,-200
1526459805230,-91,-200,-81,-200
1526459805981,-200,-92,-81,-200
1526459807985,-200,-200,-82,-200
1526459809231,-200,-200,-83,-200
1526459809861,-200,-200,-81,-200
1526459811232,-200,-200,-81,-200
1526459811865,-200,-200,-81,-200
1526459813238,-200,-200,-81,-200
1526459814732,-200,-200,-81,-200
1526459815365,-200,-93,-81,-200
1526459816097,-200,-200,-80,-200
1526459816731,-200,-200,-80,-97
1526459817352,-94,-200,-80,-200
1526459819469,-92,-200,-82,-200
1526459821992,-200,-93,-80,-200
1526459822731,-200,-200,-80,-200
1526459823230,-200,-200,-80,-200
