,011b.0012-vlucci.com A1.4.0.1,0115.0012-vlucci.com A1.4.0.1,0117.0012-vlucci.com A1.4.0.1,0116.0012-vlucci.com A1.4.0.1
,F4:B8:5E:AA:79:4E,7C:66:9D:7B:2B:E4,7C:66:9D:7B:2B:D3,7C:66:9D:7B:2B:DE
1526459302397,-91,-200,-200,-200
1526459305150,-93,-200,-200,-200
1526459305557,-92,-200,-200,-200
1526459305768,-89,-200,-200,-200
1526459307141,-90,-86,-200,-200
1526459310265,-93,-89,-200,-200
1526459312779,-96,-200,-94,-96
1526459316133,-200,-200,-95,-200
1526459318647,-94,-200,-95,-97
1526459341113,-95,-93,-200,-200
1526459350860,-200,-90,-200,-200
1526459351494,-200,-92,-200,-200
1526459352240,-200,-92,-200,-200
1526459352859,-200,-92,-200,-200
1526459353490,-200,-92,-200,-200
1526459354119,-200,-92,-200,-200
1526459356857,-200,-94,-200,-200
1526459358621,-200,-92,-200,-200
1526459362608,-200,-93,-200,-200
1526459364734,-200,-96,-200,-200
