,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,TP-LINK_1398,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro
,0c:73:eb:d0:13:d8,74:da:da:c1:3a:8d,74:da:da:c1:03:2d,0c:73:eb:d0:11:f8,74:da:da:c1:3a:81,74:da:da:c1:3b:29,d8:15:0d:6c:13:98,0c:73:eb:d0:7c:28,74:da:da:c0:d7:0d,74:da:da:c1:6b:4d,74:da:da:c0:f6:15,0c:73:eb:d0:7e:d0,74:da:da:c1:03:1d,74:da:da:c0:d8:3d
1526461135626,-65,-66,-74,-75,-76,-78,-84,-86,-90,-90,-91,-91,-200,-200
1526461138643,-79,-66,-74,-75,-76,-81,-84,-86,-90,-90,-81,-91,-200,-200
1526461141659,-79,-66,-74,-75,-76,-81,-84,-86,-90,-90,-81,-91,-200,-200
1526461144676,-79,-66,-74,-75,-76,-81,-84,-86,-90,-90,-81,-91,-200,-200
1526461147691,-80,-81,-87,-85,-200,-83,-200,-200,-200,-200,-87,-200,-85,-200
1526461150703,-80,-81,-86,-85,-200,-85,-200,-200,-200,-200,-86,-200,-85,-200
1526461153716,-80,-81,-86,-85,-200,-85,-200,-200,-200,-200,-86,-200,-85,-200
1526461156737,-80,-81,-86,-85,-200,-85,-200,-200,-200,-200,-86,-200,-85,-200
1526461159751,-80,-200,-87,-86,-200,-85,-200,-200,-200,-200,-84,-200,-85,-200
1526461162766,-79,-200,-91,-86,-200,-85,-200,-200,-200,-200,-84,-200,-85,-200
1526461165788,-79,-200,-91,-86,-200,-85,-200,-200,-200,-200,-84,-200,-85,-200
1526461168813,-79,-200,-91,-86,-200,-85,-200,-200,-200,-200,-84,-200,-85,-200
1526461171830,-79,-200,-91,-91,-92,-84,-200,-200,-200,-200,-83,-200,-84,-91
1526461174856,-78,-82,-90,-91,-92,-84,-200,-200,-200,-200,-84,-200,-81,-91
1526461177876,-78,-82,-90,-91,-92,-84,-200,-200,-200,-200,-84,-200,-81,-91
1526461180905,-78,-82,-90,-91,-92,-84,-200,-200,-200,-200,-84,-200,-81,-91
1526461183951,-81,-82,-90,-87,-92,-84,-200,-200,-200,-200,-81,-200,-84,-200
1526461186977,-81,-82,-89,-89,-92,-84,-200,-200,-200,-200,-83,-200,-84,-200
1526461189995,-81,-83,-89,-89,-92,-84,-200,-200,-200,-200,-83,-200,-84,-200
1526461193018,-81,-83,-89,-89,-92,-84,-200,-200,-200,-200,-83,-200,-84,-200
1526461196032,-79,-83,-89,-87,-92,-84,-200,-200,-200,-200,-83,-200,-84,-200
