,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,NETWORK,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D00EC0,DLINK_D02A28,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro
,74:da:da:c1:4a:f5,0c:73:eb:d0:7c:48,74:da:da:c1:4b:01,74:da:da:98:74:94,74:da:da:c1:3c:f5,74:da:da:c1:3c:dd,74:da:da:c1:4a:ed,0c:73:eb:d0:7c:18,74:da:da:98:8d:78,74:da:da:c1:4b:59,74:da:da:c1:3c:99,0c:73:eb:d0:7c:00,74:da:da:c1:3c:f9,0c:73:eb:d0:7c:30,74:da:da:98:74:95,74:da:da:c1:3b:49,74:da:da:c1:4b:05,74:da:da:c1:3c:e1,bc:d1:77:5f:6a:b4,74:da:da:c1:3a:81,74:da:da:c1:3c:de,74:da:da:98:8d:79,0c:73:eb:d0:7c:10,74:da:da:c1:4b:02,74:da:da:c1:4a:f6,74:da:da:c0:e2:d9,74:da:da:98:7a:60,74:da:da:c1:4a:ee,0c:73:eb:d0:11:f0,0c:73:eb:d0:13:d0,74:da:da:c1:3b:4a,0c:73:eb:d0:11:e8,0c:73:eb:d0:7f:18,74:da:da:c1:3c:ad,74:da:da:c1:4b:06,0c:73:eb:d0:76:58,74:da:da:c1:3c:9a,74:da:da:c0:e0:71,74:da:da:c1:4b:5a,74:da:da:c1:3c:f6,74:da:da:c0:f2:fe,74:da:da:98:7a:4c,74:da:da:98:91:d5,0c:73:eb:d0:0e:c0,0c:73:eb:d0:2a:28,74:da:da:c1:3c:fa,74:da:da:c0:f3:01,0c:73:eb:d0:7e:f8,74:da:da:98:7a:68,0c:73:eb:d0:76:20,74:da:da:c1:3c:91
1526454891002,-21,-25,-27,-37,-39,-41,-43,-46,-47,-48,-48,-55,-55,-56,-56,-57,-60,-60,-61,-62,-63,-63,-64,-64,-64,-64,-65,-67,-68,-68,-70,-71,-71,-74,-77,-77,-78,-80,-82,-83,-86,-87,-89,-90,-91,-92,-200,-200,-200,-200,-200
1526454894011,-39,-25,-27,-37,-37,-28,-43,-23,-57,-41,-54,-200,-200,-63,-56,-61,-49,-200,-60,-200,-55,-66,-52,-63,-64,-200,-91,-67,-49,-200,-200,-46,-73,-200,-86,-200,-81,-200,-73,-74,-200,-200,-200,-200,-91,-92,-76,-78,-200,-200,-200
1526454897026,-39,-200,-200,-200,-37,-28,-200,-23,-57,-41,-54,-200,-200,-63,-200,-61,-49,-200,-60,-200,-55,-66,-52,-63,-64,-200,-91,-200,-49,-200,-200,-46,-73,-200,-86,-200,-81,-200,-73,-74,-200,-200,-200,-200,-200,-200,-76,-78,-200,-200,-200
1526454900034,-39,-40,-200,-70,-34,-29,-200,-23,-57,-50,-54,-200,-66,-62,-200,-61,-46,-200,-70,-200,-52,-65,-37,-58,-65,-200,-91,-200,-44,-200,-200,-42,-73,-200,-81,-200,-88,-200,-79,-69,-200,-200,-200,-200,-200,-200,-71,-78,-90,-200,-200
1526454903050,-39,-40,-200,-70,-34,-29,-200,-23,-57,-50,-54,-200,-66,-61,-200,-61,-46,-200,-70,-200,-52,-65,-37,-58,-65,-200,-91,-200,-44,-200,-200,-42,-73,-200,-81,-200,-88,-200,-79,-69,-200,-200,-200,-200,-200,-200,-71,-78,-90,-200,-200
1526454906065,-41,-54,-29,-70,-30,-29,-200,-23,-57,-40,-54,-58,-66,-65,-200,-58,-50,-200,-66,-200,-57,-69,-34,-56,-65,-65,-91,-88,-49,-200,-200,-49,-76,-200,-82,-200,-88,-200,-76,-71,-88,-200,-200,-200,-200,-200,-71,-78,-90,-200,-200
1526454909077,-36,-47,-29,-70,-30,-29,-200,-23,-57,-40,-54,-58,-66,-61,-200,-58,-46,-65,-66,-200,-53,-79,-34,-54,-68,-65,-91,-88,-49,-200,-85,-42,-75,-200,-81,-200,-86,-200,-72,-67,-88,-200,-200,-200,-200,-200,-71,-78,-90,-200,-200
1526454912094,-36,-47,-29,-70,-30,-29,-200,-23,-57,-40,-54,-58,-66,-58,-200,-58,-46,-65,-66,-200,-53,-79,-34,-54,-68,-65,-91,-88,-49,-200,-85,-42,-75,-200,-81,-200,-86,-200,-72,-67,-88,-200,-200,-200,-200,-200,-71,-78,-90,-200,-200
1526454915105,-38,-44,-27,-70,-32,-32,-200,-28,-57,-43,-54,-55,-66,-60,-200,-58,-45,-61,-63,-200,-61,-68,-30,-62,-63,-65,-91,-88,-51,-62,-81,-47,-75,-200,-82,-200,-89,-200,-76,-64,-86,-200,-200,-200,-200,-200,-71,-78,-90,-200,-200
