,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,NETWORK,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,DLINK_D02A28,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018
,74:da:da:c1:4b:01,74:da:da:c1:4b:05,74:da:da:c1:4a:f5,0c:73:eb:d0:7c:48,74:da:da:c1:3c:dd,74:da:da:c1:3c:f9,74:da:da:c1:4b:02,0c:73:eb:d0:7c:30,74:da:da:98:8d:78,0c:73:eb:d0:7c:10,74:da:da:98:74:94,74:da:da:c1:3c:f5,0c:73:eb:d0:7c:18,bc:d1:77:5f:6a:b4,74:da:da:c1:4b:59,74:da:da:c1:3c:99,0c:73:eb:d0:11:f0,74:da:da:c1:4a:f6,74:da:da:c1:3c:de,74:da:da:c1:4a:ed,0c:73:eb:d0:7c:00,74:da:da:c1:3c:e1,0c:73:eb:d0:11:e8,74:da:da:c0:e0:71,74:da:da:c1:4b:06,74:da:da:98:8d:79,74:da:da:98:db:44,74:da:da:c1:3b:49,74:da:da:c1:3c:9a,0c:73:eb:d0:13:d0,0c:73:eb:d0:11:b0,0c:73:eb:d0:2a:28,0c:73:eb:d0:7f:18,0c:73:eb:d0:13:c0,74:da:da:c1:3c:91,74:da:da:c1:3c:f6,74:da:da:c1:4b:5a,74:da:da:98:74:95,74:da:da:98:7a:6c,74:da:da:c0:e0:81,74:da:da:c0:e0:69,74:da:da:c1:3c:fa,74:da:da:c1:3c:d1,74:da:da:98:7a:68,74:da:da:c1:4a:ee,74:da:da:98:91:d4,74:da:da:98:7a:60,74:da:da:98:7a:50,74:da:da:98:7a:4c,74:da:da:c0:e2:d9,0c:73:eb:d0:11:d0,0c:73:eb:d0:11:f8
1526455107650,-22,-33,-33,-36,-37,-45,-48,-49,-49,-51,-51,-51,-52,-52,-52,-54,-55,-56,-58,-59,-64,-64,-69,-70,-71,-71,-74,-75,-76,-76,-78,-78,-80,-80,-81,-82,-82,-83,-83,-83,-84,-85,-85,-85,-88,-88,-89,-200,-200,-200,-200,-200
1526455110680,-36,-42,-37,-36,-37,-38,-50,-38,-49,-57,-51,-51,-40,-46,-55,-54,-56,-53,-53,-59,-64,-64,-61,-83,-73,-71,-74,-71,-78,-76,-78,-78,-80,-80,-81,-80,-82,-85,-200,-83,-84,-73,-87,-81,-84,-88,-89,-200,-200,-200,-200,-200
1526455113691,-36,-42,-37,-36,-37,-38,-50,-40,-49,-57,-51,-51,-40,-46,-55,-54,-56,-53,-53,-59,-64,-64,-61,-83,-73,-71,-74,-71,-78,-76,-78,-78,-80,-80,-81,-80,-82,-85,-200,-83,-84,-73,-87,-81,-84,-88,-89,-200,-200,-200,-200,-200
1526455116712,-35,-42,-41,-48,-30,-37,-57,-36,-49,-52,-51,-51,-44,-51,-55,-46,-51,-62,-59,-59,-64,-64,-60,-83,-77,-79,-74,-71,-82,-76,-78,-78,-77,-80,-81,-79,-82,-86,-200,-83,-84,-69,-87,-81,-84,-88,-89,-200,-200,-200,-200,-200
1526455119732,-35,-42,-41,-48,-30,-37,-57,-37,-49,-52,-51,-51,-44,-51,-55,-46,-51,-62,-59,-59,-64,-64,-60,-83,-77,-79,-74,-71,-82,-76,-78,-78,-77,-80,-81,-79,-82,-86,-200,-83,-84,-69,-87,-81,-84,-88,-89,-200,-200,-200,-200,-200
1526455122750,-37,-41,-44,-48,-30,-39,-62,-32,-49,-51,-54,-51,-36,-54,-55,-44,-45,-66,-64,-200,-200,-67,-58,-83,-76,-79,-200,-71,-79,-76,-200,-200,-77,-73,-81,-79,-200,-87,-200,-78,-200,-75,-87,-81,-84,-200,-89,-78,-200,-200,-200,-200
1526455125771,-37,-41,-44,-48,-30,-39,-62,-35,-49,-51,-54,-51,-36,-54,-55,-44,-45,-66,-64,-200,-200,-67,-58,-83,-76,-79,-200,-71,-79,-76,-200,-200,-77,-73,-81,-79,-200,-87,-200,-78,-200,-75,-87,-81,-84,-200,-89,-78,-200,-200,-200,-200
1526455128796,-37,-50,-40,-48,-30,-39,-61,-37,-49,-58,-54,-200,-38,-54,-58,-44,-46,-60,-59,-200,-200,-67,-60,-83,-73,-79,-200,-72,-77,-76,-200,-200,-75,-73,-83,-75,-200,-87,-200,-78,-200,-71,-87,-80,-84,-200,-200,-78,-200,-200,-200,-200
1526455131806,-37,-50,-40,-48,-30,-39,-61,-39,-49,-58,-54,-200,-38,-54,-58,-44,-46,-60,-59,-200,-200,-67,-60,-83,-73,-79,-200,-72,-77,-76,-200,-200,-75,-73,-83,-75,-200,-87,-200,-78,-200,-71,-87,-80,-84,-200,-200,-78,-200,-200,-200,-200
