,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,NETWORK,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A28,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro
,74:da:da:c1:4b:01,74:da:da:c1:4a:f5,74:da:da:c1:3c:dd,0c:73:eb:d0:7c:10,0c:73:eb:d0:7c:48,0c:73:eb:d0:7c:18,74:da:da:98:8d:78,0c:73:eb:d0:11:f0,74:da:da:c1:4b:59,74:da:da:c1:4b:05,bc:d1:77:5f:6a:b4,74:da:da:c1:3c:99,74:da:da:c1:4b:02,0c:73:eb:d0:7c:30,74:da:da:c1:3c:de,74:da:da:98:8d:79,0c:73:eb:d0:7c:00,0c:73:eb:d0:11:e8,74:da:da:c1:4a:f6,74:da:da:c1:3c:e1,74:da:da:c1:4b:06,74:da:da:c1:3b:49,74:da:da:c1:4b:5a,0c:73:eb:d0:7f:18,74:da:da:c0:e0:71,74:da:da:c1:3c:d1,74:da:da:c1:3c:f6,74:da:da:c1:3c:9a,74:da:da:c0:e0:81,74:da:da:c1:4a:ee,74:da:da:98:7a:4c,74:da:da:98:74:95,74:da:da:c1:3c:fa,74:da:da:c1:3c:f5,74:da:da:98:7a:6c,74:da:da:c1:3c:f9,74:da:da:c1:4a:ed,0c:73:eb:d0:13:d0,74:da:da:98:7a:68,74:da:da:98:7a:60,74:da:da:c1:3c:91,0c:73:eb:d0:76:20,74:da:da:98:74:94,74:da:da:c0:e2:d9,74:da:da:98:db:44,0c:73:eb:d0:11:b0,0c:73:eb:d0:2a:28,0c:73:eb:d0:13:c0,74:da:da:c0:e0:69,74:da:da:98:91:d4
1526455034486,-23,-33,-36,-39,-39,-41,-41,-43,-44,-46,-48,-51,-55,-57,-57,-60,-64,-65,-68,-70,-71,-74,-74,-74,-78,-81,-84,-85,-85,-86,-88,-89,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455037506,-21,-33,-37,-44,-39,-43,-45,-43,-44,-39,-50,-51,-55,-49,-59,-60,-64,-65,-63,-70,-64,-74,-74,-74,-78,-200,-80,-74,-85,-86,-88,-89,-86,-55,-77,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455040517,-21,-33,-37,-44,-39,-43,-45,-43,-44,-39,-50,-51,-55,-49,-59,-60,-64,-65,-63,-70,-64,-74,-74,-74,-78,-200,-80,-74,-85,-86,-88,-89,-86,-55,-77,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455043527,-17,-29,-38,-48,-41,-51,-43,-40,-51,-37,-54,-51,-55,-50,-66,-72,-64,-62,-62,-70,-63,-74,-84,-74,-76,-200,-83,-84,-85,-86,-88,-84,-87,-52,-77,-47,-51,-77,-82,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455046537,-17,-29,-38,-48,-41,-51,-43,-40,-51,-37,-54,-51,-55,-50,-66,-72,-64,-62,-62,-70,-63,-74,-84,-74,-76,-200,-83,-84,-85,-86,-88,-84,-87,-52,-77,-47,-51,-77,-82,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455049549,-20,-29,-38,-48,-41,-46,-45,-40,-51,-37,-54,-51,-55,-49,-63,-72,-64,-62,-62,-70,-55,-74,-86,-74,-76,-86,-84,-76,-200,-86,-88,-85,-87,-52,-77,-49,-51,-77,-82,-88,-79,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455052558,-20,-29,-38,-48,-41,-46,-45,-40,-51,-37,-54,-51,-55,-49,-63,-72,-200,-62,-62,-70,-55,-200,-86,-200,-76,-86,-84,-76,-200,-86,-88,-85,-87,-52,-77,-49,-51,-77,-82,-88,-79,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455055572,-21,-33,-40,-52,-45,-51,-45,-44,-55,-44,-55,-44,-55,-50,-67,-74,-72,-67,-58,-70,-53,-200,-86,-200,-76,-86,-81,-73,-200,-88,-88,-83,-86,-52,-77,-46,-51,-77,-82,-88,-79,-85,-200,-200,-200,-200,-200,-200,-200,-200
1526455058584,-21,-33,-40,-52,-45,-51,-45,-44,-55,-44,-55,-44,-55,-50,-67,-74,-72,-67,-58,-70,-53,-200,-86,-200,-76,-86,-81,-73,-200,-88,-200,-83,-86,-52,-77,-46,-51,-77,-82,-88,-79,-85,-200,-200,-200,-200,-200,-200,-200,-200
1526455061611,-24,-38,-41,-52,-45,-47,-41,-48,-55,-44,-55,-44,-62,-47,-72,-74,-72,-67,-60,-70,-59,-200,-86,-81,-76,-82,-85,-81,-200,-87,-200,-83,-82,-52,-77,-54,-51,-77,-82,-88,-79,-85,-52,-200,-200,-200,-200,-200,-200,-200
1526455064628,-24,-38,-41,-52,-45,-47,-41,-48,-55,-44,-55,-44,-62,-47,-72,-74,-72,-67,-60,-70,-59,-200,-86,-81,-76,-82,-85,-81,-200,-87,-200,-83,-82,-52,-200,-54,-51,-77,-82,-88,-79,-85,-52,-200,-200,-200,-200,-200,-200,-200
1526455067644,-24,-37,-37,-49,-41,-46,-45,-46,-57,-38,-55,-43,-51,-45,-60,-76,-72,-62,-60,-70,-55,-75,-85,-81,-76,-82,-81,-77,-200,-87,-200,-86,-80,-52,-200,-45,-51,-77,-82,-88,-79,-85,-52,-90,-200,-200,-200,-200,-200,-200
1526455070653,-24,-37,-37,-49,-41,-46,-45,-46,-57,-38,-55,-43,-51,-45,-60,-76,-72,-62,-60,-70,-55,-75,-85,-81,-200,-82,-81,-77,-200,-87,-200,-86,-80,-200,-200,-45,-200,-200,-200,-200,-79,-85,-52,-90,-200,-200,-200,-200,-200,-200
1526455073675,-32,-36,-38,-52,-39,-45,-45,-43,-54,-34,-51,-43,-50,-49,-60,-79,-72,-66,-57,-70,-59,-75,-85,-81,-200,-82,-82,-73,-200,-83,-200,-86,-80,-55,-83,-45,-200,-200,-200,-200,-79,-85,-52,-90,-73,-200,-200,-200,-200,-200
1526455076689,-32,-36,-38,-52,-39,-45,-45,-43,-54,-34,-51,-43,-50,-49,-60,-79,-72,-66,-57,-200,-59,-75,-85,-81,-200,-82,-82,-73,-200,-83,-200,-86,-80,-55,-83,-45,-200,-200,-200,-200,-200,-85,-52,-90,-73,-200,-200,-200,-200,-200
1526455079706,-24,-34,-42,-46,-36,-42,-49,-44,-49,-35,-54,-47,-51,-51,-58,-73,-64,-66,-57,-200,-63,-75,-85,-81,-200,-82,-79,-72,-200,-85,-200,-85,-80,-55,-83,-47,-200,-200,-200,-200,-200,-85,-52,-90,-73,-74,-200,-200,-200,-200
1526455082716,-24,-34,-42,-46,-36,-42,-49,-44,-49,-35,-54,-47,-51,-51,-58,-73,-64,-66,-57,-200,-63,-75,-85,-81,-200,-82,-79,-72,-200,-85,-200,-85,-80,-55,-83,-47,-200,-200,-200,-200,-200,-85,-52,-90,-73,-74,-200,-200,-200,-200
1526455085735,-22,-34,-40,-47,-36,-41,-49,-55,-49,-36,-54,-47,-47,-52,-58,-71,-64,-63,-56,-64,-68,-75,-82,-80,-74,-82,-78,-76,-83,-88,-200,-84,-86,-49,-83,-45,-59,-74,-200,-200,-200,-200,-52,-90,-74,-78,-78,-80,-84,-88
1526455088750,-22,-34,-40,-47,-36,-41,-49,-55,-49,-36,-54,-47,-47,-52,-58,-71,-64,-63,-56,-64,-68,-75,-82,-80,-74,-82,-78,-76,-83,-88,-200,-84,-86,-49,-83,-45,-59,-74,-200,-200,-200,-200,-52,-90,-74,-78,-78,-80,-84,-88
1526455091782,-22,-34,-37,-51,-35,-40,-49,-56,-49,-36,-54,-47,-48,-46,-59,-70,-64,-64,-56,-64,-68,-75,-82,-80,-74,-85,-82,-76,-83,-88,-200,-84,-86,-51,-83,-45,-59,-74,-200,-89,-82,-200,-52,-90,-74,-78,-78,-80,-84,-88
1526455094811,-22,-34,-37,-51,-35,-40,-49,-56,-49,-36,-54,-47,-48,-46,-59,-70,-64,-64,-56,-64,-68,-75,-82,-80,-74,-85,-82,-76,-83,-88,-200,-84,-86,-51,-83,-45,-59,-74,-200,-89,-82,-200,-52,-90,-74,-78,-78,-80,-84,-88
