,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,NETWORK,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro
,74:da:da:c1:4b:01,74:da:da:c1:3c:dd,0c:73:eb:d0:7c:30,0c:73:eb:d0:7c:48,74:da:da:c1:4a:f5,0c:73:eb:d0:7c:18,0c:73:eb:d0:11:f0,74:da:da:98:8d:78,74:da:da:c1:3c:99,74:da:da:c1:3c:f9,74:da:da:c1:4b:05,0c:73:eb:d0:7c:10,bc:d1:77:5f:6a:b4,74:da:da:c1:3c:f5,74:da:da:c1:3c:de,74:da:da:98:74:94,74:da:da:c1:4b:59,0c:73:eb:d0:11:e8,74:da:da:c1:4b:02,74:da:da:c1:4a:f6,0c:73:eb:d0:11:b0,74:da:da:c1:4b:06,74:da:da:98:8d:79,74:da:da:c0:e0:81,74:da:da:98:7a:6c,74:da:da:c0:e2:d9,0c:73:eb:d0:13:c0,74:da:da:c1:3c:fa,74:da:da:c1:3b:49,0c:73:eb:d0:7f:18,74:da:da:c1:3c:f6,74:da:da:c1:3c:9a,74:da:da:98:7a:60,0c:73:eb:d0:11:f8,74:da:da:c0:e0:71,74:da:da:98:7a:68,74:da:da:c1:3c:d1,74:da:da:98:74:95,74:da:da:98:7a:4c,74:da:da:c1:4a:ee,74:da:da:c1:4b:5a,74:da:da:c1:3c:91,74:da:da:c1:4a:ed,0c:73:eb:d0:7e:d8,0c:73:eb:d0:7c:08,0c:73:eb:d0:7c:00,74:da:da:c1:3c:e1,74:da:da:98:7a:50
1526455181029,-23,-29,-35,-36,-37,-40,-44,-44,-45,-45,-48,-53,-53,-54,-55,-55,-56,-57,-57,-62,-69,-71,-73,-73,-73,-74,-75,-76,-76,-77,-78,-79,-79,-79,-80,-82,-83,-84,-86,-88,-88,-200,-200,-200,-200,-200,-200,-200
1526455184047,-27,-34,-38,-35,-33,-40,-59,-46,-45,-41,-50,-53,-61,-58,-58,-48,-57,-73,-60,-67,-69,-80,-81,-200,-73,-74,-75,-79,-200,-77,-79,-79,-79,-79,-80,-82,-85,-84,-86,-84,-90,-83,-200,-200,-200,-200,-200,-200
1526455187068,-27,-34,-38,-35,-33,-40,-59,-46,-45,-41,-50,-53,-61,-58,-58,-48,-57,-73,-60,-67,-69,-80,-81,-200,-200,-200,-75,-79,-200,-77,-79,-79,-79,-79,-80,-200,-85,-84,-200,-84,-90,-83,-200,-200,-200,-200,-200,-200
1526455190106,-27,-36,-40,-35,-31,-40,-59,-46,-45,-41,-50,-53,-61,-58,-59,-50,-61,-69,-58,-64,-69,-78,-81,-200,-200,-200,-75,-82,-200,-77,-80,-88,-79,-79,-80,-82,-81,-83,-85,-84,-87,-83,-57,-200,-200,-200,-200,-200
1526455193131,-27,-36,-41,-35,-31,-40,-59,-46,-45,-41,-50,-53,-61,-58,-59,-50,-61,-69,-58,-64,-69,-78,-81,-200,-200,-200,-75,-82,-200,-77,-80,-88,-79,-79,-80,-82,-81,-83,-85,-84,-87,-83,-57,-200,-200,-200,-200,-200
1526455196142,-34,-36,-40,-40,-51,-37,-57,-42,-59,-41,-52,-53,-64,-58,-59,-49,-61,-71,-54,-68,-200,-78,-81,-200,-200,-200,-200,-79,-200,-77,-81,-88,-79,-200,-80,-81,-81,-83,-85,-82,-88,-83,-57,-85,-86,-200,-200,-200
1526455199156,-34,-36,-40,-40,-51,-37,-57,-42,-59,-41,-52,-53,-64,-58,-59,-49,-61,-71,-54,-68,-200,-78,-81,-200,-200,-200,-200,-79,-200,-77,-81,-88,-79,-200,-80,-81,-81,-83,-85,-82,-88,-83,-57,-85,-86,-200,-200,-200
1526455202179,-30,-36,-42,-40,-38,-39,-65,-43,-59,-41,-51,-53,-64,-57,-61,-49,-59,-72,-59,-68,-200,-82,-81,-200,-69,-84,-200,-79,-200,-200,-81,-91,-79,-200,-200,-82,-81,-86,-85,-81,-88,-82,-57,-85,-86,-200,-200,-200
1526455205191,-30,-36,-42,-40,-38,-39,-65,-43,-59,-41,-51,-200,-64,-57,-61,-49,-59,-72,-59,-68,-200,-82,-81,-200,-69,-84,-200,-79,-200,-200,-81,-91,-200,-200,-200,-82,-81,-86,-85,-81,-88,-82,-57,-85,-86,-200,-200,-200
1526455208217,-32,-38,-43,-37,-38,-51,-65,-57,-59,-41,-55,-200,-63,-59,-64,-56,-68,-72,-56,-61,-200,-79,-81,-88,-69,-84,-200,-77,-200,-200,-84,-91,-200,-200,-200,-82,-81,-79,-85,-83,-88,-82,-58,-85,-86,-74,-74,-81
1526455211225,-32,-38,-43,-37,-38,-51,-65,-57,-59,-200,-55,-200,-63,-59,-64,-56,-68,-72,-56,-61,-200,-79,-81,-88,-69,-84,-200,-77,-200,-200,-84,-91,-200,-200,-200,-82,-81,-79,-85,-83,-88,-82,-58,-85,-86,-74,-74,-81
1526455214251,-28,-37,-40,-32,-30,-51,-65,-47,-59,-45,-52,-200,-67,-57,-64,-49,-67,-65,-52,-58,-200,-83,-81,-80,-65,-84,-200,-76,-200,-200,-88,-91,-78,-200,-200,-82,-85,-81,-85,-79,-89,-82,-55,-85,-86,-74,-80,-81
1526455217272,-28,-37,-40,-32,-30,-51,-65,-47,-59,-45,-52,-200,-67,-57,-64,-49,-67,-65,-52,-58,-200,-83,-81,-80,-65,-84,-200,-76,-200,-200,-88,-91,-78,-200,-200,-82,-85,-81,-85,-79,-89,-82,-55,-85,-86,-74,-80,-81
1526455220300,-28,-37,-39,-30,-30,-48,-62,-47,-59,-44,-52,-200,-63,-57,-63,-48,-67,-70,-44,-64,-200,-83,-200,-80,-65,-84,-200,-76,-200,-200,-88,-91,-80,-200,-200,-82,-85,-81,-200,-83,-89,-78,-52,-85,-86,-74,-80,-81
1526455223319,-28,-37,-39,-30,-30,-48,-62,-47,-59,-44,-52,-200,-63,-57,-63,-48,-67,-70,-44,-64,-200,-83,-200,-80,-65,-84,-200,-76,-200,-200,-88,-91,-80,-200,-200,-82,-85,-81,-200,-83,-89,-78,-52,-85,-86,-74,-80,-81
1526455226332,-25,-37,-41,-29,-27,-47,-58,-47,-64,-44,-52,-200,-63,-57,-61,-48,-66,-66,-46,-64,-200,-82,-200,-80,-66,-84,-200,-76,-200,-200,-88,-91,-77,-200,-200,-82,-85,-81,-200,-80,-89,-78,-52,-200,-200,-74,-80,-76
1526455229351,-25,-37,-41,-29,-27,-47,-58,-47,-64,-44,-52,-200,-63,-57,-61,-48,-66,-66,-46,-64,-200,-82,-200,-80,-66,-84,-200,-76,-200,-200,-88,-91,-77,-200,-200,-82,-85,-81,-200,-80,-89,-78,-52,-200,-200,-74,-80,-76
1526455232373,-25,-37,-41,-29,-27,-47,-59,-42,-64,-44,-52,-65,-64,-57,-62,-48,-66,-74,-46,-65,-200,-83,-200,-80,-66,-200,-200,-76,-200,-90,-88,-91,-77,-200,-200,-200,-85,-82,-200,-84,-89,-78,-52,-200,-200,-74,-80,-76
1526455235389,-25,-37,-41,-29,-27,-47,-59,-42,-64,-44,-52,-65,-64,-57,-62,-48,-66,-74,-46,-65,-200,-83,-200,-80,-66,-200,-200,-76,-200,-90,-88,-91,-77,-200,-200,-200,-85,-82,-200,-84,-89,-78,-52,-200,-200,-74,-80,-76
1526455238414,-27,-49,-43,-28,-42,-48,-63,-43,-61,-44,-52,-65,-56,-57,-63,-49,-63,-68,-46,-64,-200,-87,-82,-80,-66,-200,-200,-73,-76,-90,-88,-200,-77,-200,-200,-200,-83,-84,-84,-83,-89,-78,-50,-200,-200,-200,-73,-76
1526455241434,-27,-49,-43,-28,-42,-48,-63,-43,-61,-44,-52,-65,-56,-57,-63,-49,-63,-68,-46,-64,-200,-87,-82,-80,-66,-200,-200,-73,-76,-90,-88,-200,-77,-200,-200,-200,-83,-84,-84,-83,-89,-78,-50,-200,-200,-200,-73,-76
