,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,NETWORK,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro
,74:da:da:c1:4b:01,74:da:da:c1:4a:f5,74:da:da:c1:3c:dd,74:da:da:c1:3c:f5,0c:73:eb:d0:7c:48,0c:73:eb:d0:7c:18,0c:73:eb:d0:11:f0,74:da:da:c1:4b:05,0c:73:eb:d0:7c:10,74:da:da:c1:4b:59,74:da:da:98:8d:78,bc:d1:77:5f:6a:b4,0c:73:eb:d0:7c:30,0c:73:eb:d0:7c:00,74:da:da:c1:3b:49,0c:73:eb:d0:11:e8,74:da:da:c1:4b:02,0c:73:eb:d0:13:d0,74:da:da:c1:3c:e1,74:da:da:c1:3c:de,74:da:da:c1:4a:f6,74:da:da:c0:f3:01,74:da:da:98:8d:79,0c:73:eb:d0:11:b0,74:da:da:c1:4b:06,74:da:da:c1:3c:f6,74:da:da:c0:e2:d9,74:da:da:c1:4b:5a,74:da:da:c0:e0:71,0c:73:eb:d0:7f:18,74:da:da:c1:3b:4a,74:da:da:c1:3c:9a,74:da:da:c1:4a:ee,0c:73:eb:d0:76:20,74:da:da:c1:3c:91,0c:73:eb:d0:76:58,74:da:da:c0:f2:fe,74:da:da:98:92:14,74:da:da:c1:3c:f9,74:da:da:c1:3c:99,74:da:da:c1:4a:ed,74:da:da:c1:3c:d1,74:da:da:98:74:95,74:da:da:c1:3c:fa,0c:73:eb:d0:11:d0,74:da:da:c0:e0:81,74:da:da:98:7a:6c,74:da:da:98:74:94,74:da:da:98:7a:4c
1526454996034,-24,-32,-33,-50,-39,-41,-37,-46,-41,-43,-43,-49,-56,-200,-69,-69,-67,-200,-68,-57,-67,-200,-62,-71,-73,-80,-75,-78,-76,-76,-200,-85,-200,-84,-80,-200,-200,-200,-44,-200,-65,-82,-88,-89,-79,-81,-76,-58,-200
1526454999047,-24,-32,-33,-50,-39,-41,-37,-46,-41,-43,-43,-49,-55,-200,-69,-69,-67,-200,-68,-57,-67,-200,-62,-71,-73,-80,-75,-78,-76,-200,-200,-85,-200,-84,-200,-200,-200,-200,-200,-200,-65,-82,-88,-89,-79,-81,-76,-58,-200
1526455002061,-22,-35,-33,-50,-36,-41,-37,-43,-41,-55,-43,-56,-55,-200,-69,-63,-60,-200,-68,-54,-64,-200,-61,-71,-70,-82,-75,-79,-76,-200,-200,-85,-200,-84,-200,-200,-200,-200,-200,-200,-65,-81,-87,-89,-79,-81,-76,-58,-200
1526455005069,-22,-35,-33,-50,-36,-41,-37,-43,-41,-55,-43,-56,-57,-200,-69,-63,-60,-200,-68,-54,-64,-200,-61,-200,-70,-82,-75,-79,-200,-200,-200,-85,-200,-84,-200,-200,-200,-200,-200,-200,-65,-81,-87,-89,-200,-81,-76,-58,-200
1526455008084,-22,-37,-37,-50,-38,-43,-40,-40,-41,-49,-41,-50,-58,-64,-69,-63,-62,-200,-68,-54,-64,-200,-65,-200,-72,-78,-75,-79,-200,-200,-200,-81,-200,-84,-200,-200,-200,-200,-200,-200,-65,-81,-87,-89,-200,-81,-76,-58,-200
1526455011093,-22,-37,-37,-50,-38,-43,-40,-40,-41,-49,-41,-50,-59,-64,-69,-63,-62,-200,-68,-54,-64,-200,-65,-200,-72,-78,-75,-79,-200,-200,-200,-81,-200,-84,-200,-200,-200,-200,-200,-200,-65,-81,-87,-89,-200,-81,-76,-58,-200
1526455014100,-22,-36,-35,-50,-38,-45,-40,-46,-42,-53,-41,-48,-56,-64,-75,-66,-60,-200,-66,-56,-61,-200,-63,-200,-68,-78,-200,-77,-79,-71,-200,-88,-88,-200,-200,-200,-200,-200,-200,-200,-65,-81,-87,-86,-200,-85,-76,-58,-88
1526455017108,-22,-36,-35,-50,-38,-45,-40,-46,-42,-53,-41,-48,-57,-64,-75,-66,-60,-200,-66,-56,-61,-200,-63,-200,-68,-78,-200,-77,-79,-71,-200,-88,-88,-200,-200,-200,-200,-200,-200,-200,-65,-81,-87,-86,-200,-85,-76,-58,-88
1526455020121,-21,-36,-36,-200,-42,-41,-39,-46,-40,-49,-41,-48,-58,-64,-74,-70,-62,-200,-66,-58,-60,-200,-63,-200,-71,-79,-200,-77,-78,-74,-200,-88,-87,-200,-200,-200,-200,-200,-200,-200,-65,-81,-87,-90,-200,-85,-76,-200,-88
1526455023137,-21,-36,-36,-200,-42,-41,-39,-46,-40,-49,-41,-48,-60,-64,-74,-70,-62,-200,-66,-58,-60,-200,-63,-200,-71,-79,-200,-77,-78,-74,-200,-88,-87,-200,-200,-200,-200,-200,-200,-200,-65,-81,-87,-90,-200,-85,-76,-200,-88
