,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,TP-LINK_1398,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro
,74:da:da:c1:03:21,0c:73:eb:d0:7f:00,0c:73:eb:d0:7e:d0,74:da:da:98:74:34,74:da:da:c1:02:8d,74:da:da:c1:03:2d,0c:73:eb:d0:11:c8,74:da:da:c1:3a:8d,74:da:da:c1:02:91,74:da:da:c1:03:1d,0c:73:eb:d0:11:d8,0c:73:eb:d0:13:90,74:da:da:98:74:80,0c:73:eb:d0:7c:40,0c:73:eb:d0:13:d8,0c:73:eb:d0:19:c0,74:da:da:98:74:74,74:da:da:98:90:2c,0c:73:eb:d0:13:98,74:da:da:98:90:94,74:da:da:c1:6b:4d,d8:15:0d:6c:13:98,74:da:da:c1:3a:81,74:da:da:c1:3c:4d,74:da:da:98:85:60,74:da:da:98:85:4c,74:da:da:c0:d7:11,74:da:da:c1:3a:dd
1526447724731,-33,-36,-61,-61,-62,-62,-66,-67,-68,-68,-83,-83,-83,-83,-84,-85,-86,-87,-89,-91,-91,-200,-200,-200,-200,-200,-200,-200
1526447727759,-46,-42,-77,-68,-81,-78,-78,-75,-76,-68,-83,-200,-83,-83,-84,-200,-86,-87,-200,-91,-91,-200,-200,-200,-200,-200,-200,-200
1526447730785,-46,-42,-77,-68,-81,-78,-78,-75,-76,-68,-83,-200,-83,-83,-84,-200,-86,-87,-200,-91,-91,-200,-200,-200,-200,-200,-200,-200
1526447733806,-46,-42,-77,-68,-81,-78,-78,-75,-76,-68,-83,-200,-83,-83,-84,-200,-86,-87,-200,-91,-91,-200,-200,-200,-200,-200,-200,-200
1526447736841,-29,-32,-68,-57,-64,-61,-73,-67,-73,-78,-77,-85,-200,-83,-79,-200,-200,-92,-85,-88,-200,-83,-89,-89,-200,-200,-200,-200
1526447739871,-30,-33,-70,-57,-62,-62,-69,-67,-71,-78,-75,-83,-200,-81,-78,-200,-200,-92,-85,-86,-200,-83,-88,-89,-91,-200,-200,-200
1526447742896,-30,-33,-70,-57,-62,-62,-69,-67,-71,-78,-75,-83,-200,-81,-78,-200,-200,-92,-85,-86,-200,-83,-88,-89,-91,-200,-200,-200
1526447745924,-30,-33,-70,-57,-62,-62,-69,-67,-71,-78,-75,-83,-200,-81,-78,-200,-200,-92,-85,-86,-200,-83,-88,-89,-91,-200,-200,-200
1526447748961,-29,-33,-71,-58,-61,-60,-75,-65,-69,-77,-74,-83,-200,-82,-81,-200,-200,-200,-86,-86,-200,-84,-88,-200,-91,-87,-200,-200
1526447751986,-29,-29,-70,-58,-61,-60,-71,-66,-69,-75,-72,-79,-200,-81,-78,-200,-200,-200,-86,-86,-200,-86,-88,-200,-91,-87,-200,-200
1526447755015,-29,-29,-70,-58,-61,-60,-71,-66,-69,-75,-72,-79,-200,-81,-78,-200,-200,-200,-86,-86,-200,-86,-88,-200,-91,-87,-200,-200
1526447758050,-29,-29,-70,-58,-61,-60,-71,-66,-69,-75,-72,-79,-200,-81,-78,-200,-200,-200,-86,-86,-200,-86,-88,-200,-91,-87,-200,-200
1526447761077,-29,-29,-69,-57,-60,-60,-75,-64,-69,-75,-80,-79,-90,-80,-83,-200,-200,-200,-87,-87,-200,-86,-89,-200,-200,-88,-89,-200
1526447764103,-30,-32,-69,-58,-60,-60,-72,-64,-69,-76,-73,-79,-90,-82,-82,-200,-200,-200,-87,-83,-200,-84,-89,-200,-200,-87,-89,-200
1526447767140,-30,-32,-69,-58,-60,-60,-72,-64,-69,-76,-73,-79,-90,-82,-82,-200,-200,-200,-87,-83,-200,-84,-89,-200,-200,-87,-89,-200
1526447770167,-30,-32,-69,-58,-60,-60,-72,-64,-69,-76,-73,-79,-90,-82,-82,-200,-200,-200,-87,-83,-200,-84,-89,-200,-200,-87,-89,-200
1526447773198,-30,-33,-69,-57,-59,-59,-69,-65,-69,-76,-71,-82,-200,-78,-81,-200,-200,-200,-87,-86,-200,-85,-90,-200,-200,-87,-200,-200
1526447776235,-30,-31,-68,-57,-60,-59,-67,-65,-70,-76,-77,-82,-89,-81,-81,-200,-200,-200,-84,-86,-200,-84,-90,-200,-200,-87,-200,-200
1526447779265,-30,-31,-68,-57,-60,-59,-67,-65,-70,-76,-77,-82,-89,-81,-81,-200,-200,-200,-84,-86,-200,-84,-90,-200,-200,-87,-200,-200
1526447782294,-30,-31,-68,-57,-60,-59,-67,-65,-70,-76,-77,-82,-89,-81,-81,-200,-200,-200,-84,-86,-200,-84,-90,-200,-200,-87,-200,-200
1526447785332,-30,-35,-69,-57,-60,-58,-70,-65,-70,-75,-73,-200,-89,-84,-81,-200,-200,-200,-84,-89,-200,-84,-81,-200,-200,-86,-200,-93
