,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,TP-LINK_1398,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro
,0c:73:eb:d0:7f:00,74:da:da:c1:03:21,74:da:da:c1:02:91,74:da:da:c1:03:2d,74:da:da:c1:02:8d,0c:73:eb:d0:7e:d0,74:da:da:c1:03:1d,0c:73:eb:d0:11:d8,74:da:da:c1:3a:8d,0c:73:eb:d0:11:c8,74:da:da:98:74:34,0c:73:eb:d0:13:d8,0c:73:eb:d0:13:90,0c:73:eb:d0:7c:40,74:da:da:98:74:80,d8:15:0d:6c:13:98,0c:73:eb:d0:13:c8,74:da:da:98:90:94,74:da:da:98:74:74,0c:73:eb:d0:13:98,74:da:da:c1:6b:4d,74:da:da:c1:3a:81,74:da:da:c1:3a:dd
1526447571240,-33,-48,-51,-53,-59,-62,-62,-65,-65,-66,-71,-77,-80,-83,-84,-84,-84,-87,-87,-89,-89,-200,-200
1526447574263,-36,-50,-49,-53,-63,-67,-60,-65,-61,-67,-71,-77,-81,-83,-200,-84,-84,-200,-87,-85,-200,-81,-200
1526447577295,-36,-50,-49,-53,-63,-67,-60,-65,-61,-67,-71,-77,-81,-83,-200,-84,-84,-200,-87,-85,-200,-81,-200
1526447580317,-36,-50,-49,-53,-63,-67,-60,-65,-61,-67,-71,-77,-81,-83,-200,-84,-84,-200,-87,-85,-200,-81,-200
1526447583354,-38,-49,-51,-53,-65,-60,-65,-71,-61,-64,-70,-70,-77,-81,-200,-200,-85,-200,-85,-86,-200,-84,-200
1526447586387,-38,-49,-52,-53,-65,-60,-61,-65,-61,-72,-72,-73,-80,-85,-82,-200,-85,-200,-85,-86,-200,-84,-200
1526447589412,-38,-49,-52,-53,-65,-60,-61,-65,-61,-72,-72,-73,-80,-85,-82,-200,-85,-200,-85,-86,-200,-84,-200
1526447592433,-38,-49,-52,-53,-65,-60,-61,-65,-61,-72,-72,-73,-80,-85,-82,-200,-85,-200,-85,-86,-200,-84,-200
1526447595452,-39,-47,-52,-53,-64,-65,-62,-70,-60,-70,-69,-71,-79,-85,-81,-200,-200,-200,-200,-200,-90,-82,-200
1526447598467,-38,-46,-47,-52,-64,-59,-61,-71,-60,-69,-73,-73,-81,-85,-81,-200,-84,-200,-200,-200,-90,-82,-200
1526447601494,-38,-46,-47,-52,-64,-59,-61,-71,-60,-69,-73,-73,-81,-85,-81,-200,-84,-200,-200,-200,-90,-82,-200
1526447604524,-38,-46,-47,-52,-64,-59,-61,-71,-60,-69,-73,-73,-81,-85,-81,-200,-84,-200,-200,-200,-90,-82,-200
1526447607565,-43,-46,-47,-53,-65,-63,-60,-63,-63,-70,-71,-71,-78,-86,-82,-200,-84,-200,-86,-87,-200,-82,-200
1526447610594,-44,-46,-49,-53,-65,-65,-60,-63,-63,-75,-72,-72,-81,-87,-82,-200,-86,-200,-86,-87,-200,-86,-200
1526447613612,-44,-46,-49,-53,-65,-65,-60,-63,-63,-75,-72,-72,-81,-87,-82,-200,-86,-200,-86,-87,-200,-86,-200
1526447616637,-44,-46,-49,-53,-65,-65,-60,-63,-63,-75,-72,-72,-81,-87,-82,-200,-86,-200,-86,-87,-200,-86,-200
1526447619674,-40,-40,-52,-52,-68,-64,-60,-72,-58,-71,-71,-72,-79,-89,-81,-200,-85,-200,-200,-85,-200,-79,-200
1526447622700,-40,-40,-52,-52,-68,-64,-60,-72,-58,-71,-71,-72,-79,-89,-81,-200,-85,-200,-200,-85,-200,-79,-200
1526447625725,-40,-40,-52,-52,-68,-64,-60,-72,-58,-71,-71,-72,-79,-89,-81,-200,-85,-200,-200,-85,-200,-79,-200
1526447628746,-40,-40,-52,-52,-68,-64,-60,-72,-58,-71,-71,-72,-79,-89,-81,-200,-85,-200,-200,-85,-200,-79,-200
1526447631774,-38,-45,-52,-53,-65,-65,-61,-65,-60,-70,-73,-70,-80,-81,-80,-200,-86,-200,-200,-87,-91,-82,-89
