,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,TP-LINK_1398,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018
,0c:73:eb:d0:7f:00,74:da:da:c1:03:21,74:da:da:c1:03:2d,74:da:da:c1:02:8d,0c:73:eb:d0:11:c8,74:da:da:c1:02:91,74:da:da:c1:3a:8d,0c:73:eb:d0:7e:d0,0c:73:eb:d0:11:d8,0c:73:eb:d0:7c:40,74:da:da:98:74:34,74:da:da:c1:03:1d,0c:73:eb:d0:13:d8,74:da:da:98:74:74,74:da:da:c1:6b:4d,0c:73:eb:d0:13:90,74:da:da:98:90:94,74:da:da:c1:3c:55,d8:15:0d:6c:13:98,74:da:da:c1:3a:81,74:da:da:c0:d7:11,74:da:da:c1:3a:dd,74:da:da:98:74:80,0c:73:eb:d0:19:a0,74:da:da:98:85:60,0c:73:eb:d0:13:b8,74:da:da:98:ea:54,74:da:da:c1:3c:4d,0c:73:eb:d0:13:c8,0c:73:eb:d0:19:90,0c:73:eb:d0:19:c0,0c:73:eb:d0:19:c8
1526447341908,-37,-51,-59,-62,-66,-67,-70,-72,-74,-77,-77,-78,-79,-82,-88,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447344930,-36,-34,-60,-58,-62,-56,-69,-63,-72,-81,-69,-77,-80,-82,-82,-89,-81,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447347955,-36,-34,-60,-58,-62,-56,-69,-63,-72,-81,-69,-77,-80,-82,-82,-89,-81,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447350987,-36,-34,-60,-58,-62,-56,-69,-63,-72,-81,-69,-77,-80,-82,-82,-89,-81,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447354018,-39,-33,-59,-57,-61,-56,-68,-64,-71,-85,-69,-76,-80,-84,-82,-79,-81,-87,-86,-89,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447357050,-38,-33,-60,-59,-62,-56,-69,-64,-72,-85,-68,-76,-78,-84,-83,-75,-80,-87,-86,-89,-90,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447360082,-38,-33,-60,-59,-62,-56,-69,-64,-72,-85,-68,-76,-78,-84,-83,-75,-80,-87,-86,-89,-90,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447363114,-38,-33,-60,-59,-62,-56,-69,-64,-72,-85,-68,-76,-78,-84,-83,-75,-80,-87,-86,-89,-90,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447366151,-41,-36,-60,-58,-62,-55,-71,-66,-70,-83,-66,-76,-80,-84,-82,-78,-84,-200,-200,-200,-200,-89,-83,-91,-200,-200,-200,-200,-200,-200,-200,-200
1526447369159,-38,-36,-59,-58,-65,-54,-71,-65,-72,-83,-66,-76,-80,-84,-82,-81,-84,-200,-88,-200,-200,-89,-83,-91,-90,-200,-200,-200,-200,-200,-200,-200
1526447372191,-38,-36,-59,-58,-65,-54,-71,-65,-72,-83,-66,-76,-80,-84,-82,-81,-84,-200,-88,-200,-200,-89,-83,-91,-90,-200,-200,-200,-200,-200,-200,-200
1526447375217,-38,-36,-59,-58,-65,-54,-71,-65,-72,-83,-66,-76,-80,-84,-82,-81,-84,-200,-88,-200,-200,-89,-83,-91,-90,-200,-200,-200,-200,-200,-200,-200
1526447378257,-38,-34,-60,-58,-62,-55,-70,-66,-71,-85,-64,-76,-82,-200,-81,-76,-85,-84,-88,-200,-200,-200,-200,-200,-90,-88,-200,-200,-200,-200,-200,-200
1526447381293,-40,-38,-60,-57,-62,-55,-72,-66,-73,-85,-66,-74,-82,-200,-81,-83,-85,-84,-88,-200,-200,-90,-200,-200,-90,-88,-89,-91,-200,-200,-200,-200
