,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
,78:A5:04:41:EB:B5,78:A5:04:41:E9:F2,78:A5:04:41:EB:E4
1526463270877,-88,-200,-200
1526463271919,-92,-94,-200
1526463272999,-200,-92,-93
1526463274147,-86,-93,-200
1526463279588,-88,-93,-200
1526463280748,-88,-200,-200
1526463282939,-87,-92,-200
1526463283990,-88,-90,-200
1526463288388,-90,-200,-200
1526463289525,-92,-200,-200
1526463291780,-87,-200,-200
1526463292835,-92,-94,-200
1526463295037,-85,-200,-90
1526463298410,-87,-91,-89
1526463300682,-88,-200,-90
1526463302917,-87,-92,-94
1526463310629,-86,-200,-200
1526463313908,-87,-200,-200
1526463318396,-87,-92,-200
1526463322790,-86,-200,-200
1526463327180,-88,-94,-200
1526463331729,-200,-92,-200
