,vlucci.com AC-V1.4.0.0,011f.0012-vlucci.com A1.4.0.1
,78:A5:04:41:E9:E0,F4:B8:5E:AA:77:7A
1526462084500,-93,-93
1526462086695,-95,-200
1526462087833,-93,-200
1526462090039,-94,-93
1526462092203,-200,-92
1526462102253,-200,-94
1526462103403,-200,-95
1526462104450,-200,-92
1526462107700,-91,-94
1526462113305,-95,-94
1526462116553,-90,-200
1526462118763,-88,-97
1526462120959,-200,-92
1526462127493,-92,-91
1526462136280,-200,-95
1526462137539,-90,-97
