,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
,78:A5:04:41:E9:E0,78:A5:04:41:EB:D8,78:A5:04:41:EB:94,78:A5:04:41:EB:85
1526462256587,-87,-200,-200,-200
1526462256689,-87,-200,-200,-200
1526462257645,-90,-200,-200,-200
1526462262046,-88,-200,-200,-200
1526462265311,-87,-200,-200,-200
1526462265411,-92,-200,-200,-200
1526462267593,-92,-200,-200,-200
1526462267707,-91,-200,-200,-200
1526462269808,-90,-95,-96,-200
1526462274230,-96,-200,-200,-200
1526462275372,-90,-200,-94,-200
1526462278735,-93,-200,-94,-200
1526462285305,-95,-200,-94,-200
1526462290828,-95,-200,-95,-200
1526462295208,-92,-200,-93,-200
1526462296348,-87,-200,-200,-96
1526462299717,-88,-200,-200,-94
1526462307390,-90,-200,-200,-97
1526462308513,-97,-200,-92,-94
