,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
,78:A5:04:41:EB:D8,78:A5:04:41:EB:94,78:A5:04:41:E9:E0
1526462351631,-95,-200,-200
1526462352790,-87,-88,-200
1526462355000,-200,-88,-200
1526462357214,-93,-93,-200
1526462364918,-90,-90,-93
1526462368206,-90,-200,-94
1526462370430,-89,-89,-200
1526462371575,-96,-95,-200
1526462378145,-200,-93,-200
1526462380432,-200,-95,-94
1526462391490,-200,-200,-94
1526462399146,-200,-200,-92
1526462402421,-200,-90,-93
1526462403547,-200,-200,-94
