,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
,78:A5:04:41:EB:D8,78:A5:04:41:EB:FE,78:A5:04:41:EB:94
1526462419212,-97,-200,-200
1526462421523,-90,-92,-200
1526462423719,-90,-92,-200
1526462424775,-96,-200,-200
1526462425830,-92,-200,-200
1526462428067,-92,-200,-200
1526462435780,-99,-92,-200
1526462452522,-200,-92,-200
1526462458005,-200,-92,-95
1526462471322,-90,-200,-88
1526462471424,-88,-200,-200
1526462474769,-88,-200,-89
1526462479221,-88,-200,-200
1526462480261,-83,-200,-200
