,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
,78:A5:04:41:E9:F7,78:A5:04:41:EB:FC,78:A5:04:41:E5:75,78:A5:04:41:E7:9C
1526443540991,-97,-90,-200,-200
1526443541102,-200,-90,-200,-200
1526443541312,-200,-91,-88,-200
1526443546022,-200,-84,-88,-96
1526443555888,-200,-91,-91,-200
1526443556125,-96,-200,-91,-200
1526443556350,-200,-200,-91,-200
1526443561066,-200,-200,-88,-200
1526443561295,-200,-87,-88,-200
1526443571062,-200,-90,-90,-200
1526443571168,-200,-90,-200,-200
1526443571265,-200,-90,-87,-200
1526443576078,-200,-200,-87,-200
1526443576181,-200,-200,-88,-200
1526443585996,-200,-91,-92,-200
1526443586220,-200,-90,-92,-200
1526443586324,-200,-200,-91,-200
1526443591066,-200,-200,-86,-200
1526443591169,-200,-200,-87,-200
1526443591273,-200,-89,-87,-200
1526443596181,-200,-89,-200,-200
1526443596287,-200,-87,-200,-200
