,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
,78:A5:04:41:E7:9C,78:A5:04:41:EB:FC,78:A5:04:41:E5:75,78:A5:04:41:E9:F7,78:A5:04:41:E9:DF
1526444130940,-88,-93,-92,-94,-200
1526444131114,-84,-200,-98,-200,-200
1526444131230,-84,-200,-200,-200,-200
1526444131333,-83,-200,-200,-200,-200
1526444135946,-87,-200,-200,-200,-200
1526444136060,-89,-200,-200,-200,-200
1526444145910,-84,-200,-93,-200,-200
1526444146018,-84,-200,-200,-200,-200
1526444146132,-82,-200,-90,-200,-200
1526444146251,-80,-200,-90,-200,-200
1526444150925,-79,-200,-92,-200,-99
1526444161054,-81,-91,-200,-200,-200
1526444161186,-83,-200,-200,-200,-200
1526444161350,-85,-200,-93,-200,-200
1526444176026,-86,-200,-200,-200,-200
1526444176115,-85,-200,-200,-94,-200
1526444176221,-85,-200,-94,-92,-200
1526444181010,-92,-89,-200,-200,-200
1526444191246,-200,-89,-200,-200,-200
