,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
,78:A5:04:41:E7:9C,78:A5:04:41:E5:75,78:A5:04:41:EB:FC
1526444055936,-97,-95,-200
1526444060986,-200,-92,-92
1526444061323,-200,-200,-93
1526444070978,-93,-200,-90
1526444076402,-92,-200,-200
1526444080926,-85,-200,-93
1526444106031,-200,-200,-97
