,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A20,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00ED0,WHU-2018,WHU-2018,DLINK_D00EC0,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A38,DLINK_D02A48,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A28,DLINK_D02A58,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A88,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018
,74:da:da:c1:61:69,74:da:da:98:8f:64,0c:73:eb:d0:76:58,0c:73:eb:d0:76:40,74:da:da:c1:3b:9d,74:da:da:c1:3b:4d,74:da:da:c1:61:6a,74:da:da:c1:3b:e9,0c:73:eb:d0:2a:20,0c:73:eb:d0:11:b0,74:da:da:c1:4a:7d,0c:73:eb:d0:19:b0,74:da:da:98:7a:6c,74:da:da:98:7a:50,0c:73:eb:d0:0e:d0,0c:73:eb:d0:76:20,0c:73:eb:d0:19:a8,0c:73:eb:d0:0e:c0,0c:73:eb:d0:19:98,74:da:da:98:8f:65,74:da:da:98:7a:60,0c:73:eb:d0:2a:38,0c:73:eb:d0:2a:48,74:da:da:c1:3c:91,0c:73:eb:d0:76:48,74:da:da:c1:3c:d1,74:da:da:c1:3b:cd,74:da:da:c1:3b:4e,0c:73:eb:d0:11:b8,74:da:da:c1:3c:6e,74:da:da:c1:3b:ea,74:da:da:c1:3b:9e,74:da:da:98:7a:68,74:da:da:98:db:45,0c:73:eb:d0:2a:28,0c:73:eb:d0:2a:58,74:da:da:98:ea:4d,74:da:da:98:8f:31,74:da:da:c1:4a:7e,74:da:da:98:db:44,0c:73:eb:d0:13:c0,74:da:da:98:ea:4c,0c:73:eb:d0:2a:88,74:da:da:98:7a:4c,74:da:da:c1:3c:6d,0c:73:eb:d0:11:d0
1526464384798,-32,-39,-46,-47,-49,-50,-52,-52,-52,-52,-53,-55,-59,-59,-61,-63,-64,-64,-64,-66,-66,-67,-69,-69,-70,-70,-70,-71,-73,-75,-75,-76,-78,-82,-83,-88,-90,-90,-90,-200,-200,-200,-200,-200,-200,-200
1526464387811,-32,-39,-50,-48,-46,-52,-60,-47,-50,-50,-53,-46,-50,-59,-57,-66,-70,-66,-64,-71,-81,-60,-71,-69,-70,-70,-70,-78,-68,-80,-74,-75,-78,-86,-83,-88,-90,-200,-200,-63,-79,-200,-200,-200,-200,-200
1526464390818,-32,-39,-50,-44,-46,-52,-60,-47,-50,-50,-200,-46,-50,-59,-57,-66,-70,-66,-64,-71,-81,-60,-71,-69,-200,-70,-70,-78,-68,-80,-74,-75,-78,-86,-83,-200,-200,-200,-200,-63,-79,-200,-200,-200,-200,-200
1526464393834,-32,-39,-50,-50,-44,-52,-58,-47,-50,-50,-200,-46,-50,-59,-57,-66,-70,-66,-64,-71,-81,-60,-71,-69,-200,-70,-70,-74,-68,-74,-74,-73,-78,-82,-83,-200,-200,-200,-200,-63,-79,-200,-200,-200,-200,-200
1526464396840,-32,-39,-50,-49,-44,-52,-58,-47,-50,-50,-200,-46,-50,-59,-57,-66,-70,-66,-64,-71,-81,-60,-71,-69,-200,-70,-70,-74,-68,-74,-74,-73,-78,-82,-83,-200,-200,-200,-200,-63,-79,-200,-200,-200,-200,-200
1526464399849,-38,-39,-51,-53,-45,-50,-56,-50,-54,-56,-200,-50,-53,-59,-54,-72,-70,-68,-64,-71,-81,-60,-71,-200,-200,-200,-70,-74,-68,-74,-79,-68,-78,-84,-83,-200,-200,-200,-200,-63,-79,-66,-68,-68,-200,-200
1526464402887,-38,-39,-51,-49,-45,-50,-56,-50,-54,-56,-200,-50,-53,-59,-54,-72,-70,-68,-64,-71,-81,-60,-71,-200,-200,-200,-70,-74,-68,-74,-79,-68,-78,-84,-200,-200,-200,-200,-200,-63,-79,-66,-68,-68,-200,-200
1526464405907,-34,-41,-47,-49,-45,-49,-56,-46,-51,-56,-200,-46,-53,-59,-54,-72,-70,-68,-64,-69,-81,-60,-67,-200,-200,-200,-70,-70,-60,-78,-74,-70,-78,-83,-200,-200,-91,-200,-200,-61,-79,-66,-68,-68,-55,-200
1526464408921,-34,-41,-47,-48,-45,-49,-56,-46,-51,-56,-200,-46,-53,-200,-54,-72,-70,-68,-200,-69,-81,-60,-67,-200,-200,-200,-200,-70,-60,-78,-74,-70,-200,-83,-200,-200,-91,-200,-200,-61,-79,-66,-68,-68,-55,-200
