,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A20,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D00EC0,DLINK_D02A38,DLINK_D00ED0,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A48,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,DLINK_D02A28,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A88,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,DLINK_D02A58,D-Link_DIR-823Pro,D-Link_DIR-823Pro
,74:da:da:c1:61:69,74:da:da:98:8f:64,74:da:da:c1:3c:6d,74:da:da:c1:3b:9d,0c:73:eb:d0:76:40,0c:73:eb:d0:2a:20,0c:73:eb:d0:19:b0,74:da:da:c1:61:6a,74:da:da:98:7a:6c,74:da:da:c1:4a:7d,0c:73:eb:d0:76:58,0c:73:eb:d0:76:20,74:da:da:c1:3b:4d,0c:73:eb:d0:11:b0,74:da:da:c1:3b:e9,74:da:da:98:ea:4c,0c:73:eb:d0:13:c0,0c:73:eb:d0:0e:c0,0c:73:eb:d0:2a:38,0c:73:eb:d0:0e:d0,0c:73:eb:d0:19:98,0c:73:eb:d0:19:a8,74:da:da:c1:17:75,74:da:da:c1:3b:4e,74:da:da:98:7a:50,74:da:da:c1:3c:e1,74:da:da:98:db:44,0c:73:eb:d0:2a:48,0c:73:eb:d0:11:b8,74:da:da:98:8f:65,74:da:da:c1:3b:9e,74:da:da:c1:3c:6e,0c:73:eb:d0:2a:28,74:da:da:c0:e0:71,74:da:da:98:db:45,74:da:da:c1:3b:ea,74:da:da:98:ea:4d,74:da:da:98:7a:60,74:da:da:98:7a:4c,74:da:da:98:8f:30,74:da:da:c1:3c:91,0c:73:eb:d0:2a:88,74:da:da:98:8f:31,0c:73:eb:d0:76:48,74:da:da:c1:4a:7e,0c:73:eb:d0:2a:58,74:da:da:c1:3c:d1,74:da:da:98:7a:68
1526464304720,-30,-38,-39,-39,-40,-53,-56,-56,-56,-56,-57,-58,-58,-58,-59,-61,-62,-62,-62,-63,-63,-65,-65,-67,-67,-67,-68,-70,-72,-74,-74,-76,-76,-78,-83,-85,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526464307731,-29,-41,-43,-39,-39,-49,-49,-49,-62,-200,-52,-60,-48,-58,-46,-61,-62,-67,-61,-59,-63,-60,-65,-71,-60,-67,-68,-70,-72,-70,-76,-79,-76,-78,-85,-81,-89,-63,-68,-70,-200,-200,-200,-200,-200,-200,-200,-200
1526464310742,-29,-41,-43,-39,-41,-49,-49,-49,-62,-200,-52,-60,-48,-58,-46,-61,-62,-67,-61,-59,-63,-60,-65,-71,-60,-67,-68,-70,-200,-70,-76,-79,-76,-78,-85,-81,-89,-63,-68,-70,-200,-200,-200,-200,-200,-200,-200,-200
1526464313760,-28,-41,-44,-53,-40,-51,-48,-49,-62,-200,-49,-60,-46,-56,-44,-61,-62,-67,-59,-59,-63,-60,-65,-72,-60,-67,-68,-70,-71,-70,-75,-78,-76,-78,-85,-80,-89,-61,-64,-70,-67,-76,-200,-200,-200,-200,-200,-200
1526464316773,-28,-41,-44,-53,-38,-51,-48,-49,-62,-200,-49,-60,-46,-56,-44,-61,-62,-67,-59,-59,-63,-60,-65,-72,-60,-67,-68,-70,-71,-70,-75,-78,-76,-78,-85,-80,-89,-61,-64,-70,-67,-76,-200,-200,-200,-200,-200,-200
1526464319793,-33,-41,-44,-52,-40,-51,-51,-49,-62,-200,-49,-60,-46,-56,-44,-200,-62,-67,-59,-63,-200,-60,-65,-70,-60,-67,-68,-72,-71,-70,-79,-78,-76,-200,-82,-84,-89,-61,-64,-70,-67,-76,-200,-200,-200,-200,-200,-200
1526464322808,-33,-41,-44,-52,-44,-51,-51,-49,-62,-200,-49,-60,-46,-56,-44,-200,-62,-67,-59,-63,-200,-60,-65,-70,-60,-67,-68,-72,-71,-70,-79,-78,-76,-200,-82,-84,-89,-61,-64,-70,-67,-76,-200,-200,-200,-200,-200,-200
1526464325832,-33,-42,-48,-52,-43,-48,-50,-49,-61,-200,-52,-65,-46,-55,-44,-200,-62,-65,-61,-62,-200,-62,-200,-70,-60,-67,-68,-72,-71,-66,-75,-77,-76,-200,-82,-83,-89,-61,-64,-70,-67,-76,-90,-200,-200,-200,-200,-200
1526464328858,-33,-42,-48,-52,-43,-48,-50,-49,-61,-200,-52,-65,-46,-55,-44,-200,-62,-65,-61,-62,-200,-62,-200,-70,-60,-67,-68,-72,-71,-66,-75,-77,-76,-200,-82,-83,-89,-61,-64,-70,-67,-76,-90,-200,-200,-200,-200,-200
