,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,TP-LINK_1398,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018
,0c:73:eb:d0:7e:d0,74:da:da:c1:02:91,74:da:da:c1:03:1d,74:da:da:c1:03:2d,74:da:da:c1:03:21,74:da:da:c1:02:8d,0c:73:eb:d0:7f:00,0c:73:eb:d0:13:98,74:da:da:98:74:74,0c:73:eb:d0:11:d8,74:da:da:c1:3a:8d,74:da:da:c1:3d:2d,0c:73:eb:d0:7c:40,0c:73:eb:d0:13:d8,74:da:da:c1:3a:81,74:da:da:c1:6b:4d,d8:15:0d:6c:13:98,74:da:da:98:90:2c,0c:73:eb:d0:11:f8,0c:73:eb:d0:13:b0,74:da:da:98:74:80,74:da:da:98:66:cc,74:da:da:c0:d6:ed,74:da:da:c0:d9:39,74:da:da:c1:48:bd,74:da:da:c0:d7:0d,74:da:da:98:74:34,74:da:da:c1:3a:dd,0c:73:eb:d0:13:90,74:da:da:c0:f6:15,0c:73:eb:d0:19:80,0c:73:eb:d0:7c:28,0c:73:eb:d0:11:c8
1526442093154,-28,-37,-37,-54,-60,-63,-65,-65,-67,-70,-71,-73,-74,-74,-74,-75,-78,-81,-83,-84,-85,-85,-86,-89,-91,-92,-200,-200,-200,-200,-200,-200,-200
1526442096175,-27,-38,-37,-51,-59,-64,-65,-69,-67,-69,-71,-72,-74,-77,-74,-200,-78,-200,-200,-82,-84,-85,-86,-89,-91,-92,-87,-200,-200,-200,-200,-200,-200
1526442099214,-27,-38,-37,-51,-59,-64,-65,-69,-67,-69,-71,-72,-74,-77,-74,-200,-78,-200,-200,-82,-84,-85,-86,-89,-91,-92,-87,-200,-200,-200,-200,-200,-200
1526442102240,-27,-38,-37,-51,-59,-64,-65,-69,-67,-69,-71,-72,-74,-77,-74,-200,-78,-200,-200,-82,-84,-85,-86,-89,-91,-92,-87,-200,-200,-200,-200,-200,-200
1526442105279,-25,-35,-37,-49,-60,-66,-65,-65,-69,-67,-77,-71,-74,-72,-76,-83,-87,-81,-200,-82,-80,-89,-84,-200,-200,-200,-87,-81,-88,-200,-200,-200,-200
1526442108313,-25,-35,-35,-49,-59,-66,-65,-68,-67,-67,-69,-71,-75,-72,-76,-81,-87,-81,-88,-86,-80,-87,-84,-200,-200,-200,-87,-81,-88,-200,-200,-200,-200
1526442111324,-25,-35,-35,-49,-59,-66,-65,-68,-67,-67,-69,-71,-75,-72,-76,-81,-87,-81,-88,-86,-80,-87,-84,-200,-200,-200,-87,-81,-88,-200,-200,-200,-200
1526442114359,-25,-35,-35,-49,-59,-66,-65,-68,-67,-67,-69,-71,-75,-72,-76,-81,-87,-81,-88,-86,-80,-87,-84,-200,-200,-200,-87,-81,-88,-200,-200,-200,-200
1526442117404,-27,-37,-44,-47,-58,-67,-61,-59,-67,-68,-69,-200,-75,-75,-79,-81,-200,-200,-88,-86,-82,-87,-200,-88,-200,-200,-87,-84,-200,-83,-85,-200,-200
