,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,TP-LINK_1398,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro
,74:da:da:c1:03:1d,0c:73:eb:d0:7e:d0,74:da:da:c1:02:91,74:da:da:c1:03:2d,74:da:da:c1:03:21,74:da:da:98:74:74,0c:73:eb:d0:7f:00,74:da:da:c1:3a:8d,0c:73:eb:d0:13:98,74:da:da:98:90:2c,0c:73:eb:d0:13:d8,74:da:da:c1:02:8d,74:da:da:c1:3d:2d,0c:73:eb:d0:7c:40,74:da:da:c0:f6:15,0c:73:eb:d0:11:d8,74:da:da:c1:6b:4d,0c:73:eb:d0:11:c8,0c:73:eb:d0:19:80,74:da:da:c1:3a:81,74:da:da:98:66:cc,74:da:da:98:74:34,74:da:da:98:74:80,74:da:da:c1:3b:29,0c:73:eb:d0:11:f8,74:da:da:c0:d6:ed,0c:73:eb:d0:13:b0,74:da:da:c1:3a:dd,74:da:da:c1:3b:19,d8:15:0d:6c:13:98,0c:73:eb:d0:7c:28,74:da:da:c0:d9:39,0c:73:eb:d0:11:c0,0c:73:eb:d0:76:50,74:da:da:c1:3c:11,74:da:da:c0:d6:f5
1526442319416,-35,-38,-43,-58,-60,-61,-64,-64,-67,-71,-71,-73,-76,-77,-79,-80,-81,-82,-82,-82,-84,-85,-85,-87,-87,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526442322445,-32,-30,-46,-52,-57,-59,-64,-69,-63,-77,-71,-68,-79,-74,-80,-71,-81,-87,-82,-84,-89,-85,-81,-87,-87,-200,-70,-73,-200,-200,-200,-200,-200,-200,-200,-200
1526442325467,-32,-30,-46,-52,-57,-59,-64,-69,-63,-77,-71,-68,-79,-74,-80,-71,-81,-87,-82,-84,-89,-85,-81,-87,-87,-200,-70,-73,-200,-200,-200,-200,-200,-200,-200,-200
1526442328499,-32,-30,-46,-52,-57,-59,-64,-69,-63,-77,-71,-68,-79,-74,-80,-71,-81,-87,-82,-84,-89,-85,-81,-87,-87,-200,-70,-73,-200,-200,-200,-200,-200,-200,-200,-200
1526442331536,-38,-28,-35,-50,-60,-63,-64,-67,-62,-80,-77,-65,-76,-75,-80,-69,-76,-83,-200,-86,-85,-85,-79,-84,-200,-79,-79,-78,-88,-200,-200,-200,-200,-200,-200,-200
1526442334572,-38,-30,-34,-50,-58,-63,-64,-69,-63,-80,-78,-64,-75,-74,-77,-69,-76,-84,-200,-84,-85,-89,-78,-84,-200,-79,-79,-78,-88,-80,-87,-200,-200,-200,-200,-200
1526442337600,-38,-30,-34,-50,-58,-63,-64,-69,-63,-80,-78,-64,-75,-74,-77,-69,-76,-84,-200,-84,-85,-89,-78,-84,-200,-79,-79,-78,-88,-80,-87,-200,-200,-200,-200,-200
1526442340641,-38,-30,-34,-50,-58,-63,-64,-69,-63,-80,-78,-64,-75,-74,-77,-69,-76,-84,-200,-84,-85,-89,-78,-84,-200,-79,-79,-78,-88,-80,-87,-200,-200,-200,-200,-200
1526442343683,-37,-28,-31,-60,-57,-62,-64,-68,-66,-75,-77,-69,-75,-73,-79,-68,-76,-84,-73,-84,-86,-87,-81,-85,-90,-81,-79,-79,-200,-86,-89,-79,-91,-200,-200,-200
1526442346724,-37,-28,-34,-52,-57,-61,-64,-70,-64,-75,-77,-69,-75,-72,-79,-67,-76,-84,-73,-84,-86,-87,-81,-85,-84,-81,-77,-79,-200,-84,-89,-79,-91,-200,-200,-200
1526442349764,-37,-28,-34,-52,-57,-61,-64,-70,-64,-75,-77,-69,-75,-72,-79,-67,-76,-84,-73,-84,-86,-87,-81,-85,-84,-81,-77,-79,-200,-84,-89,-79,-91,-200,-200,-200
1526442352804,-37,-28,-34,-52,-57,-61,-64,-70,-64,-75,-77,-69,-75,-72,-79,-67,-76,-84,-73,-84,-86,-87,-81,-85,-84,-81,-77,-79,-200,-84,-89,-79,-91,-200,-200,-200
1526442355849,-38,-28,-32,-50,-57,-64,-62,-72,-63,-76,-75,-70,-77,-75,-87,-71,-80,-80,-78,-85,-84,-200,-81,-200,-88,-83,-82,-200,-200,-84,-200,-82,-200,-89,-89,-92
1526442358883,-38,-29,-35,-50,-57,-64,-62,-72,-63,-76,-74,-70,-78,-76,-85,-69,-80,-84,-78,-85,-86,-86,-77,-86,-88,-83,-74,-200,-200,-83,-200,-82,-200,-89,-89,-92
1526442361923,-38,-29,-35,-50,-57,-64,-62,-72,-63,-76,-74,-70,-78,-76,-85,-69,-80,-84,-78,-85,-86,-86,-77,-86,-88,-83,-74,-200,-200,-83,-200,-82,-200,-89,-89,-92
1526442364974,-38,-29,-35,-50,-57,-64,-62,-72,-63,-76,-74,-70,-78,-76,-85,-69,-80,-84,-78,-85,-86,-86,-77,-86,-88,-83,-74,-200,-200,-83,-200,-82,-200,-89,-89,-92
1526442368017,-40,-30,-35,-51,-57,-64,-65,-68,-65,-200,-77,-69,-73,-74,-85,-70,-75,-84,-200,-200,-84,-86,-80,-86,-200,-200,-80,-81,-88,-83,-200,-200,-200,-200,-200,-200
1526442371046,-41,-30,-34,-51,-65,-64,-67,-69,-62,-200,-81,-69,-73,-74,-80,-70,-75,-84,-91,-200,-84,-86,-82,-86,-200,-200,-80,-79,-88,-85,-200,-85,-200,-200,-91,-200
1526442374079,-41,-30,-34,-51,-65,-64,-67,-69,-62,-200,-81,-69,-73,-74,-80,-70,-75,-84,-91,-200,-84,-86,-82,-86,-200,-200,-80,-79,-88,-85,-200,-85,-200,-200,-91,-200
1526442377115,-41,-30,-34,-51,-65,-64,-67,-69,-62,-200,-81,-69,-73,-74,-80,-70,-75,-84,-91,-200,-84,-86,-82,-86,-200,-200,-80,-79,-88,-85,-200,-85,-200,-200,-91,-200
1526442380149,-40,-30,-30,-52,-61,-64,-63,-68,-63,-76,-81,-67,-76,-69,-82,-69,-200,-87,-91,-90,-200,-88,-82,-200,-87,-85,-83,-81,-200,-82,-88,-88,-200,-200,-91,-200
