,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,TP-LINK_1398,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018
,0c:73:eb:d0:7e:d0,74:da:da:c1:03:1d,74:da:da:c1:02:91,0c:73:eb:d0:11:d8,74:da:da:c1:03:2d,74:da:da:c1:02:8d,74:da:da:c1:6b:4d,74:da:da:c1:03:21,0c:73:eb:d0:13:98,74:da:da:c1:3a:8d,0c:73:eb:d0:7f:00,74:da:da:98:74:74,74:da:da:c1:3d:2d,0c:73:eb:d0:7c:40,d8:15:0d:6c:13:98,0c:73:eb:d0:13:d8,74:da:da:c0:f6:15,0c:73:eb:d0:11:f8,0c:73:eb:d0:13:b0,74:da:da:c0:d9:39,0c:73:eb:d0:19:80,74:da:da:98:90:2c,74:da:da:c1:3a:81,74:da:da:98:74:80,74:da:da:98:66:cc,0c:73:eb:d0:7c:28,74:da:da:c0:d6:ed,74:da:da:c1:3b:29,74:da:da:c1:3a:dd,0c:73:eb:d0:13:90,74:da:da:98:74:34,0c:73:eb:d0:11:c8,0c:73:eb:d0:0e:a8
1526442642354,-42,-45,-53,-54,-54,-58,-62,-63,-65,-66,-69,-70,-71,-72,-73,-76,-78,-78,-79,-81,-81,-81,-82,-82,-86,-86,-87,-88,-88,-200,-200,-200,-200
1526442645368,-40,-42,-57,-55,-54,-65,-76,-59,-65,-69,-73,-69,-80,-74,-73,-78,-79,-200,-79,-81,-200,-200,-83,-83,-86,-200,-200,-200,-87,-200,-200,-200,-200
1526442648394,-40,-42,-57,-55,-54,-65,-76,-59,-65,-69,-73,-69,-80,-74,-73,-78,-79,-200,-79,-81,-200,-200,-83,-83,-86,-200,-200,-200,-87,-200,-200,-200,-200
1526442651408,-40,-42,-57,-55,-54,-65,-76,-59,-65,-69,-73,-69,-80,-74,-73,-78,-79,-200,-79,-81,-200,-200,-83,-83,-86,-200,-200,-200,-87,-200,-200,-200,-200
1526442654444,-34,-46,-50,-62,-55,-57,-78,-64,-67,-61,-74,-77,-70,-75,-76,-73,-79,-85,-85,-200,-85,-200,-79,-82,-200,-200,-200,-200,-87,-82,-89,-200,-200
1526442657470,-33,-46,-57,-61,-56,-57,-78,-65,-68,-61,-74,-75,-69,-77,-78,-76,-82,-85,-84,-200,-85,-200,-79,-82,-92,-200,-200,-200,-87,-82,-89,-200,-200
1526442660506,-33,-46,-57,-61,-56,-57,-78,-65,-68,-61,-74,-75,-69,-77,-78,-76,-82,-85,-84,-200,-85,-200,-79,-82,-92,-200,-200,-200,-87,-82,-89,-200,-200
1526442663541,-33,-46,-57,-61,-56,-57,-78,-65,-68,-61,-74,-75,-69,-77,-78,-76,-82,-85,-84,-200,-85,-200,-79,-82,-92,-200,-200,-200,-87,-82,-89,-200,-200
1526442666581,-39,-39,-58,-62,-55,-60,-80,-61,-73,-67,-73,-79,-73,-76,-80,-72,-82,-88,-84,-200,-200,-86,-81,-82,-92,-87,-200,-88,-200,-91,-200,-200,-200
1526442669616,-37,-39,-60,-63,-55,-57,-78,-60,-70,-63,-73,-80,-72,-77,-80,-75,-82,-88,-88,-200,-200,-86,-81,-82,-92,-87,-200,-88,-200,-85,-200,-200,-200
1526442672648,-37,-39,-60,-63,-55,-57,-78,-60,-70,-63,-73,-80,-72,-77,-80,-75,-82,-88,-88,-200,-200,-86,-81,-82,-92,-87,-200,-88,-200,-85,-200,-200,-200
1526442675682,-37,-39,-60,-63,-55,-57,-78,-60,-70,-63,-73,-80,-72,-77,-80,-75,-82,-88,-88,-200,-200,-86,-81,-82,-92,-87,-200,-88,-200,-85,-200,-200,-200
1526442678725,-39,-45,-60,-59,-55,-56,-78,-58,-70,-61,-71,-77,-72,-75,-82,-73,-87,-200,-88,-200,-87,-200,-81,-200,-200,-89,-200,-200,-84,-85,-200,-90,-200
1526442681756,-40,-45,-59,-63,-54,-54,-78,-59,-70,-61,-71,-77,-72,-75,-82,-73,-87,-86,-85,-200,-87,-200,-83,-200,-200,-89,-200,-200,-84,-85,-200,-90,-200
1526442684793,-40,-45,-59,-63,-54,-54,-78,-59,-70,-61,-71,-77,-72,-75,-82,-73,-87,-86,-85,-200,-87,-200,-83,-200,-200,-89,-200,-200,-84,-85,-200,-90,-200
1526442687834,-40,-45,-59,-63,-54,-54,-78,-59,-70,-61,-71,-77,-72,-75,-82,-73,-87,-86,-85,-200,-87,-200,-83,-200,-200,-89,-200,-200,-84,-85,-200,-90,-200
1526442690857,-51,-61,-75,-80,-69,-69,-200,-74,-83,-74,-200,-200,-72,-74,-82,-72,-200,-86,-90,-200,-200,-200,-83,-200,-200,-200,-200,-200,-84,-200,-200,-200,-200
1526442693896,-43,-51,-64,-63,-58,-59,-200,-63,-72,-74,-80,-81,-71,-75,-82,-71,-90,-86,-90,-89,-200,-200,-83,-83,-200,-200,-200,-91,-84,-200,-200,-200,-200
1526442696923,-43,-51,-64,-63,-58,-59,-200,-63,-72,-74,-80,-81,-71,-75,-82,-71,-90,-86,-90,-89,-200,-200,-83,-83,-200,-200,-200,-91,-84,-200,-200,-200,-200
1526442699953,-43,-51,-64,-63,-58,-59,-200,-63,-72,-74,-80,-81,-71,-75,-82,-71,-90,-86,-90,-89,-200,-200,-83,-83,-200,-200,-200,-91,-84,-200,-200,-200,-200
1526442702999,-42,-39,-63,-60,-56,-56,-78,-70,-72,-69,-74,-67,-61,-70,-83,-74,-88,-200,-86,-89,-200,-200,-83,-83,-200,-91,-88,-91,-200,-200,-200,-200,-92
