,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,TP-LINK_1398,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro
,0c:73:eb:d0:7e:d0,74:da:da:c1:03:1d,74:da:da:c1:02:91,74:da:da:c1:03:21,74:da:da:c1:03:2d,0c:73:eb:d0:7f:00,74:da:da:98:74:74,0c:73:eb:d0:13:98,74:da:da:c1:3a:8d,74:da:da:c1:02:8d,0c:73:eb:d0:13:d8,74:da:da:98:90:2c,74:da:da:98:74:34,74:da:da:c1:3d:2d,0c:73:eb:d0:11:d8,74:da:da:98:74:80,0c:73:eb:d0:7c:40,0c:73:eb:d0:13:b0,74:da:da:c0:d6:ed,0c:73:eb:d0:11:c8,74:da:da:c1:3a:dd,74:da:da:c1:6b:4d,74:da:da:98:66:cc,0c:73:eb:d0:19:80,74:da:da:c0:f6:15,74:da:da:c0:d9:39,74:da:da:c1:3b:19,74:da:da:c1:3c:11,74:da:da:c1:3a:81,d8:15:0d:6c:13:98,74:da:da:98:90:94,0c:73:eb:d0:13:90,0c:73:eb:d0:11:f8,0c:73:eb:d0:11:c0,74:da:da:c1:3b:29
1526442242216,-37,-37,-41,-52,-57,-60,-60,-61,-65,-73,-75,-75,-78,-78,-79,-79,-81,-81,-84,-84,-85,-86,-86,-87,-88,-89,-91,-91,-200,-200,-200,-200,-200,-200,-200
1526442245243,-35,-36,-40,-55,-58,-56,-64,-59,-64,-73,-75,-72,-81,-78,-71,-79,-81,-85,-200,-84,-200,-86,-87,-87,-200,-86,-200,-200,-88,-200,-200,-200,-200,-200,-200
1526442248271,-35,-36,-40,-55,-58,-56,-64,-59,-64,-73,-75,-72,-81,-78,-71,-79,-81,-85,-200,-84,-200,-86,-87,-87,-200,-86,-200,-200,-88,-200,-200,-200,-200,-200,-200
1526442251284,-35,-36,-40,-55,-58,-56,-64,-59,-64,-73,-75,-72,-81,-78,-71,-79,-81,-85,-200,-84,-200,-86,-87,-87,-200,-86,-200,-200,-88,-200,-200,-200,-200,-200,-200
1526442254306,-35,-36,-40,-55,-58,-56,-64,-59,-64,-74,-200,-72,-81,-200,-71,-200,-200,-87,-200,-200,-200,-200,-87,-200,-200,-86,-200,-200,-88,-200,-200,-200,-200,-200,-200
1526442257336,-36,-39,-41,-54,-60,-58,-60,-61,-64,-73,-85,-73,-80,-200,-79,-76,-82,-87,-88,-200,-200,-200,-87,-200,-200,-86,-200,-200,-87,-89,-90,-91,-200,-200,-200
1526442260370,-36,-39,-41,-54,-60,-58,-60,-61,-64,-73,-85,-73,-80,-200,-79,-76,-82,-87,-88,-200,-200,-200,-87,-200,-200,-86,-200,-200,-87,-89,-90,-91,-200,-200,-200
1526442263397,-36,-39,-41,-54,-60,-58,-60,-61,-64,-73,-85,-73,-80,-200,-79,-76,-82,-87,-88,-200,-200,-200,-87,-200,-200,-86,-200,-200,-87,-89,-90,-91,-200,-200,-200
1526442266409,-38,-39,-41,-52,-60,-55,-62,-60,-64,-73,-80,-71,-76,-74,-83,-78,-77,-200,-89,-80,-200,-200,-200,-200,-200,-200,-200,-200,-87,-89,-90,-91,-200,-200,-200
