,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
,BC:6A:29:BE:31:17,78:A5:04:41:EB:F1,78:A5:04:41:E5:3E,7C:66:9D:7B:47:FC,78:A5:04:41:EB:A5,78:A5:04:41:E9:98,BC:6A:29:BE:2F:54,78:A5:04:41:E9:CB,78:A5:04:41:E9:BB,78:A5:04:41:E7:9D
1526459842429,-78,-85,-200,-200,-200,-200,-200,-200,-200,-200
1526459842526,-78,-200,-92,-200,-200,-200,-200,-200,-200,-200
1526459847335,-91,-82,-200,-97,-87,-200,-200,-200,-200,-200
1526459847489,-92,-82,-200,-200,-86,-92,-94,-200,-200,-200
1526459847547,-90,-200,-200,-200,-200,-200,-94,-200,-200,-200
1526459847660,-90,-82,-200,-200,-89,-200,-94,-92,-200,-200
1526459852811,-200,-84,-200,-200,-90,-91,-97,-200,-200,-200
1526459852984,-200,-81,-200,-200,-200,-92,-97,-89,-200,-200
1526459857248,-84,-92,-200,-200,-200,-200,-200,-86,-200,-200
1526459857382,-83,-200,-200,-200,-200,-200,-200,-86,-90,-200
1526459857488,-83,-200,-200,-200,-200,-200,-200,-85,-91,-200
1526459857587,-83,-93,-200,-200,-200,-200,-200,-86,-200,-200
1526459862276,-77,-200,-90,-200,-200,-200,-200,-200,-200,-200
1526459862372,-77,-85,-200,-200,-200,-92,-200,-200,-90,-200
1526459862481,-77,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459862587,-77,-81,-200,-99,-89,-92,-200,-92,-200,-200
1526459867582,-200,-81,-200,-200,-200,-90,-200,-90,-200,-200
1526459867699,-84,-82,-200,-200,-200,-200,-200,-86,-89,-200
1526459872404,-83,-200,-200,-200,-200,-200,-200,-86,-92,-200
1526459872611,-84,-200,-200,-200,-200,-200,-200,-200,-90,-200
1526459877231,-76,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459877344,-76,-200,-200,-200,-200,-200,-200,-90,-90,-200
1526459877449,-77,-85,-200,-200,-93,-200,-200,-91,-200,-90
1526459877657,-77,-82,-200,-200,-88,-90,-200,-92,-200,-200
1526459882401,-200,-81,-200,-200,-88,-200,-200,-200,-200,-200
1526459882503,-200,-82,-200,-200,-89,-92,-99,-200,-200,-200
1526459882596,-200,-82,-200,-100,-89,-200,-200,-200,-200,-200
1526459887244,-84,-93,-200,-200,-200,-200,-200,-87,-200,-200
1526459887424,-83,-200,-200,-200,-200,-200,-105,-87,-200,-200
1526459887632,-84,-85,-90,-200,-94,-200,-200,-200,-200,-200
1526459892351,-77,-85,-200,-101,-200,-200,-200,-200,-200,-200
1526459892486,-77,-84,-200,-99,-200,-200,-200,-200,-200,-200
1526459892594,-76,-85,-91,-101,-88,-91,-96,-88,-200,-200
1526459897414,-200,-81,-200,-200,-200,-200,-95,-87,-200,-200
1526459897511,-200,-81,-200,-200,-88,-200,-200,-87,-200,-200
1526459897620,-83,-200,-200,-200,-200,-200,-200,-87,-90,-200
1526459902341,-83,-200,-200,-200,-200,-200,-200,-86,-200,-200
1526459902440,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459902643,-83,-200,-200,-200,-200,-200,-101,-200,-200,-200
1526459902745,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459902850,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459902955,-84,-200,-200,-200,-200,-200,-200,-85,-200,-200
1526459903058,-83,-200,-200,-200,-200,-200,-200,-200,-90,-200
