,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D07F10,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D013A8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,TP-LINK_1398,WHU-2018,MERCURY_0166,WHU-2018,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro
,74:da:da:98:85:1c,0c:73:eb:d0:11:c0,74:da:da:c1:56:a1,0c:73:eb:d0:13:b8,74:da:da:98:74:80,74:da:da:98:85:4c,0c:73:eb:d0:7f:08,74:da:da:98:85:60,0c:73:eb:d0:7f:10,74:da:da:c1:3b:29,0c:73:eb:d0:7e:f8,74:da:da:98:85:00,74:da:da:c1:3c:85,74:da:da:c0:d8:3d,74:da:da:c1:3c:11,0c:73:eb:d0:11:e0,0c:73:eb:d0:11:f8,74:da:da:c1:3a:81,0c:73:eb:d0:13:90,0c:73:eb:d0:11:c8,74:da:da:c1:3d:2d,0c:73:eb:d0:7c:38,0c:73:eb:d0:13:98,74:da:da:c0:d7:b9,74:da:da:98:74:74,0c:73:eb:d0:13:a8,74:da:da:98:ea:5c,74:da:da:c0:d7:19,74:da:da:c0:f3:01,0c:73:eb:d0:13:d8,0c:73:eb:d0:76:18,74:da:da:c0:f4:69,74:da:da:c1:3a:8d,74:da:da:c1:3c:51,0c:73:eb:d0:7c:08,74:da:da:c1:3c:55,0c:73:eb:d0:7f:18,74:da:da:c1:3a:dd,0c:73:eb:d0:7c:40,74:da:da:c0:d7:9d,74:da:da:c1:03:2d,0c:73:eb:d0:11:d8,0c:73:eb:d0:13:c8,74:da:da:c0:d7:0d,74:da:da:98:91:d4,0c:73:eb:d0:19:90,74:da:da:c0:d7:c5,74:da:da:c1:6b:4d,74:da:da:c1:3c:e1,74:da:da:c0:e0:69,74:da:da:98:92:14,74:da:da:c0:e0:71,0c:73:eb:d0:19:88,74:da:da:c0:e2:d9,d8:15:0d:6c:13:98,0c:73:eb:d0:76:38,50:3a:a0:ea:01:66,0c:73:eb:d0:76:30,0c:73:eb:d0:7e:e8,0c:73:eb:d0:13:c0,0c:73:eb:d0:19:a0,0c:73:eb:d0:7c:28,74:da:da:c1:3c:4d,74:da:da:98:8f:30,74:da:da:98:7a:60
1526463410127,-35,-44,-53,-53,-60,-60,-60,-60,-61,-64,-65,-66,-66,-68,-68,-68,-69,-69,-71,-72,-72,-72,-73,-73,-73,-74,-76,-76,-77,-78,-78,-80,-81,-82,-83,-83,-83,-84,-86,-87,-90,-90,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526463413154,-37,-44,-53,-53,-60,-60,-60,-60,-57,-64,-65,-61,-66,-71,-68,-69,-68,-69,-75,-72,-72,-72,-75,-200,-73,-74,-72,-76,-70,-78,-83,-80,-81,-82,-83,-200,-83,-85,-86,-87,-90,-90,-200,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526463416175,-37,-44,-53,-53,-60,-60,-60,-60,-57,-64,-65,-61,-66,-71,-68,-69,-68,-69,-75,-72,-72,-72,-75,-200,-73,-74,-72,-76,-70,-78,-83,-80,-81,-82,-83,-200,-83,-85,-86,-87,-90,-90,-200,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526463419209,-37,-44,-53,-53,-60,-60,-60,-60,-57,-64,-65,-61,-66,-71,-68,-69,-68,-69,-75,-72,-72,-72,-75,-200,-73,-74,-72,-76,-70,-78,-83,-80,-81,-82,-83,-200,-83,-85,-86,-87,-90,-90,-200,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526463422251,-39,-48,-55,-51,-64,-70,-52,-62,-55,-67,-64,-70,-66,-76,-200,-67,-59,-71,-77,-90,-200,-200,-81,-61,-200,-200,-70,-200,-69,-79,-83,-200,-78,-200,-82,-200,-200,-83,-200,-200,-200,-200,-200,-89,-69,-72,-85,-87,-89,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526463425296,-43,-48,-51,-68,-64,-62,-56,-63,-56,-67,-71,-70,-67,-76,-200,-69,-68,-71,-77,-90,-200,-73,-81,-63,-200,-74,-74,-75,-70,-79,-83,-80,-79,-200,-82,-200,-200,-83,-200,-200,-200,-200,-200,-89,-63,-77,-85,-87,-89,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526463428340,-43,-48,-51,-68,-64,-62,-56,-63,-56,-67,-71,-70,-67,-76,-200,-69,-68,-71,-77,-90,-200,-73,-81,-63,-200,-74,-74,-75,-70,-79,-83,-80,-79,-200,-82,-200,-200,-83,-200,-200,-200,-200,-200,-89,-63,-77,-85,-87,-89,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526463431389,-43,-48,-51,-68,-64,-62,-56,-63,-56,-67,-71,-70,-67,-76,-200,-69,-68,-71,-77,-90,-200,-73,-81,-63,-200,-74,-74,-75,-70,-79,-83,-80,-79,-200,-82,-200,-200,-83,-200,-200,-200,-200,-200,-89,-63,-77,-85,-87,-89,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526463434433,-43,-47,-50,-47,-62,-64,-57,-63,-55,-62,-68,-67,-67,-71,-200,-65,-67,-71,-200,-200,-200,-71,-200,-64,-200,-74,-68,-74,-67,-77,-200,-80,-81,-200,-200,-85,-200,-200,-82,-200,-200,-200,-200,-200,-63,-77,-200,-87,-200,-200,-71,-75,-77,-78,-93,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
