,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,MERCURY_0166,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro
,74:da:da:98:66:cc,0c:73:eb:d0:13:b0,74:da:da:98:90:2c,74:da:da:c1:3c:11,0c:73:eb:d0:76:18,0c:73:eb:d0:19:80,74:da:da:c0:d6:ed,74:da:da:98:90:2d,0c:73:eb:d0:13:c8,74:da:da:98:66:cd,74:da:da:c1:3c:45,74:da:da:98:74:74,0c:73:eb:d0:13:98,74:da:da:c1:3c:85,74:da:da:c1:3d:2d,0c:73:eb:d0:19:90,74:da:da:c0:d9:39,74:da:da:c1:3c:55,50:3a:a0:ea:01:66,0c:73:eb:d0:19:c0,74:da:da:c1:3c:12,74:da:da:98:74:80,74:da:da:98:ea:5c,0c:73:eb:d0:19:c8,0c:73:eb:d0:13:90,74:da:da:c1:3c:46,0c:73:eb:d0:2a:50,0c:73:eb:d0:7e:d0,74:da:da:c0:d7:11,74:da:da:c1:3c:86,74:da:da:c1:3b:29,74:da:da:c0:e0:6d,74:da:da:c1:3b:19,74:da:da:98:74:34,74:da:da:c1:03:2d,74:da:da:c1:3c:56,74:da:da:98:90:95,0c:73:eb:d0:11:e0,74:da:da:c0:d6:f5,74:da:da:98:90:94,74:da:da:c0:f6:15,0c:73:eb:d0:0e:a8,74:da:da:c1:02:91,74:da:da:c0:d9:3a,74:da:da:c1:4a:69,74:da:da:98:ea:64,74:da:da:c0:f3:59,0c:73:eb:d0:11:c8,74:da:da:c1:3c:4d
1526459760400,-34,-35,-45,-48,-50,-53,-54,-55,-57,-57,-57,-58,-58,-58,-61,-62,-62,-65,-72,-73,-74,-74,-74,-77,-77,-78,-78,-79,-82,-83,-85,-85,-86,-86,-87,-89,-91,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459763425,-40,-31,-45,-48,-50,-53,-63,-55,-73,-49,-69,-64,-50,-58,-61,-74,-64,-77,-72,-81,-78,-75,-74,-75,-77,-78,-78,-79,-82,-87,-200,-85,-86,-86,-87,-89,-88,-91,-67,-74,-88,-91,-200,-200,-200,-200,-200,-200,-200
1526459766443,-40,-30,-45,-48,-50,-53,-63,-55,-73,-49,-69,-64,-50,-58,-61,-74,-64,-77,-200,-81,-78,-75,-200,-75,-77,-78,-78,-79,-82,-87,-200,-200,-86,-86,-200,-89,-88,-91,-67,-74,-88,-91,-200,-200,-200,-200,-200,-200,-200
1526459769473,-37,-35,-38,-43,-53,-56,-58,-53,-73,-49,-62,-54,-53,-58,-61,-75,-64,-68,-200,-71,-78,-76,-200,-75,-77,-83,-78,-79,-82,-86,-200,-200,-86,-86,-200,-89,-86,-91,-67,-74,-88,-91,-78,-200,-200,-200,-200,-200,-200
1526459772495,-37,-38,-38,-43,-53,-56,-58,-53,-73,-49,-62,-54,-53,-58,-61,-75,-64,-68,-200,-71,-78,-76,-200,-75,-77,-83,-78,-79,-82,-86,-200,-200,-86,-86,-200,-89,-86,-91,-67,-74,-88,-91,-78,-200,-200,-200,-200,-200,-200
1526459775525,-37,-40,-35,-43,-53,-56,-58,-53,-73,-54,-62,-54,-53,-58,-69,-70,-63,-68,-200,-68,-80,-76,-200,-75,-77,-81,-85,-79,-82,-86,-200,-200,-200,-74,-200,-89,-84,-200,-67,-74,-88,-91,-78,-91,-200,-200,-200,-200,-200
1526459778547,-37,-36,-35,-43,-53,-56,-58,-53,-73,-54,-62,-54,-53,-58,-69,-70,-63,-68,-200,-68,-80,-76,-200,-75,-77,-81,-85,-79,-82,-86,-200,-200,-200,-74,-200,-89,-84,-200,-67,-74,-88,-91,-78,-91,-200,-200,-200,-200,-200
1526459781575,-37,-35,-36,-43,-54,-52,-58,-53,-73,-54,-57,-58,-51,-58,-69,-70,-59,-68,-200,-68,-79,-74,-200,-75,-77,-82,-85,-75,-71,-86,-200,-200,-200,-74,-200,-89,-84,-200,-55,-74,-88,-91,-78,-91,-86,-200,-200,-200,-200
1526459784599,-37,-34,-36,-43,-54,-52,-58,-53,-73,-54,-57,-58,-51,-58,-69,-70,-59,-68,-200,-68,-79,-74,-200,-75,-77,-82,-85,-75,-71,-86,-200,-200,-200,-74,-200,-89,-84,-200,-55,-74,-88,-91,-78,-91,-86,-200,-200,-200,-200
