,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,whu2011309,MERCURY_0166,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018
,0c:73:eb:d0:76:18,74:da:da:98:90:2c,74:da:da:98:66:cc,74:da:da:c1:3c:45,0c:73:eb:d0:13:b0,74:da:da:c1:3c:11,0c:73:eb:d0:19:80,74:da:da:c0:d9:39,74:da:da:c1:3c:85,0c:73:eb:d0:13:c8,0c:73:eb:d0:19:90,74:da:da:98:90:2d,74:da:da:98:66:cd,74:da:da:c1:3c:55,74:da:da:98:74:74,74:da:da:98:74:80,0c:73:eb:d0:19:c8,74:da:da:98:ea:5c,74:da:da:98:90:94,74:da:da:c1:3d:2d,74:da:da:c0:d6:ed,74:da:da:c1:3c:46,0c:73:eb:d0:2a:50,74:da:da:c1:3c:86,74:da:da:98:8f:30,0c:73:eb:d0:76:10,74:da:da:c1:3c:12,74:da:da:c1:3c:56,74:da:da:c0:d7:11,74:da:da:98:90:95,74:da:da:98:85:4c,74:da:da:98:74:34,74:da:da:c1:3b:19,0c:73:eb:d0:0e:a8,74:da:da:c1:3c:4d,0c:73:eb:d0:13:90,74:da:da:c0:f6:15,c0:61:18:93:3e:54,50:3a:a0:ea:01:66,0c:73:eb:d0:19:c0,74:da:da:c1:02:91,74:da:da:c1:4a:69,0c:73:eb:d0:13:98,74:da:da:c1:3b:29,74:da:da:98:ea:64,0c:73:eb:d0:7e:d0,74:da:da:c0:d9:3a,0c:73:eb:d0:19:a0
1526459615079,-35,-37,-41,-43,-44,-45,-53,-54,-54,-56,-56,-56,-59,-59,-64,-65,-67,-67,-67,-68,-70,-72,-73,-74,-76,-80,-82,-83,-83,-87,-87,-89,-90,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459618102,-33,-37,-37,-42,-38,-45,-53,-54,-54,-56,-52,-59,-53,-59,-74,-71,-76,-67,-67,-68,-70,-70,-77,-79,-76,-80,-77,-83,-83,-86,-87,-89,-90,-92,-72,-81,-83,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459621119,-33,-37,-37,-42,-38,-45,-53,-54,-54,-56,-52,-59,-53,-59,-74,-71,-76,-67,-67,-68,-70,-70,-77,-79,-76,-80,-77,-83,-200,-86,-200,-200,-200,-92,-72,-81,-83,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459624159,-37,-45,-36,-44,-37,-51,-51,-52,-59,-58,-55,-63,-57,-59,-74,-67,-76,-67,-68,-67,-63,-70,-77,-83,-76,-79,-78,-83,-80,-87,-200,-200,-200,-92,-72,-81,-83,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459627176,-37,-45,-36,-44,-37,-51,-51,-52,-59,-58,-55,-63,-57,-59,-74,-67,-76,-67,-68,-67,-63,-70,-77,-83,-76,-79,-78,-83,-80,-87,-200,-200,-200,-92,-72,-81,-83,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459630197,-37,-44,-33,-45,-40,-51,-48,-49,-65,-58,-57,-56,-54,-71,-74,-71,-76,-67,-68,-67,-62,-66,-79,-81,-200,-79,-73,-90,-80,-86,-200,-200,-200,-92,-72,-78,-83,-91,-61,-75,-200,-200,-200,-200,-200,-200,-200,-200
1526459633207,-37,-44,-33,-45,-40,-51,-48,-49,-65,-58,-57,-56,-54,-71,-74,-71,-76,-67,-68,-67,-62,-66,-79,-81,-200,-79,-73,-90,-80,-86,-200,-200,-200,-92,-72,-78,-83,-91,-61,-75,-200,-200,-200,-200,-200,-200,-200,-200
1526459636222,-38,-44,-35,-52,-36,-51,-53,-49,-61,-67,-57,-55,-55,-65,-65,-69,-76,-67,-70,-67,-62,-67,-79,-80,-200,-79,-73,-90,-80,-88,-200,-86,-200,-92,-72,-80,-83,-91,-61,-75,-80,-200,-200,-200,-200,-200,-200,-200
1526459639241,-38,-44,-35,-52,-36,-51,-53,-49,-61,-67,-57,-55,-55,-65,-65,-69,-76,-67,-70,-67,-62,-67,-79,-80,-200,-79,-73,-90,-80,-88,-200,-86,-200,-92,-72,-80,-83,-91,-61,-75,-80,-200,-200,-200,-200,-200,-200,-200
1526459642265,-38,-45,-38,-43,-34,-49,-53,-52,-61,-67,-57,-55,-57,-64,-61,-69,-76,-200,-70,-63,-62,-66,-77,-80,-200,-79,-73,-89,-80,-88,-86,-86,-200,-200,-72,-80,-83,-91,-61,-79,-80,-91,-200,-200,-200,-200,-200,-200
1526459645287,-38,-45,-38,-43,-34,-49,-53,-52,-61,-67,-57,-55,-57,-64,-61,-69,-76,-200,-70,-63,-62,-66,-77,-80,-200,-79,-73,-89,-80,-88,-86,-86,-200,-200,-72,-80,-83,-91,-61,-79,-80,-91,-200,-200,-200,-200,-200,-200
1526459648299,-36,-45,-36,-40,-35,-49,-57,-52,-61,-67,-57,-55,-56,-64,-60,-68,-76,-200,-70,-65,-62,-66,-81,-81,-200,-79,-73,-89,-80,-88,-86,-86,-200,-200,-200,-80,-200,-200,-61,-83,-82,-91,-62,-88,-200,-200,-200,-200
1526459651319,-36,-45,-36,-40,-35,-49,-57,-52,-61,-67,-57,-55,-56,-64,-60,-68,-76,-200,-70,-65,-62,-66,-81,-81,-200,-79,-73,-89,-80,-88,-86,-86,-200,-200,-200,-80,-200,-200,-61,-83,-82,-91,-62,-88,-200,-200,-200,-200
1526459654353,-44,-50,-36,-47,-35,-48,-57,-49,-61,-60,-58,-52,-56,-63,-64,-76,-74,-200,-72,-73,-59,-71,-81,-82,-93,-200,-77,-89,-81,-88,-86,-84,-200,-200,-200,-80,-81,-200,-61,-75,-82,-91,-62,-88,-76,-200,-200,-200
1526459657375,-44,-50,-36,-47,-35,-48,-57,-49,-61,-60,-58,-52,-56,-63,-64,-76,-74,-200,-72,-73,-59,-71,-81,-82,-93,-200,-77,-89,-81,-88,-86,-84,-200,-200,-200,-80,-81,-200,-61,-75,-82,-91,-62,-88,-76,-200,-200,-200
1526459660396,-40,-54,-41,-45,-37,-48,-53,-49,-61,-58,-53,-54,-53,-59,-58,-70,-75,-200,-72,-65,-59,-70,-81,-81,-93,-200,-74,-89,-81,-86,-86,-84,-200,-200,-200,-80,-81,-200,-200,-75,-82,-91,-62,-88,-76,-85,-200,-200
1526459663418,-40,-54,-41,-45,-37,-48,-53,-49,-61,-58,-53,-54,-53,-59,-58,-70,-75,-200,-72,-65,-59,-70,-81,-81,-93,-200,-74,-89,-81,-86,-86,-84,-200,-200,-200,-80,-81,-200,-200,-75,-82,-91,-62,-88,-76,-85,-200,-200
1526459666448,-37,-54,-44,-44,-36,-48,-52,-49,-200,-56,-54,-54,-53,-59,-58,-70,-75,-200,-72,-65,-59,-69,-78,-81,-93,-200,-74,-89,-81,-85,-86,-84,-200,-200,-81,-80,-81,-200,-200,-75,-82,-91,-62,-88,-76,-85,-91,-200
1526459669474,-37,-54,-44,-44,-36,-48,-52,-49,-200,-56,-54,-54,-53,-59,-58,-70,-75,-200,-72,-65,-59,-69,-78,-81,-93,-200,-74,-89,-81,-85,-86,-84,-200,-200,-81,-80,-81,-200,-200,-75,-82,-91,-62,-88,-76,-85,-91,-200
