,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,MERCURY_0166,D-Link_DIR-823Pro,D-Link_DIR-823Pro
,0c:73:eb:d0:13:b0,74:da:da:98:90:2c,74:da:da:98:66:cd,74:da:da:98:66:cc,74:da:da:c1:3c:11,74:da:da:98:90:2d,0c:73:eb:d0:13:98,0c:73:eb:d0:19:80,74:da:da:c1:3c:45,74:da:da:98:90:94,0c:73:eb:d0:76:18,74:da:da:c0:d6:ed,0c:73:eb:d0:13:c8,74:da:da:c1:3c:55,74:da:da:c0:d9:39,74:da:da:c0:d6:f5,0c:73:eb:d0:19:90,74:da:da:98:74:80,74:da:da:c1:3d:2d,74:da:da:c1:3c:12,74:da:da:98:74:74,74:da:da:c0:d7:11,0c:73:eb:d0:19:c8,0c:73:eb:d0:19:c0,74:da:da:c1:3c:46,74:da:da:c1:02:91,74:da:da:c1:3c:4d,0c:73:eb:d0:2a:50,74:da:da:98:74:34,74:da:da:c1:3b:19,74:da:da:98:90:95,0c:73:eb:d0:7e:d0,74:da:da:c1:3c:86,74:da:da:c1:3c:56,74:da:da:c0:f3:59,74:da:da:98:ea:64,50:3a:a0:ea:01:66,74:da:da:c0:f6:15,74:da:da:c1:3c:85
1526459383444,-33,-48,-48,-48,-55,-58,-59,-59,-59,-61,-63,-63,-65,-65,-69,-70,-72,-73,-74,-77,-78,-78,-78,-79,-79,-79,-81,-82,-82,-84,-85,-86,-87,-87,-87,-88,-200,-200,-200
1526459386459,-50,-52,-58,-58,-55,-60,-59,-65,-73,-61,-68,-74,-74,-65,-69,-70,-72,-73,-84,-81,-78,-86,-78,-79,-79,-79,-81,-82,-82,-84,-88,-86,-87,-87,-200,-88,-200,-200,-200
1526459389478,-50,-52,-58,-58,-55,-60,-59,-65,-73,-61,-68,-74,-74,-65,-69,-70,-72,-73,-84,-81,-78,-86,-78,-79,-79,-200,-81,-82,-82,-84,-88,-86,-87,-87,-200,-88,-200,-200,-200
1526459392502,-56,-52,-62,-63,-66,-60,-59,-65,-74,-70,-68,-74,-74,-65,-69,-70,-72,-73,-84,-81,-87,-86,-78,-79,-83,-91,-81,-82,-82,-84,-86,-86,-87,-87,-200,-88,-200,-200,-200
1526459395516,-56,-52,-62,-63,-66,-60,-59,-65,-74,-70,-68,-74,-74,-65,-69,-70,-72,-73,-84,-81,-87,-86,-78,-79,-83,-91,-81,-82,-82,-84,-86,-86,-87,-87,-200,-88,-200,-200,-200
1526459398530,-56,-54,-56,-59,-64,-64,-70,-70,-74,-72,-71,-74,-79,-65,-75,-70,-72,-73,-82,-86,-88,-86,-78,-79,-84,-91,-81,-200,-200,-84,-85,-200,-87,-87,-200,-88,-200,-200,-200
1526459401542,-56,-54,-56,-59,-64,-64,-70,-70,-74,-72,-71,-74,-79,-65,-75,-70,-72,-73,-82,-86,-88,-86,-78,-79,-84,-91,-81,-200,-200,-84,-85,-200,-87,-87,-200,-88,-200,-200,-200
1526459404555,-45,-54,-58,-43,-64,-60,-64,-58,-74,-65,-71,-68,-73,-200,-69,-65,-77,-78,-82,-79,-70,-86,-78,-72,-83,-91,-200,-200,-200,-84,-84,-200,-87,-87,-200,-87,-200,-200,-200
1526459407563,-45,-54,-58,-43,-64,-60,-64,-58,-74,-65,-71,-68,-73,-200,-69,-65,-77,-78,-82,-79,-70,-86,-78,-72,-83,-91,-200,-200,-200,-84,-84,-200,-87,-87,-200,-87,-200,-200,-200
1526459410573,-35,-43,-58,-43,-64,-61,-64,-54,-56,-65,-55,-59,-65,-200,-65,-65,-67,-71,-64,-82,-70,-86,-200,-77,-79,-91,-200,-200,-200,-200,-84,-79,-200,-200,-90,-87,-81,-200,-200
1526459413581,-35,-43,-58,-43,-64,-61,-64,-54,-56,-65,-55,-59,-65,-200,-65,-65,-67,-71,-64,-82,-70,-86,-200,-77,-79,-91,-200,-200,-200,-200,-84,-79,-200,-200,-90,-87,-81,-200,-200
1526459416600,-31,-43,-56,-38,-64,-61,-62,-53,-56,-65,-51,-68,-61,-70,-57,-65,-61,-71,-64,-82,-62,-200,-74,-76,-76,-91,-200,-78,-80,-200,-89,-79,-200,-200,-90,-87,-81,-200,-200
1526459419613,-31,-43,-56,-38,-64,-61,-62,-53,-56,-65,-51,-68,-61,-70,-57,-65,-61,-71,-64,-82,-62,-200,-74,-76,-76,-91,-200,-78,-80,-200,-89,-79,-200,-200,-90,-87,-81,-200,-200
1526459422625,-31,-43,-56,-38,-50,-61,-58,-52,-54,-65,-48,-63,-61,-70,-55,-71,-60,-72,-64,-82,-59,-200,-73,-76,-78,-200,-200,-78,-80,-200,-90,-79,-200,-200,-90,-87,-81,-80,-200
1526459425645,-31,-43,-56,-38,-50,-61,-58,-52,-54,-65,-48,-63,-61,-70,-55,-71,-60,-72,-64,-82,-59,-200,-73,-76,-78,-200,-200,-78,-80,-200,-90,-79,-200,-200,-90,-87,-81,-80,-200
1526459428658,-28,-36,-61,-42,-47,-62,-61,-53,-55,-65,-60,-62,-61,-70,-56,-71,-61,-75,-65,-80,-63,-76,-75,-76,-77,-200,-200,-78,-80,-200,-90,-79,-200,-200,-90,-90,-71,-80,-200
1526459431670,-28,-36,-61,-42,-47,-62,-61,-53,-55,-65,-60,-62,-61,-70,-56,-71,-61,-75,-65,-80,-63,-76,-75,-76,-77,-200,-200,-78,-80,-200,-90,-79,-200,-200,-90,-90,-71,-80,-200
1526459434688,-43,-47,-62,-54,-63,-61,-72,-64,-68,-65,-54,-77,-71,-70,-71,-71,-74,-79,-65,-82,-63,-76,-75,-76,-80,-200,-200,-78,-80,-200,-90,-79,-200,-200,-90,-90,-71,-80,-73
1526459437702,-43,-47,-62,-54,-63,-61,-72,-64,-68,-65,-54,-77,-71,-70,-71,-71,-74,-79,-65,-82,-63,-76,-75,-76,-80,-200,-200,-78,-80,-200,-90,-79,-200,-200,-90,-90,-71,-80,-73
1526459440719,-41,-48,-58,-55,-63,-60,-68,-62,-68,-65,-60,-76,-75,-70,-71,-74,-74,-83,-65,-83,-63,-76,-75,-80,-86,-200,-200,-78,-80,-200,-90,-200,-200,-200,-200,-90,-71,-80,-73
1526459443734,-41,-48,-58,-55,-63,-60,-68,-62,-68,-65,-60,-76,-75,-70,-71,-74,-74,-83,-65,-83,-63,-76,-75,-80,-86,-200,-200,-78,-80,-200,-90,-200,-200,-200,-200,-90,-71,-80,-73
