,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro
,74:da:da:c1:3c:11,0c:73:eb:d0:76:18,74:da:da:98:90:2c,74:da:da:98:90:94,74:da:da:c1:3c:85,0c:73:eb:d0:13:b0,0c:73:eb:d0:13:c8,0c:73:eb:d0:19:c0,74:da:da:98:74:80,74:da:da:c1:3c:12,0c:73:eb:d0:2a:50,74:da:da:98:90:95,0c:73:eb:d0:19:90,74:da:da:98:90:2d,0c:73:eb:d0:13:98,0c:73:eb:d0:11:c8,74:da:da:c1:3c:86,74:da:da:98:66:cd,0c:73:eb:d0:13:90,74:da:da:c1:3c:46,74:da:da:98:66:cc,0c:73:eb:d0:19:80,74:da:da:c0:d6:ed,74:da:da:c0:d9:39,74:da:da:98:74:34,74:da:da:c1:3d:2d,74:da:da:c0:d7:11,0c:73:eb:d0:7e:d0,0c:73:eb:d0:19:c8,74:da:da:98:74:74,74:da:da:c1:02:91,74:da:da:c1:3c:45,74:da:da:c1:3c:55,74:da:da:c1:03:1d,74:da:da:c0:d6:ee,74:da:da:c1:5e:ed,74:da:da:98:91:d4,74:da:da:c1:3c:56,74:da:da:c0:d6:f5,74:da:da:c0:e0:6d,74:da:da:c1:3b:19,74:da:da:98:ea:5c
1526459219642,-31,-42,-45,-47,-49,-52,-52,-56,-58,-60,-61,-64,-66,-69,-70,-72,-73,-74,-75,-77,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459222658,-43,-50,-47,-47,-49,-32,-62,-56,-70,-77,-61,-74,-68,-60,-56,-72,-82,-61,-75,-81,-32,-51,-53,-64,-66,-67,-68,-72,-76,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459225667,-43,-50,-47,-47,-49,-32,-62,-56,-70,-77,-61,-74,-68,-60,-56,-72,-82,-61,-75,-81,-32,-51,-53,-64,-66,-67,-68,-72,-76,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459228688,-51,-50,-39,-47,-56,-34,-62,-56,-70,-79,-61,-72,-69,-56,-55,-72,-86,-58,-75,-77,-31,-49,-54,-64,-66,-67,-68,-72,-76,-61,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459231699,-51,-50,-39,-47,-56,-34,-62,-56,-70,-79,-61,-72,-69,-56,-55,-72,-86,-58,-75,-77,-31,-49,-54,-64,-66,-67,-68,-72,-76,-61,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459234732,-54,-54,-39,-47,-55,-37,-60,-69,-70,-74,-61,-72,-69,-57,-51,-72,-85,-59,-75,-77,-35,-55,-53,-74,-66,-70,-68,-76,-80,-61,-80,-58,-75,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459237755,-54,-54,-39,-47,-55,-37,-60,-69,-70,-74,-61,-72,-69,-57,-51,-72,-85,-59,-75,-77,-35,-55,-53,-74,-66,-70,-68,-76,-80,-61,-80,-58,-75,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459240778,-52,-54,-44,-47,-56,-36,-60,-69,-78,-75,-61,-73,-69,-57,-50,-72,-84,-51,-75,-73,-36,-59,-55,-74,-66,-70,-68,-76,-80,-63,-80,-56,-75,-86,-87,-200,-200,-200,-200,-200,-200,-200
1526459243790,-52,-54,-44,-200,-56,-36,-60,-69,-78,-75,-200,-73,-69,-57,-50,-200,-84,-51,-200,-73,-36,-59,-55,-74,-66,-70,-68,-76,-80,-63,-80,-56,-75,-86,-87,-200,-200,-200,-200,-200,-200,-200
