,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018
,0c:73:eb:d0:13:b0,74:da:da:98:90:2c,74:da:da:98:66:cc,74:da:da:c1:3c:11,74:da:da:98:90:2d,0c:73:eb:d0:76:18,0c:73:eb:d0:19:80,74:da:da:98:74:74,0c:73:eb:d0:13:98,74:da:da:98:66:cd,74:da:da:c0:d6:ed,74:da:da:c1:3c:45,74:da:da:98:90:94,0c:73:eb:d0:13:c8,74:da:da:c0:d9:39,74:da:da:c0:d6:f5,74:da:da:c1:3d:2d,74:da:da:98:90:95,74:da:da:c1:3c:55,74:da:da:c1:3c:46,0c:73:eb:d0:19:c0,74:da:da:c0:d7:11,74:da:da:98:74:34,0c:73:eb:d0:19:90,74:da:da:98:74:80,0c:73:eb:d0:19:c8,74:da:da:c1:02:91,0c:73:eb:d0:7e:d0,74:da:da:c1:3c:12,0c:73:eb:d0:11:c8,74:da:da:c1:3c:86,74:da:da:c1:3b:19,74:da:da:c0:d8:3d,74:da:da:98:85:4c,74:da:da:c1:3c:56,74:da:da:c1:25:69,74:da:da:c1:5e:ed,74:da:da:c0:f6:15,74:da:da:c0:e0:6d,74:da:da:98:ea:64,0c:73:eb:d0:0e:a8,74:da:da:c1:3c:85,0c:73:eb:d0:2a:50
1526459989997,-33,-38,-41,-48,-49,-50,-52,-53,-53,-55,-55,-57,-57,-60,-62,-62,-64,-66,-66,-68,-68,-68,-69,-71,-73,-74,-75,-78,-79,-80,-82,-84,-86,-88,-89,-89,-200,-200,-200,-200,-200,-200,-200
1526459993021,-38,-38,-45,-56,-53,-46,-52,-41,-51,-56,-50,-57,-53,-60,-72,-62,-68,-79,-66,-72,-64,-67,-77,-71,-77,-74,-75,-78,-78,-80,-80,-84,-86,-88,-89,-200,-80,-84,-200,-200,-200,-200,-200
1526459996030,-35,-38,-45,-56,-53,-46,-52,-41,-51,-56,-50,-57,-53,-60,-72,-62,-68,-79,-66,-72,-64,-67,-77,-71,-77,-74,-75,-78,-78,-80,-80,-84,-86,-88,-89,-200,-80,-84,-200,-200,-200,-200,-200
1526459999056,-36,-42,-37,-53,-56,-46,-50,-38,-50,-57,-54,-52,-55,-60,-69,-62,-72,-81,-66,-72,-64,-65,-77,-71,-77,-74,-75,-76,-79,-80,-81,-84,-86,-88,-89,-200,-80,-84,-200,-200,-200,-200,-200
1526460002079,-40,-42,-37,-53,-56,-46,-50,-38,-50,-57,-54,-52,-55,-60,-69,-62,-72,-81,-66,-72,-64,-65,-77,-71,-77,-74,-75,-76,-79,-80,-81,-84,-86,-88,-89,-200,-80,-84,-200,-200,-200,-200,-200
1526460005105,-35,-40,-37,-48,-57,-46,-50,-38,-53,-56,-54,-52,-55,-60,-70,-200,-68,-81,-66,-76,-68,-65,-77,-69,-77,-74,-75,-74,-79,-80,-87,-78,-76,-88,-89,-200,-80,-84,-82,-86,-90,-200,-200
1526460008127,-38,-40,-37,-48,-57,-46,-50,-38,-53,-56,-54,-52,-55,-60,-70,-200,-68,-81,-66,-76,-68,-65,-77,-69,-77,-74,-75,-74,-79,-80,-87,-78,-76,-88,-89,-200,-80,-84,-82,-86,-90,-200,-200
1526460011155,-35,-40,-36,-47,-59,-48,-56,-38,-53,-56,-54,-52,-55,-60,-70,-61,-68,-80,-66,-80,-64,-65,-79,-67,-74,-73,-75,-72,-79,-200,-87,-78,-76,-88,-89,-200,-80,-84,-82,-86,-90,-200,-200
1526460014176,-37,-40,-36,-47,-59,-48,-56,-38,-53,-56,-54,-52,-55,-60,-70,-61,-68,-80,-66,-80,-64,-65,-79,-67,-74,-73,-75,-72,-79,-200,-87,-78,-76,-88,-89,-200,-80,-84,-82,-86,-90,-200,-200
1526460017201,-34,-40,-39,-47,-59,-50,-55,-38,-54,-56,-54,-57,-55,-200,-70,-61,-64,-78,-69,-80,-64,-60,-79,-67,-78,-73,-200,-72,-78,-200,-87,-78,-76,-200,-200,-200,-80,-84,-82,-86,-90,-200,-200
1526460020220,-36,-40,-39,-47,-59,-50,-55,-38,-54,-56,-54,-57,-55,-200,-70,-61,-64,-78,-69,-80,-64,-60,-79,-67,-78,-73,-200,-72,-78,-200,-87,-78,-76,-200,-200,-200,-80,-84,-82,-86,-90,-200,-200
1526460023233,-37,-39,-39,-48,-59,-49,-55,-37,-54,-56,-54,-60,-55,-64,-70,-61,-64,-79,-69,-78,-64,-64,-79,-70,-78,-73,-200,-76,-77,-200,-86,-78,-76,-200,-200,-200,-200,-84,-82,-86,-90,-200,-200
1526460026254,-34,-39,-39,-48,-59,-49,-55,-37,-54,-56,-54,-60,-55,-64,-70,-61,-64,-79,-69,-78,-64,-64,-79,-70,-78,-73,-200,-76,-77,-200,-86,-78,-76,-200,-200,-200,-200,-84,-82,-86,-90,-200,-200
1526460029279,-36,-36,-46,-56,-58,-50,-55,-37,-54,-56,-54,-61,-200,-64,-70,-61,-65,-78,-69,-78,-68,-64,-75,-66,-79,-73,-200,-76,-75,-82,-86,-78,-76,-200,-200,-200,-200,-84,-82,-86,-90,-200,-200
1526460032297,-36,-36,-46,-56,-58,-50,-55,-37,-54,-56,-54,-61,-200,-64,-70,-61,-65,-78,-69,-78,-68,-64,-75,-66,-79,-73,-200,-76,-75,-82,-86,-78,-76,-200,-200,-200,-200,-84,-82,-86,-90,-200,-200
1526460035316,-36,-35,-38,-52,-58,-50,-52,-39,-54,-56,-52,-61,-200,-64,-73,-57,-65,-78,-70,-78,-69,-62,-77,-71,-79,-73,-200,-79,-74,-75,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526460038334,-35,-35,-38,-52,-58,-50,-52,-39,-54,-56,-52,-61,-200,-64,-73,-57,-65,-78,-70,-78,-69,-62,-77,-71,-79,-73,-200,-79,-74,-75,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526460041357,-36,-36,-38,-50,-58,-50,-55,-37,-57,-56,-52,-61,-200,-64,-73,-57,-65,-78,-70,-77,-69,-63,-77,-67,-79,-73,-200,-77,-76,-76,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-63,-82
1526460044377,-36,-36,-38,-50,-58,-50,-55,-37,-57,-56,-52,-61,-200,-64,-73,-57,-65,-78,-70,-77,-69,-63,-77,-67,-79,-73,-200,-77,-76,-76,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-63,-82
1526460047404,-36,-36,-36,-48,-58,-48,-55,-38,-55,-56,-53,-61,-200,-64,-69,-57,-66,-78,-67,-77,-65,-64,-78,-67,-79,-73,-83,-77,-76,-76,-86,-200,-200,-200,-200,-200,-83,-200,-85,-200,-200,-63,-82
1526460050412,-36,-36,-36,-48,-58,-48,-55,-38,-55,-56,-53,-61,-200,-64,-69,-57,-66,-78,-67,-77,-65,-64,-78,-67,-79,-73,-83,-77,-76,-76,-86,-200,-200,-200,-200,-200,-83,-200,-85,-200,-200,-63,-82
