,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00EB8,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro
,0c:73:eb:d0:13:b0,74:da:da:98:66:cc,0c:73:eb:d0:76:18,74:da:da:c1:3c:11,74:da:da:c0:d9:39,0c:73:eb:d0:19:80,74:da:da:98:90:2c,74:da:da:c1:3c:45,74:da:da:98:90:2d,74:da:da:c1:3c:85,0c:73:eb:d0:13:c8,74:da:da:98:66:cd,74:da:da:c1:3d:2d,74:da:da:98:74:74,0c:73:eb:d0:13:98,74:da:da:98:74:80,74:da:da:c0:d6:ed,0c:73:eb:d0:19:c8,0c:73:eb:d0:19:90,74:da:da:c0:d7:11,74:da:da:c1:3c:4d,74:da:da:c1:3c:55,0c:73:eb:d0:2a:50,0c:73:eb:d0:13:90,0c:73:eb:d0:19:c0,74:da:da:c1:3c:12,0c:73:eb:d0:7e:d0,74:da:da:c1:3c:46,74:da:da:c1:3b:29,74:da:da:c0:e0:6d,74:da:da:98:90:95,74:da:da:c1:02:91,74:da:da:98:ea:5c,74:da:da:c1:3c:86,0c:73:eb:d0:11:c8,74:da:da:c1:3b:19,74:da:da:98:8f:30,0c:73:eb:d0:0e:b8,74:da:da:c1:03:2d,74:da:da:c0:d9:3a,0c:73:eb:d0:76:10,74:da:da:c1:3c:56,74:da:da:c0:d7:81,74:da:da:c0:d6:f5,0c:73:eb:d0:19:a0,74:da:da:c0:d7:c5,74:da:da:98:90:94,74:da:da:c0:f6:15,74:da:da:98:85:4c,74:da:da:98:74:34
1526459539923,-34,-36,-46,-47,-49,-52,-54,-54,-58,-61,-62,-63,-63,-64,-65,-65,-65,-67,-71,-74,-76,-76,-78,-78,-79,-79,-80,-83,-83,-84,-85,-85,-85,-86,-86,-86,-87,-89,-89,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459542946,-39,-35,-38,-47,-54,-54,-42,-49,-54,-61,-58,-55,-60,-64,-65,-73,-62,-67,-54,-74,-200,-65,-72,-79,-79,-72,-80,-71,-83,-84,-84,-85,-85,-73,-86,-86,-87,-89,-89,-91,-80,-83,-90,-200,-200,-200,-200,-200,-200,-200
1526459545963,-39,-35,-38,-47,-54,-54,-42,-49,-54,-200,-58,-55,-60,-64,-65,-73,-62,-67,-54,-200,-200,-65,-72,-79,-79,-72,-80,-71,-200,-84,-84,-200,-85,-73,-200,-200,-87,-200,-200,-200,-80,-83,-90,-200,-200,-200,-200,-200,-200,-200
1526459548991,-39,-35,-35,-45,-54,-56,-39,-48,-53,-54,-55,-54,-60,-66,-63,-73,-62,-67,-51,-200,-60,-61,-70,-79,-79,-72,-80,-69,-200,-84,-83,-200,-85,-69,-200,-200,-87,-200,-200,-200,-76,-82,-90,-59,-75,-200,-200,-200,-200,-200
1526459552013,-39,-35,-35,-45,-54,-56,-39,-48,-53,-54,-55,-54,-60,-66,-63,-73,-62,-67,-51,-200,-60,-61,-70,-79,-79,-72,-80,-69,-200,-84,-83,-200,-85,-69,-200,-200,-87,-200,-200,-200,-76,-82,-90,-59,-75,-200,-200,-200,-200,-200
1526459555036,-38,-38,-35,-44,-54,-56,-36,-50,-53,-54,-55,-55,-60,-66,-63,-74,-62,-67,-50,-200,-60,-62,-70,-79,-79,-72,-76,-68,-200,-84,-83,-200,-85,-69,-200,-200,-78,-200,-200,-200,-76,-82,-90,-59,-75,-80,-200,-200,-200,-200
1526459558057,-38,-38,-35,-44,-54,-56,-36,-50,-53,-54,-55,-55,-60,-66,-63,-74,-62,-67,-50,-200,-60,-62,-70,-79,-79,-72,-76,-68,-200,-84,-83,-200,-85,-69,-200,-200,-78,-200,-200,-200,-76,-82,-90,-59,-75,-80,-200,-200,-200,-200
1526459561069,-39,-39,-36,-44,-56,-53,-36,-50,-53,-50,-55,-57,-60,-65,-63,-74,-59,-67,-50,-200,-60,-62,-76,-79,-79,-73,-76,-68,-200,-200,-82,-200,-75,-69,-200,-200,-78,-200,-200,-200,-76,-82,-90,-59,-75,-80,-74,-79,-200,-200
1526459564094,-39,-39,-36,-44,-56,-53,-36,-50,-53,-50,-55,-57,-60,-65,-63,-74,-59,-67,-50,-200,-60,-62,-76,-79,-79,-73,-76,-68,-200,-200,-82,-200,-75,-69,-200,-200,-78,-200,-200,-200,-76,-82,-90,-59,-75,-80,-74,-79,-200,-200
1526459567118,-39,-39,-35,-43,-55,-53,-36,-52,-53,-53,-59,-58,-60,-67,-63,-74,-58,-67,-49,-200,-60,-62,-68,-79,-200,-73,-75,-69,-200,-200,-82,-200,-75,-69,-200,-200,-78,-200,-200,-200,-76,-82,-90,-59,-75,-80,-74,-79,-200,-200
1526459570131,-39,-39,-35,-43,-55,-53,-36,-52,-53,-53,-59,-58,-60,-67,-63,-74,-58,-67,-49,-200,-60,-62,-68,-79,-200,-73,-75,-69,-200,-200,-82,-200,-75,-69,-200,-200,-78,-200,-200,-200,-76,-82,-90,-59,-75,-80,-74,-79,-200,-200
1526459573157,-39,-39,-40,-47,-61,-49,-36,-41,-55,-52,-63,-54,-60,-67,-61,-70,-57,-68,-48,-200,-60,-60,-72,-79,-76,-74,-75,-72,-200,-200,-85,-200,-75,-69,-200,-200,-78,-200,-200,-200,-76,-78,-200,-61,-75,-80,-70,-79,-200,-200
1526459576183,-39,-39,-40,-47,-61,-49,-36,-41,-55,-52,-63,-54,-60,-67,-61,-70,-57,-68,-48,-200,-60,-60,-72,-79,-76,-74,-75,-72,-200,-200,-85,-200,-75,-69,-200,-200,-78,-200,-200,-200,-76,-78,-200,-61,-75,-80,-70,-79,-200,-200
1526459579204,-43,-47,-54,-55,-64,-53,-38,-46,-57,-52,-64,-52,-60,-67,-61,-67,-57,-76,-52,-200,-200,-61,-77,-79,-76,-78,-75,-69,-200,-200,-87,-200,-73,-69,-200,-200,-78,-200,-200,-200,-200,-82,-200,-61,-200,-80,-70,-79,-200,-200
1526459582213,-43,-47,-54,-55,-64,-53,-38,-46,-57,-52,-64,-52,-60,-67,-61,-67,-57,-76,-52,-200,-200,-61,-77,-79,-76,-78,-75,-69,-200,-200,-87,-200,-73,-69,-200,-200,-78,-200,-200,-200,-200,-82,-200,-61,-200,-80,-70,-79,-200,-200
1526459585224,-44,-44,-41,-49,-67,-53,-54,-55,-62,-52,-67,-53,-69,-67,-61,-71,-57,-72,-61,-83,-200,-62,-77,-79,-76,-80,-75,-72,-200,-200,-88,-200,-73,-69,-200,-90,-200,-200,-200,-200,-200,-85,-200,-61,-200,-200,-70,-79,-87,-89
1526459588260,-44,-44,-41,-49,-67,-53,-54,-55,-62,-52,-67,-53,-69,-67,-61,-71,-57,-72,-61,-83,-200,-62,-77,-79,-76,-80,-75,-72,-200,-200,-88,-200,-73,-69,-200,-90,-200,-200,-200,-200,-200,-85,-200,-61,-200,-200,-70,-79,-87,-89
1526459591282,-42,-41,-33,-45,-67,-55,-41,-46,-58,-54,-57,-58,-61,-67,-61,-65,-57,-71,-56,-83,-200,-61,-73,-200,-76,-80,-75,-71,-200,-200,-87,-200,-69,-70,-200,-90,-76,-200,-200,-200,-200,-83,-200,-61,-200,-200,-70,-200,-87,-89
1526459594306,-42,-41,-33,-45,-67,-55,-41,-46,-58,-54,-57,-58,-61,-67,-61,-65,-57,-71,-56,-83,-200,-61,-73,-200,-76,-80,-75,-71,-200,-200,-87,-200,-69,-70,-200,-90,-76,-200,-200,-200,-200,-83,-200,-61,-200,-200,-70,-200,-87,-89
1526459597332,-45,-40,-33,-45,-58,-55,-37,-43,-56,-52,-57,-58,-68,-67,-61,-65,-70,-68,-54,-83,-200,-61,-73,-200,-76,-82,-200,-72,-200,-200,-86,-200,-69,-72,-200,-90,-76,-200,-200,-200,-80,-83,-200,-61,-200,-200,-67,-200,-87,-89
1526459600345,-45,-40,-33,-45,-58,-55,-37,-43,-56,-52,-57,-58,-68,-67,-61,-65,-70,-68,-54,-83,-200,-61,-73,-200,-76,-82,-200,-72,-200,-200,-86,-200,-69,-72,-200,-90,-76,-200,-200,-200,-80,-83,-200,-61,-200,-200,-67,-200,-87,-89
