,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,011c.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
,78:A5:04:41:E5:56,78:A5:04:41:EB:C9,78:A5:04:41:E7:81,78:A5:04:41:E9:E0,78:A5:04:41:EB:94,78:A5:04:41:E5:77,78:A5:04:41:E7:CC,F4:B8:5E:AA:77:73,78:A5:04:41:E7:FE,78:A5:04:41:E9:E3
1526457577117,-75,-80,-64,-200,-200,-200,-200,-200,-200,-200
1526457577219,-75,-80,-64,-94,-90,-82,-81,-200,-200,-200
1526457577326,-74,-200,-63,-94,-200,-84,-81,-93,-200,-200
1526457577430,-74,-80,-63,-96,-200,-200,-81,-200,-200,-200
1526457582029,-89,-90,-68,-95,-200,-200,-82,-200,-98,-200
1526457582225,-200,-92,-200,-94,-200,-200,-85,-200,-200,-200
1526457582326,-88,-200,-200,-200,-200,-91,-83,-200,-200,-200
1526457582443,-86,-91,-200,-95,-200,-200,-200,-200,-200,-200
1526457582559,-87,-200,-69,-200,-200,-200,-200,-200,-200,-200
1526457587025,-84,-81,-69,-200,-91,-79,-84,-200,-91,-200
1526457587136,-82,-200,-69,-200,-90,-79,-84,-200,-91,-200
1526457587234,-82,-81,-69,-200,-200,-79,-84,-200,-91,-200
1526457587368,-83,-200,-69,-200,-200,-79,-83,-200,-200,-200
1526457587469,-82,-82,-200,-200,-90,-79,-85,-200,-91,-200
1526457587570,-78,-82,-64,-200,-200,-82,-84,-200,-200,-200
1526457592149,-77,-83,-65,-200,-200,-82,-84,-95,-200,-200
1526457592265,-200,-82,-63,-200,-200,-82,-200,-200,-200,-200
1526457592427,-77,-82,-64,-200,-200,-83,-200,-200,-200,-200
1526457592527,-200,-200,-64,-92,-200,-83,-83,-97,-200,-200
1526457597044,-92,-92,-67,-200,-200,-91,-84,-200,-96,-200
1526457597142,-200,-200,-66,-91,-200,-89,-200,-200,-95,-200
1526457597239,-91,-200,-66,-200,-200,-90,-200,-200,-200,-200
1526457597353,-92,-200,-67,-200,-200,-89,-84,-200,-96,-200
1526457597454,-92,-93,-67,-200,-200,-89,-84,-200,-94,-200
1526457597552,-82,-80,-67,-200,-92,-89,-84,-200,-200,-200
1526457602081,-200,-81,-69,-200,-200,-80,-83,-200,-200,-200
1526457602204,-200,-200,-69,-200,-200,-79,-83,-200,-200,-200
1526457602309,-83,-81,-69,-200,-200,-200,-82,-200,-200,-200
1526457602416,-84,-81,-69,-200,-200,-79,-84,-200,-200,-200
1526457602523,-83,-81,-69,-200,-200,-83,-200,-200,-200,-200
1526457607024,-75,-81,-65,-200,-200,-200,-84,-200,-200,-200
1526457607148,-76,-200,-65,-200,-200,-200,-200,-200,-200,-200
1526457607245,-74,-81,-65,-200,-200,-200,-200,-200,-200,-200
1526457607407,-76,-200,-62,-200,-200,-200,-200,-200,-200,-200
1526457607525,-75,-200,-64,-200,-200,-200,-84,-97,-200,-200
1526457612030,-91,-92,-66,-200,-200,-88,-200,-200,-96,-200
1526457612135,-94,-93,-66,-92,-200,-87,-84,-200,-200,-200
1526457612245,-91,-92,-200,-93,-200,-87,-85,-200,-97,-200
1526457612347,-91,-91,-200,-200,-200,-200,-200,-200,-200,-200
1526457612459,-93,-94,-67,-200,-200,-88,-85,-200,-96,-200
1526457612558,-93,-92,-200,-200,-200,-87,-200,-200,-94,-200
1526457617022,-84,-80,-69,-200,-200,-200,-84,-200,-200,-200
1526457617166,-83,-81,-68,-200,-94,-80,-85,-200,-200,-200
1526457617266,-83,-82,-68,-200,-200,-79,-85,-200,-200,-200
1526457617376,-83,-80,-68,-200,-92,-79,-83,-200,-200,-200
1526457617527,-83,-81,-69,-200,-200,-78,-85,-200,-200,-200
1526457622037,-200,-81,-200,-200,-91,-82,-84,-200,-200,-200
1526457622165,-75,-200,-200,-200,-91,-82,-200,-200,-95,-200
1526457622296,-75,-82,-200,-200,-200,-83,-83,-200,-95,-200
1526457622401,-76,-79,-64,-200,-200,-83,-83,-200,-200,-200
1526457622509,-76,-81,-200,-200,-200,-82,-85,-200,-95,-200
1526457627059,-91,-93,-66,-91,-200,-88,-84,-200,-94,-200
1526457627203,-94,-92,-67,-92,-200,-88,-85,-200,-96,-200
1526457627306,-93,-92,-67,-92,-200,-200,-84,-200,-200,-200
1526457627411,-93,-93,-200,-200,-200,-200,-84,-200,-95,-200
1526457627513,-93,-93,-67,-200,-91,-88,-84,-200,-96,-200
1526457632023,-84,-82,-69,-200,-200,-79,-83,-200,-200,-200
1526457632122,-83,-81,-200,-200,-92,-78,-83,-200,-200,-200
1526457632234,-82,-80,-69,-200,-200,-78,-83,-200,-94,-200
1526457632338,-200,-81,-70,-200,-200,-79,-83,-200,-94,-200
1526457632429,-83,-81,-200,-200,-92,-78,-83,-200,-200,-200
1526457632535,-75,-81,-69,-200,-200,-200,-200,-200,-200,-200
1526457637061,-76,-82,-64,-200,-200,-82,-200,-200,-200,-200
1526457637161,-75,-81,-64,-200,-200,-200,-200,-200,-200,-200
1526457637255,-75,-81,-65,-200,-200,-200,-83,-200,-200,-200
1526457637359,-75,-200,-64,-200,-90,-82,-200,-200,-94,-200
1526457637465,-75,-200,-64,-200,-90,-82,-82,-200,-200,-100
1526457637578,-200,-200,-64,-200,-200,-200,-200,-200,-200,-200
