,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,MERCURY_0166,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,whu2011309,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro
,74:da:da:c1:3c:11,0c:73:eb:d0:76:18,74:da:da:c1:3c:85,74:da:da:c1:3c:45,0c:73:eb:d0:13:c8,0c:73:eb:d0:13:b0,74:da:da:98:90:94,74:da:da:98:74:80,74:da:da:98:90:2c,74:da:da:98:66:cc,74:da:da:c1:3c:12,50:3a:a0:ea:01:66,74:da:da:c0:d6:f5,0c:73:eb:d0:19:80,74:da:da:c1:3c:46,0c:73:eb:d0:19:90,74:da:da:c1:3c:86,0c:73:eb:d0:19:c0,0c:73:eb:d0:19:c8,74:da:da:98:ea:54,0c:73:eb:d0:2a:50,74:da:da:c1:3c:55,74:da:da:98:66:cd,74:da:da:c0:d6:ed,0c:73:eb:d0:13:90,0c:73:eb:d0:13:98,74:da:da:98:90:2d,74:da:da:c0:d7:11,74:da:da:c1:3c:4d,0c:73:eb:d0:11:c8,74:da:da:c1:3c:56,74:da:da:98:90:95,0c:73:eb:d0:0e:c8,74:da:da:c1:3d:2d,74:da:da:98:ea:64,74:da:da:c0:f3:59,74:da:da:c1:3b:cd,74:da:da:98:ea:5d,0c:73:eb:d0:11:c0,74:da:da:98:74:74,74:da:da:c0:d8:3d,0c:73:eb:d0:2a:90,74:da:da:c0:d9:39,0c:73:eb:d0:76:10,74:da:da:98:85:4c,74:da:da:c0:f3:05,74:da:da:98:ea:5c,c0:61:18:93:3e:54,0c:73:eb:d0:19:a0,74:da:da:98:74:34,74:da:da:c0:d7:01
1526461228563,-30,-35,-35,-42,-48,-49,-53,-53,-54,-55,-56,-56,-57,-58,-60,-61,-61,-62,-63,-63,-66,-66,-67,-69,-69,-69,-75,-75,-75,-76,-77,-78,-78,-81,-81,-85,-86,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526461231583,-30,-35,-35,-42,-48,-49,-53,-53,-54,-55,-56,-56,-57,-58,-60,-61,-61,-62,-63,-200,-66,-66,-67,-69,-69,-69,-75,-75,-75,-76,-77,-78,-78,-81,-81,-85,-86,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526461234614,-31,-22,-35,-38,-48,-49,-52,-53,-58,-53,-57,-66,-57,-58,-53,-50,-63,-62,-69,-200,-68,-66,-65,-69,-64,-69,-73,-75,-75,-76,-77,-79,-78,-81,-81,-85,-86,-87,-67,-74,-75,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526461237633,-31,-22,-35,-38,-48,-49,-52,-53,-58,-53,-57,-66,-57,-58,-53,-50,-63,-62,-69,-200,-68,-66,-65,-69,-64,-69,-73,-75,-75,-76,-77,-79,-78,-81,-81,-85,-86,-87,-67,-74,-75,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526461240665,-31,-32,-35,-37,-49,-50,-52,-49,-58,-53,-57,-66,-200,-65,-53,-48,-63,-62,-69,-200,-68,-66,-65,-69,-64,-69,-76,-70,-75,-76,-81,-77,-200,-200,-69,-85,-82,-90,-70,-74,-75,-90,-70,-78,-81,-93,-200,-200,-200,-200,-200
1526461243685,-31,-32,-35,-37,-49,-50,-52,-49,-58,-53,-57,-66,-200,-65,-53,-48,-63,-62,-69,-200,-68,-66,-65,-69,-64,-69,-76,-70,-75,-76,-81,-77,-200,-200,-69,-85,-82,-90,-70,-74,-75,-90,-70,-78,-81,-93,-200,-200,-200,-200,-200
1526461246714,-33,-26,-36,-41,-50,-50,-52,-53,-55,-61,-57,-66,-200,-63,-57,-48,-62,-68,-65,-200,-64,-54,-64,-69,-64,-69,-80,-70,-75,-200,-81,-79,-200,-64,-69,-200,-82,-89,-68,-70,-75,-90,-68,-78,-81,-93,-67,-84,-200,-200,-200
1526461249742,-33,-26,-36,-41,-50,-50,-52,-53,-55,-61,-57,-66,-200,-63,-57,-48,-62,-68,-65,-200,-64,-54,-64,-69,-64,-69,-80,-70,-75,-200,-81,-79,-200,-64,-69,-200,-82,-89,-68,-70,-75,-90,-68,-78,-81,-93,-67,-84,-200,-200,-200
1526461252770,-35,-25,-36,-41,-46,-46,-52,-53,-55,-61,-60,-63,-200,-62,-53,-52,-62,-62,-67,-200,-64,-58,-68,-63,-64,-69,-80,-70,-75,-200,-77,-77,-200,-66,-74,-200,-82,-85,-68,-70,-75,-90,-68,-78,-79,-93,-67,-84,-64,-84,-200
