,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,MERCURY_0166,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,whu2011309
,74:da:da:c1:3c:11,74:da:da:98:90:2c,0c:73:eb:d0:13:b0,74:da:da:c1:3c:85,0c:73:eb:d0:13:c8,74:da:da:c0:d6:f5,0c:73:eb:d0:76:18,74:da:da:98:90:94,74:da:da:98:66:cc,74:da:da:c0:d6:ed,0c:73:eb:d0:19:c0,74:da:da:98:74:80,74:da:da:c1:3c:45,74:da:da:c1:3c:12,74:da:da:98:90:2d,0c:73:eb:d0:19:80,0c:73:eb:d0:2a:50,74:da:da:98:90:95,74:da:da:98:74:34,74:da:da:c0:d7:11,74:da:da:c1:3c:55,74:da:da:98:66:cd,74:da:da:c1:3c:86,0c:73:eb:d0:19:c8,74:da:da:c1:3c:46,50:3a:a0:ea:01:66,74:da:da:c1:02:91,0c:73:eb:d0:19:90,74:da:da:c1:3b:cd,74:da:da:98:74:74,74:da:da:c0:d6:ee,0c:73:eb:d0:7e:d0,74:da:da:98:ea:5d,0c:73:eb:d0:11:c0,0c:73:eb:d0:11:c8,0c:73:eb:d0:19:a0,74:da:da:98:85:1c,74:da:da:98:ea:5c,74:da:da:c1:3c:4d,0c:73:eb:d0:13:98,74:da:da:c1:3d:2d,74:da:da:c1:3c:56,74:da:da:c0:d7:01,c0:61:18:93:3e:54
1526460920853,-29,-35,-37,-39,-40,-40,-41,-45,-49,-50,-56,-56,-59,-60,-60,-63,-63,-64,-66,-67,-67,-68,-69,-70,-71,-72,-78,-79,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526460923862,-30,-37,-50,-42,-45,-40,-43,-50,-44,-50,-60,-66,-51,-56,-64,-63,-64,-69,-68,-67,-67,-68,-69,-72,-72,-72,-78,-71,-82,-56,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526460926871,-30,-37,-50,-42,-45,-40,-43,-50,-44,-50,-60,-66,-51,-56,-64,-63,-64,-69,-68,-67,-67,-68,-69,-72,-72,-72,-78,-71,-82,-56,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526460929880,-30,-45,-50,-43,-45,-44,-43,-50,-44,-49,-60,-66,-51,-57,-63,-63,-65,-66,-64,-62,-67,-67,-65,-72,-70,-72,-78,-71,-82,-58,-86,-85,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526460932909,-30,-45,-50,-43,-45,-44,-43,-50,-44,-49,-60,-66,-51,-57,-63,-63,-65,-66,-64,-62,-67,-67,-65,-72,-70,-72,-78,-71,-82,-58,-86,-85,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526460935938,-30,-39,-46,-43,-45,-44,-44,-50,-44,-49,-59,-66,-51,-58,-63,-63,-65,-66,-64,-62,-67,-64,-69,-72,-74,-72,-78,-71,-82,-57,-86,-85,-91,-70,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526460938954,-30,-39,-46,-43,-45,-44,-44,-50,-44,-49,-59,-66,-51,-58,-63,-63,-65,-66,-64,-62,-200,-64,-69,-72,-74,-200,-200,-71,-200,-57,-86,-85,-91,-70,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526460941960,-31,-37,-49,-41,-50,-44,-45,-50,-44,-57,-59,-63,-51,-57,-63,-63,-67,-69,-67,-59,-71,-65,-74,-72,-77,-200,-200,-66,-200,-57,-86,-85,-91,-70,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526460944984,-31,-37,-49,-41,-50,-44,-45,-50,-44,-57,-59,-63,-51,-57,-63,-63,-67,-69,-67,-59,-71,-65,-74,-72,-77,-200,-200,-66,-200,-57,-86,-85,-91,-70,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
