,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,MERCURY_0166,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro
,74:da:da:c1:3c:11,74:da:da:c1:3c:85,74:da:da:98:90:94,0c:73:eb:d0:13:c8,0c:73:eb:d0:13:b0,74:da:da:c0:d6:f5,0c:73:eb:d0:76:18,74:da:da:c1:3c:45,74:da:da:c1:3c:12,74:da:da:98:74:80,74:da:da:98:66:cc,74:da:da:c0:d7:01,0c:73:eb:d0:2a:50,0c:73:eb:d0:19:c0,0c:73:eb:d0:19:90,74:da:da:c1:3c:86,0c:73:eb:d0:19:80,74:da:da:c0:d6:ed,74:da:da:c0:d7:11,0c:73:eb:d0:19:c8,74:da:da:98:74:34,74:da:da:c1:3c:55,0c:73:eb:d0:11:c0,0c:73:eb:d0:11:c8,0c:73:eb:d0:0e:c8,74:da:da:98:90:95,74:da:da:c1:3c:46,74:da:da:c0:d9:39,74:da:da:98:90:2d,74:da:da:98:74:74,74:da:da:98:66:cd,0c:73:eb:d0:76:10,0c:73:eb:d0:19:a0,74:da:da:c1:3c:56,0c:73:eb:d0:13:90,74:da:da:98:ea:5d,74:da:da:98:90:2c,0c:73:eb:d0:7e:f8,0c:73:eb:d0:13:98,74:da:da:c1:3c:4d,74:da:da:98:8f:30,50:3a:a0:ea:01:66,74:da:da:c1:3b:cd,74:da:da:98:ea:5c,74:da:da:98:85:1c,74:da:da:c1:3d:2d,74:da:da:98:85:4c
1526461073910,-38,-39,-46,-47,-48,-48,-50,-52,-56,-57,-59,-59,-60,-61,-64,-64,-65,-66,-67,-68,-69,-69,-69,-70,-71,-73,-74,-74,-75,-77,-78,-78,-80,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526461076923,-37,-34,-46,-50,-48,-48,-44,-48,-56,-58,-59,-59,-65,-61,-62,-66,-66,-66,-67,-68,-74,-63,-69,-70,-71,-81,-71,-74,-79,-77,-76,-78,-80,-88,-78,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526461079931,-37,-34,-46,-50,-48,-200,-44,-48,-56,-58,-200,-200,-65,-61,-62,-66,-66,-66,-67,-68,-74,-63,-69,-70,-71,-81,-71,-74,-79,-200,-76,-78,-80,-88,-78,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526461082948,-37,-39,-44,-50,-48,-56,-42,-54,-60,-60,-45,-200,-65,-61,-67,-65,-66,-66,-69,-65,-78,-71,-69,-70,-71,-79,-72,-74,-81,-200,-78,-78,-80,-88,-72,-83,-49,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526461085967,-37,-39,-44,-50,-48,-56,-42,-54,-60,-60,-45,-200,-65,-61,-67,-65,-66,-66,-69,-65,-78,-71,-69,-70,-71,-79,-72,-74,-81,-200,-78,-78,-80,-88,-72,-83,-49,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526461088990,-41,-37,-43,-53,-48,-56,-43,-57,-56,-58,-45,-200,-67,-61,-58,-64,-66,-66,-69,-65,-78,-72,-200,-70,-71,-74,-72,-74,-76,-200,-74,-78,-80,-88,-72,-83,-49,-88,-68,-81,-83,-200,-200,-200,-200,-200,-200
1526461092016,-41,-37,-43,-53,-48,-56,-43,-57,-56,-58,-45,-200,-67,-61,-58,-64,-66,-66,-69,-65,-78,-72,-200,-70,-71,-74,-72,-74,-76,-200,-74,-78,-80,-88,-72,-83,-49,-88,-68,-81,-83,-200,-200,-200,-200,-200,-200
1526461095041,-39,-35,-44,-53,-44,-50,-45,-57,-56,-58,-45,-200,-67,-69,-59,-63,-66,-66,-68,-69,-76,-72,-200,-200,-71,-74,-73,-200,-74,-200,-74,-200,-80,-88,-72,-83,-49,-88,-68,-81,-83,-63,-88,-200,-200,-200,-200
1526461098065,-39,-35,-44,-53,-44,-50,-45,-57,-56,-58,-45,-200,-67,-69,-59,-63,-66,-66,-68,-69,-76,-72,-200,-200,-71,-74,-73,-200,-74,-200,-74,-200,-80,-88,-72,-83,-49,-88,-68,-81,-83,-63,-88,-200,-200,-200,-200
1526461101092,-33,-35,-44,-51,-45,-50,-42,-49,-56,-54,-55,-200,-69,-65,-60,-61,-63,-200,-66,-69,-77,-67,-200,-200,-86,-74,-72,-200,-75,-67,-74,-200,-200,-88,-72,-79,-49,-88,-66,-81,-83,-63,-88,-200,-200,-200,-200
1526461104112,-33,-35,-44,-51,-45,-50,-42,-49,-56,-54,-55,-200,-69,-65,-60,-61,-63,-200,-66,-69,-77,-67,-200,-200,-86,-74,-72,-200,-75,-67,-74,-200,-200,-88,-72,-79,-49,-88,-66,-81,-83,-63,-88,-200,-200,-200,-200
1526461107136,-39,-40,-40,-49,-48,-48,-45,-52,-55,-57,-49,-200,-69,-62,-62,-60,-63,-72,-64,-69,-80,-68,-200,-200,-86,-74,-71,-200,-75,-67,-74,-200,-200,-89,-72,-81,-49,-88,-73,-81,-83,-63,-88,-69,-77,-79,-86
1526461110161,-39,-40,-40,-49,-48,-48,-45,-52,-55,-57,-49,-200,-69,-62,-62,-60,-63,-72,-64,-69,-80,-68,-200,-200,-86,-74,-71,-200,-75,-67,-74,-200,-200,-89,-72,-81,-49,-88,-73,-81,-83,-63,-88,-69,-77,-79,-86
1526461113191,-39,-34,-44,-47,-46,-48,-45,-54,-54,-59,-51,-200,-67,-61,-62,-61,-68,-72,-67,-71,-80,-66,-200,-200,-86,-76,-71,-200,-76,-67,-75,-200,-200,-89,-200,-81,-48,-200,-73,-81,-83,-63,-88,-69,-77,-79,-86
1526461116217,-39,-34,-44,-47,-46,-48,-45,-54,-54,-59,-51,-200,-67,-61,-62,-61,-68,-72,-67,-71,-80,-66,-200,-200,-86,-76,-71,-200,-76,-67,-75,-200,-200,-89,-200,-81,-48,-200,-73,-81,-83,-63,-88,-69,-77,-79,-86
1526461119253,-39,-37,-43,-47,-46,-48,-46,-54,-54,-61,-51,-200,-67,-64,-63,-62,-68,-72,-67,-68,-76,-66,-200,-75,-86,-76,-71,-200,-76,-67,-75,-200,-200,-89,-200,-81,-49,-200,-73,-200,-200,-63,-88,-69,-77,-79,-86
1526461122270,-39,-37,-43,-47,-46,-48,-46,-54,-54,-61,-51,-200,-67,-64,-63,-62,-68,-72,-67,-68,-76,-66,-200,-75,-86,-76,-71,-200,-76,-67,-75,-200,-200,-89,-200,-81,-49,-200,-73,-200,-200,-63,-88,-69,-77,-79,-86
1526461125284,-36,-35,-53,-50,-43,-48,-44,-51,-57,-55,-50,-200,-63,-62,-65,-68,-65,-72,-64,-68,-80,-71,-200,-75,-86,-78,-69,-200,-80,-67,-75,-200,-200,-89,-200,-78,-49,-200,-73,-200,-200,-63,-200,-65,-77,-79,-86
1526461128305,-36,-35,-53,-50,-43,-48,-44,-51,-57,-55,-50,-200,-63,-62,-65,-68,-65,-72,-64,-68,-80,-71,-200,-75,-86,-78,-69,-200,-80,-67,-75,-200,-200,-89,-200,-78,-49,-200,-73,-200,-200,-63,-200,-65,-77,-79,-86
