,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,null,0113.0012-vlucci.com A1.4.0.1,null
,78:A5:04:41:E7:A2,78:A5:04:41:EB:DD,78:A5:04:41:E7:93,BC:6A:29:BE:31:61,78:A5:04:41:EE:1D,7C:66:9D:7B:47:3D,7C:66:9D:7B:2B:BA,7C:66:9D:7B:46:8C
1526447803600,-81,-68,-78,-200,-200,-200,-200,-200
1526447803702,-81,-68,-78,-200,-200,-200,-200,-200
1526447803807,-81,-68,-79,-96,-200,-200,-200,-200
1526447808462,-76,-75,-90,-96,-200,-200,-200,-200
1526447808648,-200,-70,-89,-96,-88,-200,-200,-200
1526447808753,-76,-76,-200,-97,-89,-200,-200,-200
1526447808857,-76,-75,-90,-96,-89,-200,-200,-200
1526447813478,-200,-200,-200,-98,-200,-200,-200,-200
1526447813593,-200,-200,-200,-97,-200,-200,-200,-200
1526447813716,-200,-200,-200,-97,-200,-200,-200,-200
1526447813796,-79,-200,-200,-96,-200,-200,-200,-200
1526447813915,-80,-70,-83,-95,-89,-200,-200,-200
1526447814106,-80,-200,-200,-200,-200,-200,-200,-200
1526447818498,-77,-200,-200,-94,-200,-100,-200,-200
1526447818598,-77,-200,-200,-94,-200,-200,-200,-200
1526447818733,-76,-200,-200,-200,-200,-200,-200,-200
1526447818813,-77,-69,-82,-94,-200,-200,-92,-102
1526447823525,-77,-69,-82,-200,-200,-200,-200,-200
1526447823633,-77,-69,-200,-200,-200,-200,-200,-200
1526447823736,-77,-69,-83,-200,-200,-200,-200,-200
1526447823946,-77,-200,-200,-200,-200,-200,-200,-200
1526447828454,-79,-68,-88,-200,-89,-200,-200,-200
1526447828547,-79,-68,-90,-200,-200,-200,-200,-200
1526447828650,-79,-67,-90,-200,-89,-200,-200,-200
1526447828768,-79,-67,-91,-200,-200,-200,-200,-200
1526447828872,-79,-67,-200,-93,-200,-200,-200,-200
1526447833500,-76,-68,-75,-95,-200,-200,-200,-200
1526447833612,-77,-68,-75,-200,-200,-102,-200,-200
1526447833713,-77,-68,-75,-200,-200,-200,-200,-200
1526447833820,-77,-68,-76,-94,-200,-200,-200,-200
1526447838453,-76,-68,-83,-200,-200,-200,-200,-200
1526447838551,-76,-68,-83,-200,-200,-200,-200,-200
1526447838656,-76,-68,-84,-200,-200,-200,-200,-200
1526447838853,-76,-68,-84,-200,-200,-200,-200,-200
1526447843485,-81,-67,-83,-200,-90,-200,-200,-200
1526447843577,-200,-67,-200,-200,-200,-200,-200,-200
1526447843686,-81,-68,-84,-200,-200,-200,-200,-200
1526447843782,-82,-68,-84,-200,-90,-200,-200,-200
1526447843891,-200,-67,-75,-94,-200,-200,-200,-200
1526447848493,-200,-66,-75,-93,-200,-200,-200,-200
1526447848597,-200,-67,-75,-94,-200,-200,-200,-200
1526447848709,-76,-67,-75,-94,-200,-200,-92,-200
1526447848850,-75,-68,-75,-94,-200,-200,-200,-200
1526447853562,-75,-68,-86,-200,-200,-200,-200,-200
1526447853669,-76,-69,-86,-200,-200,-200,-200,-200
1526447853774,-76,-69,-84,-200,-200,-200,-200,-200
1526447853873,-76,-71,-83,-95,-90,-200,-200,-200
1526447858500,-76,-65,-200,-95,-89,-200,-200,-200
1526447858603,-77,-66,-200,-96,-200,-200,-200,-200
1526447858712,-78,-66,-200,-96,-200,-200,-200,-200
1526447858808,-79,-66,-76,-96,-200,-200,-200,-200
1526447863934,-79,-65,-76,-94,-200,-200,-200,-200
1526447864110,-79,-66,-76,-95,-200,-200,-200,-200
1526447864218,-79,-200,-78,-97,-200,-200,-200,-200
