,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
,78:A5:04:41:E9:DA,78:A5:04:41:EB:80,78:A5:04:41:EB:8B,78:A5:04:41:E7:85,78:A5:04:41:E9:B4,78:A5:04:41:E9:CD,78:A5:04:41:EB:BA,78:A5:04:41:E9:FD,78:A5:04:41:E9:9B
1526457080920,-70,-81,-61,-63,-83,-200,-200,-200,-200
1526457081035,-69,-81,-60,-62,-84,-92,-200,-200,-200
1526457081136,-69,-80,-200,-200,-200,-93,-200,-200,-200
1526457085689,-200,-62,-64,-66,-85,-200,-200,-200,-200
1526457085777,-200,-62,-60,-66,-200,-200,-200,-200,-200
1526457085925,-200,-62,-64,-66,-84,-200,-200,-200,-200
1526457086028,-76,-62,-64,-65,-84,-200,-200,-200,-200
1526457086133,-77,-200,-64,-66,-88,-200,-200,-200,-200
1526457090723,-84,-66,-66,-69,-87,-200,-200,-200,-200
1526457090809,-84,-65,-66,-69,-88,-200,-92,-200,-200
1526457090921,-85,-66,-66,-69,-200,-200,-200,-200,-200
1526457091034,-84,-65,-66,-69,-87,-200,-200,-200,-200
1526457091142,-84,-200,-66,-200,-200,-200,-91,-200,-200
1526457095690,-69,-200,-59,-62,-200,-200,-90,-90,-200
1526457095776,-200,-200,-59,-62,-94,-200,-200,-200,-92
1526457096410,-74,-75,-59,-63,-85,-200,-90,-91,-200
1526457096505,-76,-64,-61,-64,-86,-200,-200,-200,-200
1526457100740,-200,-64,-68,-75,-200,-200,-200,-200,-200
1526457100827,-78,-64,-69,-76,-200,-200,-200,-200,-200
1526457100926,-200,-200,-68,-75,-86,-200,-200,-200,-200
1526457101035,-78,-63,-68,-200,-200,-200,-200,-200,-200
1526457105756,-82,-67,-75,-74,-88,-200,-200,-200,-200
1526457105862,-200,-71,-74,-73,-200,-200,-200,-200,-200
1526457106715,-200,-69,-75,-200,-200,-200,-200,-200,-200
1526457110693,-76,-200,-62,-66,-86,-200,-200,-200,-200
1526457110783,-76,-76,-62,-65,-86,-200,-200,-200,-200
1526457110894,-76,-77,-62,-65,-87,-200,-200,-200,-200
1526457111005,-76,-77,-62,-65,-87,-200,-91,-200,-94
1526457111095,-200,-200,-62,-200,-87,-200,-200,-200,-200
1526457115728,-78,-64,-68,-200,-200,-200,-200,-200,-200
1526457115825,-77,-64,-67,-75,-200,-200,-200,-200,-200
1526457115932,-200,-64,-68,-200,-200,-200,-200,-200,-200
1526457116042,-77,-200,-68,-200,-200,-200,-200,-200,-200
1526457120690,-82,-66,-76,-74,-200,-200,-200,-200,-200
1526457120788,-82,-66,-76,-74,-200,-200,-200,-200,-200
1526457120909,-82,-66,-76,-74,-86,-200,-200,-200,-200
1526457121022,-82,-200,-76,-74,-88,-200,-200,-200,-200
1526457121118,-82,-200,-64,-74,-200,-200,-200,-200,-200
1526457125827,-76,-76,-200,-200,-200,-200,-200,-200,-200
1526457125927,-76,-77,-63,-66,-200,-200,-200,-200,-200
1526457126032,-76,-77,-63,-66,-86,-200,-91,-200,-200
1526457130729,-77,-67,-67,-200,-200,-200,-200,-200,-200
1526457131324,-77,-63,-200,-75,-87,-200,-200,-200,-200
1526457131429,-77,-63,-68,-75,-86,-200,-200,-200,-200
1526457131531,-78,-63,-200,-75,-87,-200,-200,-200,-200
1526457135701,-200,-65,-76,-73,-88,-200,-200,-200,-200
1526457135845,-82,-66,-76,-73,-87,-200,-200,-200,-200
1526457135945,-200,-65,-76,-73,-87,-200,-200,-200,-200
1526457136056,-200,-66,-76,-73,-200,-200,-200,-200,-200
1526457136157,-76,-66,-75,-66,-86,-200,-200,-93,-200
1526457140788,-200,-200,-63,-66,-85,-200,-200,-94,-200
1526457140883,-200,-200,-200,-200,-84,-200,-200,-200,-200
1526457140991,-77,-75,-63,-66,-85,-200,-92,-200,-200
1526457141098,-78,-200,-63,-67,-84,-200,-200,-200,-200
1526457145693,-77,-63,-67,-75,-86,-200,-200,-200,-200
1526457145800,-78,-63,-68,-76,-200,-200,-200,-200,-200
1526457146144,-200,-63,-200,-200,-200,-200,-200,-200,-200
