,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
,78:A5:04:41:E9:FD,78:A5:04:41:E9:DA,78:A5:04:41:E9:B4,78:A5:04:41:EB:80,78:A5:04:41:E7:85,78:A5:04:41:EB:8B,78:A5:04:41:E9:9B
1526457165788,-89,-86,-84,-64,-65,-200,-200
1526457165889,-90,-86,-84,-64,-65,-200,-200
1526457166078,-200,-200,-85,-64,-66,-72,-200
1526457170703,-88,-82,-85,-60,-62,-64,-89
1526457170847,-200,-82,-200,-200,-62,-64,-200
1526457170954,-200,-82,-86,-60,-62,-63,-200
1526457171069,-89,-82,-200,-61,-61,-63,-200
1526457175710,-90,-81,-200,-79,-200,-76,-200
1526457175800,-200,-81,-200,-200,-200,-200,-200
1526457175894,-200,-81,-84,-79,-61,-200,-90
1526457176066,-90,-88,-85,-79,-61,-76,-200
1526457180697,-91,-200,-200,-68,-63,-74,-200
1526457180809,-200,-200,-90,-68,-63,-74,-200
1526457180913,-90,-86,-200,-68,-63,-74,-200
1526457181024,-90,-87,-86,-68,-63,-74,-90
1526457185798,-90,-84,-86,-64,-61,-68,-89
1526457185896,-91,-84,-86,-64,-62,-67,-89
1526457185998,-89,-84,-86,-200,-200,-67,-89
1526457186097,-89,-200,-86,-64,-200,-67,-200
1526457190882,-200,-89,-200,-69,-65,-73,-200
1526457191184,-200,-89,-91,-66,-200,-73,-200
1526457191307,-200,-88,-200,-66,-64,-73,-200
1526457195694,-89,-83,-86,-64,-61,-68,-89
1526457195788,-200,-84,-200,-64,-61,-68,-89
1526457195906,-89,-200,-200,-200,-62,-68,-200
1526457196013,-89,-83,-200,-64,-61,-68,-200
1526457196115,-200,-200,-200,-64,-75,-68,-200
1526457201132,-90,-200,-200,-63,-200,-68,-89
1526457201781,-89,-200,-200,-63,-200,-67,-200
1526457205687,-88,-80,-88,-70,-62,-69,-90
1526457205789,-88,-200,-200,-200,-62,-69,-200
1526457205886,-88,-80,-88,-73,-62,-69,-200
1526457205995,-200,-200,-88,-200,-63,-69,-200
1526457206109,-200,-87,-200,-67,-200,-68,-200
1526457210760,-89,-200,-200,-67,-65,-79,-200
1526457210864,-200,-86,-200,-66,-64,-77,-200
1526457210970,-89,-87,-200,-66,-200,-77,-200
1526457211083,-200,-200,-200,-200,-200,-76,-200
1526457215703,-200,-83,-84,-63,-62,-66,-89
1526457215810,-200,-83,-84,-63,-62,-200,-89
1526457215911,-200,-83,-84,-200,-63,-200,-200
1526457216022,-90,-83,-84,-64,-63,-66,-89
1526457216122,-88,-83,-86,-200,-62,-200,-200
1526457220757,-200,-80,-86,-69,-63,-200,-92
1526457220870,-88,-80,-200,-69,-63,-68,-91
1526457220967,-88,-200,-86,-69,-63,-200,-92
1526457221085,-200,-200,-200,-69,-200,-200,-92
1526457226042,-200,-200,-86,-69,-62,-200,-200
1526457226168,-200,-80,-86,-69,-63,-200,-200
1526457226270,-91,-200,-200,-200,-63,-200,-91
