,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
,78:A5:04:41:E9:B4,78:A5:04:41:EB:80,78:A5:04:41:E7:D4,78:A5:04:41:E7:85,78:A5:04:41:E9:DA,78:A5:04:41:E9:CD,78:A5:04:41:EB:BA,78:A5:04:41:EB:8B,78:A5:04:41:EB:C3,78:A5:04:41:E9:FD
1526456845789,-78,-68,-92,-200,-200,-200,-200,-200,-200,-200
1526456845899,-77,-68,-200,-72,-200,-200,-200,-200,-200,-200
1526456846001,-76,-69,-200,-68,-91,-90,-200,-200,-200,-200
1526456846100,-76,-69,-200,-200,-200,-200,-200,-200,-200,-200
1526456850700,-82,-200,-200,-200,-79,-200,-88,-63,-200,-200
1526456850795,-83,-200,-200,-200,-200,-200,-200,-62,-89,-200
1526456850896,-83,-62,-200,-200,-78,-200,-88,-62,-88,-200
1526456851097,-82,-200,-200,-70,-200,-200,-200,-62,-200,-200
1526456856031,-84,-63,-200,-200,-76,-200,-88,-62,-87,-200
1526456856143,-84,-63,-200,-63,-76,-200,-88,-63,-200,-200
1526456856308,-84,-77,-200,-64,-200,-200,-200,-68,-200,-200
1526456860739,-200,-200,-200,-75,-200,-200,-86,-68,-89,-90
1526456860850,-86,-200,-92,-74,-200,-200,-86,-69,-200,-200
1526456860948,-200,-200,-92,-75,-84,-93,-200,-68,-200,-92
1526456861042,-86,-77,-200,-75,-85,-200,-86,-73,-200,-200
1526456865835,-200,-66,-200,-67,-200,-200,-200,-74,-200,-200
1526456865943,-200,-66,-200,-67,-90,-200,-83,-74,-200,-200
1526456866090,-87,-63,-200,-67,-200,-200,-83,-73,-200,-200
1526456870732,-200,-62,-200,-61,-200,-200,-200,-64,-200,-93
1526456870885,-87,-62,-200,-61,-200,-200,-200,-64,-200,-200
1526456870994,-87,-62,-200,-61,-200,-200,-92,-64,-200,-92
1526456871087,-88,-62,-200,-61,-75,-200,-85,-64,-88,-200
1526456875778,-85,-77,-200,-84,-80,-200,-85,-69,-200,-200
1526456875874,-85,-77,-200,-200,-200,-200,-200,-200,-90,-200
1526456875984,-84,-77,-200,-200,-200,-92,-200,-200,-89,-90
1526456876089,-84,-78,-200,-200,-80,-200,-85,-69,-90,-200
1526456881218,-200,-200,-200,-200,-86,-200,-200,-200,-200,-200
1526456881327,-200,-200,-200,-200,-85,-200,-85,-75,-200,-200
1526456885805,-200,-200,-200,-70,-200,-200,-200,-75,-200,-200
1526456885913,-200,-200,-200,-70,-200,-92,-200,-75,-200,-200
1526456886009,-200,-65,-200,-70,-200,-91,-200,-76,-200,-200
1526456886115,-200,-200,-89,-200,-200,-200,-86,-75,-200,-200
1526456890732,-200,-65,-200,-200,-81,-200,-200,-78,-200,-200
1526456890835,-85,-65,-200,-200,-81,-200,-200,-78,-200,-200
1526456890935,-200,-66,-200,-72,-200,-200,-200,-78,-200,-200
1526456891042,-200,-200,-200,-200,-82,-200,-200,-78,-200,-200
1526456895685,-81,-62,-200,-79,-81,-200,-90,-200,-200,-200
1526456895780,-82,-61,-200,-79,-81,-200,-90,-83,-200,-200
1526456895908,-81,-61,-92,-79,-81,-200,-90,-82,-200,-200
1526456895989,-82,-61,-200,-80,-81,-200,-200,-200,-200,-200
1526456896121,-200,-61,-200,-200,-200,-200,-200,-200,-200,-200
1526456900700,-200,-65,-200,-73,-200,-200,-88,-76,-200,-92
1526456900799,-200,-65,-90,-73,-200,-200,-200,-200,-200,-200
1526456900917,-200,-65,-200,-74,-200,-90,-200,-200,-200,-200
1526456901004,-200,-65,-90,-200,-200,-200,-87,-76,-200,-200
1526456901114,-200,-65,-90,-200,-200,-200,-200,-200,-200,-200
1526456905937,-200,-66,-200,-70,-82,-200,-200,-77,-200,-200
1526456906047,-87,-66,-200,-200,-82,-200,-200,-200,-200,-200
1526456906157,-87,-66,-200,-200,-82,-200,-200,-78,-200,-200
1526456906253,-87,-66,-200,-71,-82,-200,-200,-77,-200,-200
1526456906368,-200,-66,-200,-200,-200,-200,-200,-200,-200,-200
